ID;Possui outro produto
1;Sim
2;Não
3;Não
4;Não
5;Não
6;Não
7;Não
8;Não
9;Não
10;Não
11;Não
12;Não
13;Não
14;Não
15;Não
16;Não
17;Não
18;Não
19;Não
20;Não
21;Não
22;Não
23;Não
24;Não
25;Não
26;Não
27;Não
28;Não
29;Não
30;Não
31;Não
32;Não
33;Não
34;Não
35;Não
36;Não
37;Não
38;Não
39;Não
40;Não
41;Não
42;Não
43;Não
44;Não
45;Não
46;Não
47;Não
48;Não
49;Não
50;Não
51;Não
52;Não
53;Não
54;Não
55;Não
56;Não
57;Não
58;Não
59;Não
60;Não
61;Não
62;Não
63;Não
64;Não
65;Não
66;Não
67;Não
68;Não
69;Não
70;Não
71;Não
72;Não
73;Não
74;Não
75;Não
76;Não
77;Não
78;Não
79;Não
80;Não
81;Não
82;Não
83;Não
84;Não
85;Não
86;Não
87;Não
88;Não
89;Não
90;Não
91;Não
92;Não
93;Não
94;Não
95;Não
96;Não
97;Não
98;Não
99;Não
100;Não
101;Não
102;Não
103;Não
104;Não
105;Não
106;Não
107;Não
108;Não
109;Não
110;Não
111;Não
112;Não
113;Não
114;Não
115;Não
116;Não
117;Não
118;Não
119;Não
120;Não
121;Não
122;Não
123;Não
124;Não
125;Não
126;Não
127;Não
128;Não
129;Não
130;Não
131;Não
132;Não
133;Não
134;Não
135;Não
136;Não
137;Não
138;Não
139;Não
140;Não
141;Não
142;Não
143;Não
144;Não
145;Não
146;Não
147;Não
148;Não
149;Não
150;Não
151;Não
152;Não
153;Não
154;Não
155;Não
156;Não
157;Não
158;Não
159;Não
160;Não
161;Não
162;Não
163;Não
164;Não
165;Não
166;Não
167;Não
168;Não
169;Não
170;Não
171;Não
172;Não
173;Não
174;Não
175;Não
176;Não
177;Não
178;Não
179;Não
180;Não
181;Não
182;Não
183;Não
184;Não
185;Não
186;Não
187;Não
188;Não
189;Não
190;Não
191;Não
192;Não
193;Não
194;Não
195;Não
196;Não
197;Não
198;Não
199;Não
200;Não
201;Não
202;Não
203;Não
204;Não
205;Não
206;Não
207;Não
208;Não
209;Não
210;Não
211;Não
212;Não
213;Não
214;Não
215;Não
216;Não
217;Não
218;Não
219;Não
220;Não
221;Não
222;Não
223;Não
224;Não
225;Não
226;Não
227;Não
228;Não
229;Não
230;Não
231;Não
232;Não
233;Não
234;Não
235;Não
236;Não
237;Não
238;Não
239;Não
240;Não
241;Não
242;Não
243;Não
244;Não
245;Não
246;Não
247;Não
248;Não
249;Não
250;Não
251;Não
252;Não
253;Não
254;Não
255;Não
256;Não
257;Não
258;Não
259;Não
260;Não
261;Não
262;Não
263;Não
264;Não
265;Não
266;Não
267;Não
268;Não
269;Não
270;Não
271;Não
272;Não
273;Não
274;Não
275;Não
276;Não
277;Não
278;Não
279;Não
280;Não
281;Não
282;Não
283;Não
284;Não
285;Não
286;Não
287;Não
288;Não
289;Não
290;Não
291;Não
292;Não
293;Não
294;Não
295;Não
296;Não
297;Não
298;Não
299;Não
300;Não
301;Não
302;Não
303;Não
304;Não
305;Não
306;Não
307;Não
308;Não
309;Não
310;Não
311;Não
312;Não
313;Não
314;Não
315;Não
316;Não
317;Não
318;Não
319;Não
320;Não
321;Não
322;Não
323;Não
324;Não
325;Não
326;Não
327;Não
328;Não
329;Não
330;Não
331;Não
332;Não
333;Não
334;Não
335;Não
336;Não
337;Não
338;Não
339;Não
340;Não
341;Não
342;Não
343;Não
344;Não
345;Não
346;Não
347;Não
348;Não
349;Não
350;Não
351;Não
352;Não
353;Não
354;Não
355;Não
356;Não
357;Não
358;Não
359;Não
360;Não
361;Não
362;Não
363;Não
364;Não
365;Não
366;Não
367;Não
368;Não
369;Não
370;Não
371;Não
372;Não
373;Não
374;Não
375;Não
376;Não
377;Não
378;Não
379;Não
380;Não
381;Não
382;Não
383;Não
384;Não
385;Não
386;Não
387;Não
388;Não
389;Não
390;Não
391;Não
392;Não
393;Não
394;Não
395;Não
396;Não
397;Não
398;Não
399;Não
400;Não
401;Não
402;Não
403;Não
404;Não
405;Não
406;Não
407;Não
408;Não
409;Não
410;Não
411;Não
412;Não
413;Não
414;Não
415;Não
416;Não
417;Não
418;Não
419;Não
420;Não
421;Não
422;Não
423;Não
424;Não
425;Não
426;Não
427;Não
428;Não
429;Não
430;Não
431;Não
432;Não
433;Não
434;Não
435;Não
436;Não
437;Não
438;Não
439;Não
440;Não
441;Não
442;Não
443;Não
444;Não
445;Não
446;Não
447;Não
448;Não
449;Não
450;Não
451;Não
452;Não
453;Não
454;Não
455;Não
456;Não
457;Não
458;Não
459;Não
460;Não
461;Não
462;Não
463;Não
464;Não
465;Não
466;Não
467;Não
468;Não
469;Não
470;Não
471;Não
472;Não
473;Não
474;Não
475;Não
476;Não
477;Não
478;Não
479;Não
480;Não
481;Não
482;Não
483;Não
484;Não
485;Não
486;Não
