ID;Score
1;
2;
3;
4;
5;
6;
7;
8;
9;
10;
11;
12;
13;
14;
15;
16;
17;
18;
19;
20;
21;
22;
23;
24;
25;
26;
27;
28;
29;
30;
31;
32;
33;
34;
35;
36;
37;
38;
39;
40;
41;
42;
43;
44;
45;
46;
47;
48;
49;
50;
51;
52;
53;
54;
55;
56;
57;
58;
59;
60;
61;
62;
63;
64;
65;
66;
67;
68;
69;
70;
71;
72;
73;
74;
75;
76;
77;
78;
79;
80;
81;
82;
83;
84;
85;
86;
87;
88;
89;
90;
91;
92;
93;
94;
95;
96;
97;
98;
99;
100;
101;
102;
103;
104;
105;
106;
107;
108;
109;
110;
111;
112;
113;
114;
115;
116;
117;
118;
119;100
120;898
121;930
122;592
123;628
124;609
125;231
126;753
127;
128;
129;
130;
131;
132;
133;
134;
135;
136;
137;
138;
139;
140;
141;
142;
143;
144;
145;
146;
147;
148;
149;
150;
151;
152;
153;
154;
155;
156;
157;
158;
159;
160;
161;
162;
163;
164;
165;
166;
167;
168;
169;
170;
171;
172;
173;
174;
175;
176;
177;
178;
179;
180;
181;
182;
183;896
184;245
185;451
186;643
187;412
188;209
189;589
190;621
191;Não encontrado
192;Não encontrado
193;Não encontrado
194;Não encontrado
195;Não encontrado
196;Não encontrado
197;Não encontrado
198;Não encontrado
199;Não encontrado
200;Não encontrado
201;Não encontrado
202;Não encontrado
203;Não encontrado
204;Não encontrado
205;Não encontrado
206;Não encontrado
207;Não encontrado
208;Não encontrado
209;Não encontrado
210;Não encontrado
211;Não encontrado
212;Não encontrado
213;Não encontrado
214;Não encontrado
215;Não encontrado
216;Não encontrado
217;Não encontrado
218;Não encontrado
219;Não encontrado
220;Não encontrado
221;Não encontrado
222;Não encontrado
223;Não encontrado
224;Não encontrado
225;Não encontrado
226;Não encontrado
227;Não encontrado
228;Não encontrado
229;Não encontrado
230;Não encontrado
231;Não encontrado
232;Não encontrado
233;Não encontrado
234;Não encontrado
235;Não encontrado
236;Não encontrado
237;Não encontrado
238;Não encontrado
239;Não encontrado
240;Não encontrado
241;Não encontrado
242;Não encontrado
243;Não encontrado
244;Não encontrado
245;Não encontrado
246;Não encontrado
247;Não encontrado
248;Não encontrado
249;Não encontrado
250;Não encontrado
251;Não encontrado
252;Não encontrado
253;Não encontrado
254;Não encontrado
255;Não encontrado
256;Não encontrado
257;Não encontrado
258;Não encontrado
259;Não encontrado
260;Não encontrado
261;Não encontrado
262;Não encontrado
263;Não encontrado
264;Não encontrado
265;Não encontrado
266;Não encontrado
267;Não encontrado
268;Não encontrado
269;Não encontrado
270;Não encontrado
271;Não encontrado
272;Não encontrado
273;Não encontrado
274;Não encontrado
275;Não encontrado
276;Não encontrado
277;Não encontrado
278;Não encontrado
279;Não encontrado
280;Não encontrado
281;Não encontrado
282;Não encontrado
283;Não encontrado
284;Não encontrado
285;Não encontrado
286;Não encontrado
287;Não encontrado
288;Não encontrado
289;Não encontrado
290;Não encontrado
291;Não encontrado
292;Não encontrado
293;Não encontrado
294;Não encontrado
295;Não encontrado
296;Não encontrado
297;Não encontrado
298;Não encontrado
299;Não encontrado
300;Não encontrado
301;Não encontrado
302;Não encontrado
303;Não encontrado
304;Não encontrado
305;Não encontrado
306;Não encontrado
307;Não encontrado
308;Não encontrado
309;Não encontrado
310;Não encontrado
311;Não encontrado
312;Não encontrado
313;Não encontrado
314;Não encontrado
315;Não encontrado
316;Não encontrado
317;Não encontrado
318;Não encontrado
319;Não encontrado
320;Não encontrado
321;Não encontrado
322;630
323;631
324;184
325;123
326;582
327;769
328;329
329;254
330;335
