1;"Irish Stew";1;"Cut the beef into 1"" chunks
Braise the meat
Add water and Guinness
Chop onions, potatoes, and carrots into 1/2"" chunks.
Add to stew.
Simmer until vegetables are done.";
2;"Salsa Buena";5;"Coarsely dice the jalapenos .
Mix all ingredients thoroughly in a bowl and let stand in the refrigerator for about an hour. 
Serve with your favorite corn chips.";
3;"Machos Nachos";5;"Slice the jalapenos crosswise (in circles) and set aside.
Grate the cheddar cheese and set aside.
Dice the onion and set aside.
Spread the tortilla chips on a large microwavable dish.
Top the chips with the grated cheese, diced onion, and jalapenos.
Place the dish in the micowave and cook until the cheese just melts, about 3-4 minutes on high.
When the cheese has melted, remove the dish and top with the black olives.";"You can add a half a cup of diced tomatoes to this dish if you like. You can either add them prior to cooking in the microwave or afterwards, just before you add the black olives."
4;"Garlic Green Beans";2;"Snap off and discard the ends of the beans, then rinse them in cold water.
Mince the two cloves of garlic.
Heat the oil in a frying pan on medium high heat.
When the oil is hot, add the green beans and garlic. 
Stir contiuously for about four minutes. 
Place the beans on a serving dish when they're done and sprinkle silvered almonds on the top.";"Be sure not to burn the oil. Watch it carefully while it's heating."
5;"Fettuccini Alfredo";1;"Fill a large pot two thirds full with water. Add one tablespoon each of salt and vegetable oil. Bring to a rollling boil.
Reduce heat, add pasta, and stir briefly. Cook until pasta is al dente.
Just before the pasta is ready (about five minutes), melt the butter in a frying pan on low heat.
After the butter has melted, add the heavy cream to the pan. Increase the heat to medium and stir until the mixture is slightly thickened. Remove the pan from the heat once the mixture is ready.
Drain the fettuccini when it's done and add it to the mixture in the frying pan.
Mix three ounces of the cheese the the fettuccini and toss the entire mixture.
Add another three ounces of cheese and the white pepper, and toss again lightly.";
6;"Pollo Picoso";1;"Wash chicken pieces thoroughly in cold water. Pat dry and set aside.
Mince garlic and then mix it with the salt, pepper, and cayenne. Make sure the mixture is combined as thoroughly as possible.
Coat each chicken piece (to taste) with the mixture. 
Place pieces in the broiler pan and cook for 15 minutes. Turn pieces and cook for another 15 minutes. Turn pieces once more and cook for 35 - 40 minutes.
When the chicken is cooked, remove from stove and let it stand for 10 minutes.";"Pre-heat the oven to 400 degrees.
Cover the bottom of a broiler pan with a sheet of aluminum foil and then pour in about 1/2 an inch of water. The water will keep the chicken grease drippings from splattering throughout the inside of the stove and causing smoke. The foil makes the pan easier to clean."
7;"Mike's Summer Salad";4;"Rinse lettuce and cut into bite size pieces. (You can tear them if you really want to.)
Dust off mushrooms, remove stems, and slice into thick pieces, about 1/4"".
Peel the cucumber and slice it into 1/4"" thick circles.
Slice the tomatoes into 1/2"" wedges.
Wash radishes, remove leafy head and root, and slice into 1/8"" circles.
Mix all ingredients together in a large salad bowl and add your favorite balsamic vinaigrette dressing.";
8;"Trifle";6;"Prepare the Jello and custard per package directions.
In tall dessert cups, place a 1/2"" layer of the sponge cake.  Soak the layer of cake in Jello.  Spoon on a thin layer of raspberry jam.  Add a layer of custard.
Continue adding layers of sponge cake, jam, and custard until the cup is full (with a layer of custard on top) -- 2 to 3 layers.
Chill for 2 hours.  Sprinkle colored sugar on top and serve.";"For a ""spicier"" dessert, replace half the liquid in the Jello with brandy or your favorite liqueur."
9;"Roast Beef";1;"Place the beef on a roasting rack in a roasting pan.
Make a paste of ground garlic, salt, and pepper.  Smother the outside of the roast with the paste.
Roast at 325 for about 20 minutes per pound or to an internal temperature of 160F for medium-rare.
Remove from oven and let stand 15 minutes before carving.  Reserve the beef drippings for gravy or Yorkshire Pudding.";
10;"Yorkshire Pudding";3;"Place the eggs and water in a blender.  While running the blender, slowly add the flour.  Add the salt and milk and blend for 30 seconds more.
Let stand in a refrigerator for 1 hour or more.
Heat the roasting pan with beef drippings to 450F.  Pour in the pudding mixture.  Cook in a very hot oven for 20-25 minutes or until puffed up and golden brown.  Remove from the pan immediately and cut into slices.  Serve with brown gravy.";
11;"Huachinango Veracruzana (Red Snapper, Veracruz style)";1;"Heat one ounce of olive oil in a 1.5 quart saucepan.  Slice the onion and sautee lightly in the olive oil.
Drain the canned tomatoes (you can use peeled fresh tomatoes if you like) and puree in a blender.
To the pureed tomatoes, add all the spices, thinly sliced Jalapenos, and green olives.  Pour the tomato and spice mixture into the saucepan with the onions and simmer on a very low heat covered for 30 minutes.
While the sauce is cooking, peel and boil the potatoes.
Just before the potatoes are done, heat the remaining olive oil in a large frypan.  Wash and lightly dust the fish pieces in a mixture of flour, salt, and pepper.  Fry the fish, turning once, until just done.
Place the cooked fish in a large platter.  Surround the fish with the boiled potatoes.  Pour the sauce over the fish, sprinkle with chopped parsley, and serve immediately.
Serves 6.";"You can substitute any firm white fish filets for the Red Snapper.  If you use salted canned tomatoes, reduce the salt in the sauce by half.  Adjust the amount of the Jalapenos in the sauce to suit your taste for spicy food!"
12;"Asparagus";2;"Wash the asparagus and break off the tough part (if any) at the bottom of the stalks.  Arrange on a steaming rack in a large saucepan.  Dab liberally with pats of butter and sprinkle on the chopped garlic.  Steam until just tender -- no more than 5 minutes for large stalks.  Serve immediately.";"You can chill the cooked asparagus and serve with your favorite dip as an appetizer."
