Amount;First-Two
2491,84;24
1700,00;17
7862,40;78
334,00;33
41,57;41
1258,56;12
4306,68;43
96,50;96
5000000,00;50
23538,38;23
139,91;13
900,00;90
457341,50;45
53669,18;53
1125,00;11
421,62;42
1515,00;15
329364,06;32
639,00;63
12,98;12
1368,00;13
15,36;15
636,67;63
40,00;40
115,65;11
40,00;40
65,43;65
13,77;13
4417,75;44
669,02;66
600,00;60
2100,00;21
35,00;35
1,62;16
16,87;16
1860,00;18
3088,80;30
2115,41;21
371,30;37
5,00;50
5,27;52
9013,82;90
490,00;49
134,47;13
3832,69;38
231,19;23
5,77;57
65,85;65
379756,34;37
1000,00;10
949,75;94
15898,90;15
18938,88;18
2750,00;27
1429,80;14
1998,60;19
899,46;89
3191,39;31
1500,00;15
2173,68;21
162,00;16
20,64;20
800,00;80
26116,92;26
2072,16;20
75122,81;75
3386,73;33
371,11;37
50403,36;50
28,75;28
107282,37;10
75,60;75
266,00;26
100,00;10
60,83;60
1350,74;13
110,00;11
6128,75;61
5000000,00;50
995,76;99
3237,07;32
22721,10;22
34,11;34
659,78;65
930,11;93
672,50;67
2050,88;20
899,44;89
46800,00;46
29069,79;29
384121,81;38
6807,60;68
15,00;15
2651,99;26
60,40;60
641,89;64
489,60;48
2026,80;20
3795,52;37
10695,60;10
660,00;66
400,00;40
4843,72;48
77,00;77
90,00;90
602,18;60
16,08;16
99,00;99
35087,76;35
49,83;49
120,00;12
892,48;89
15768,64;15
330,92;33
73,66;73
19866,92;19
552,44;55
3876,35;38
18,26;18
62,53;62
7,00;70
264,92;26
31,50;31
5812,25;58
64438,53;64
8,00;80
964,42;96
12645,00;12
854050,94;85
15976,80;15
23,20;23
1932,62;19
115,26;11
0,02;20
464,00;46
833,63;83
63111,86;63
201,48;20
8032,58;80
59,75;59
224,40;22
1123,48;11
6,75;67
16841,93;16
12,90;12
56,53;56
325,00;32
75,94;75
65,37;65
35301,60;35
72,41;72
160,00;16
917006,56;91
40,00;40
73,57;73
100,86;10
279,00;27
99,70;99
3052,08;30
58,00;58
40,00;40
421,62;42
1777,28;17
50,00;50
149,66;14
1884,96;18
45025,52;45
180,00;18
395,71;39
107,50;10
397,14;39
11,54;11
240,00;24
30240,92;30
57,77;57
250000,00;25
540,00;54
56,53;56
1296,20;12
3581,45;35
446,07;44
673,08;67
10232,32;10
2167,92;21
10698,12;10
2106,60;21
15493,80;15
4016,00;40
212,50;21
2977,87;29
300,00;30
7670,93;76
14942,19;14
12,71;12
3000,00;30
203903,94;20
2000000,00;20
243,36;24
1398,31;13
790,61;79
185,00;18
803,38;80
60,87;60
518,96;51
80,53;80
1281,95;12
13820,14;13
97,20;97
1944,00;19
5295,60;52
2009,12;20
5969,36;59
33052,47;33
3250,00;32
19883,04;19
13988,80;13
99,23;99
552,13;55
2915330,50;29
4,18;41
676497,69;67
16,84;16
140960,91;14
303,00;30
106,99;10
1464,00;14
680420,75;68
740831,94;74
607,02;60
10,62;10
181659,56;18
69,74;69
3692,44;36
550,00;55
1268,14;12
828,05;82
868,19;86
27863,09;27
653,00;65
1000,00;10
5004,34;50
200,94;20
45589,05;45
2183,48;21
77,00;77
4696,57;46
12390769,00;12
3153,60;31
4559,00;45
6939,16;69
26930,65;26
50763,25;50
880,25;88
406,00;40
1071,50;10
5000,00;50
750,00;75
130,00;13
167,92;16
40,00;40
2256,48;22
112,12;11
145580,19;14
9665,83;96
2424722,75;24
144,00;14
3723,41;37
20,00;20
17550,99;17
2250308,00;22
1396950,25;13
321840,00;32
38543,74;38
162,00;16
236,11;23
89,08;89
201,61;20
1685,00;16
12,62;12
12300,00;12
515,18;51
22092,00;22
22331,52;22
869966,13;86
10587,45;10
2899,84;28
1906,81;19
40,00;40
7307,70;73
29866,86;29
3475,00;34
145,80;14
1195,20;11
37,31;37
1000,00;10
1298,16;12
40,00;40
401,00;40
22,80;22
202060,50;20
3616,95;36
30079374,00;30
617,27;61
145,00;14
2420,66;24
1670,00;16
0,02;20
70,38;70
12,00;12
55,66;55
16987,50;16
437,34;43
49,83;49
650,00;65
845,00;84
3363,98;33
2120,98;21
0,36;36
977,32;97
111,20;11
11,88;11
0,04;40
1,60;16
9122,00;91
418,08;41
3015,00;30
4300,00;43
94,65;94
2650,52;26
932,47;93
1797,84;17
11037,13;11
1252763,13;12
306,65;30
592,75;59
247,56;24
8504,62;85
85,50;85
654,09;65
3896,03;38
18118,61;18
1215,54;12
712,08;71
2593,43;25
32,40;32
75,79;75
7563,50;75
10,00;10
138000,00;13
561,60;56
22,69;22
473045,78;47
3066,22;30
2990,96;29
8847,00;88
319,42;31
113,04;11
314808,22;31
1854,50;18
235,00;23
378,41;37
7530,48;75
10,45;10
123337,31;12
34612,73;34
553384,00;55
10319786,00;10
8,31;83
5802,24;58
3406,51;34
140,00;14
32479,37;32
8336,77;83
267,45;26
1980,00;19
2445,00;24
187102,05;18
430,37;43
1087,16;10
572,00;57
22470,75;22
569,78;56
188182,88;18
3257150,50;32
218,72;21
270,84;27
48806,10;48
198,00;19
504,44;50
13,33;13
4820,69;48
6,50;65
8570,84;85
3119,30;31
277,90;27
1461706,25;14
7378,77;73
17669,77;17
70,00;70
4735,73;47
480,00;48
1433,66;14
2700,00;27
369,60;36
145,70;14
0,07;70
