Soma de gdpPercap;;year;;;;;;;;;;;;
country;continent;1952;1957;1962;1967;1972;1977;1982;1987;1992;1997;2002;2007;Total Geral
Afghanistan;Asia;$779,45;$820,85;$853,10;$836,20;$739,98;$786,11;$978,01;$852,40;$649,34;$635,34;$726,73;$974,58;$9.632,10
Albania;Europe;$1.601,06;$1.942,28;$2.312,89;$2.760,20;$3.313,42;$3.533,00;$3.630,88;$3.738,93;$2.497,44;$3.193,05;$4.604,21;$5.937,03;$39.064,40
Algeria;Africa;$2.449,01;$3.013,98;$2.550,82;$3.246,99;$4.182,66;$4.910,42;$5.745,16;$5.681,36;$5.023,22;$4.797,30;$5.288,04;$6.223,37;$53.112,31
Angola;Africa;$3.520,61;$3.827,94;$4.269,28;$5.522,78;$5.473,29;$3.008,65;$2.756,95;$2.430,21;$2.627,85;$2.277,14;$2.773,29;$4.797,23;$43.285,21
Argentina;Americas;$5.911,32;$6.856,86;$7.133,17;$8.052,95;$9.443,04;$10.079,03;$8.997,90;$9.139,67;$9.308,42;$10.967,28;$8.797,64;$12.779,38;$107.466,65
Australia;Oceania;$10.039,60;$10.949,65;$12.217,23;$14.526,12;$16.788,63;$18.334,20;$19.477,01;$21.888,89;$23.424,77;$26.997,94;$30.687,75;$34.435,37;$239.767,15
Austria;Europe;$6.137,08;$8.842,60;$10.750,72;$12.834,60;$16.661,63;$19.749,42;$21.597,08;$23.687,83;$27.042,02;$29.095,92;$32.417,61;$36.126,49;$244.943,00
Bahrain;Asia;$9.867,08;$11.635,80;$12.753,28;$14.804,67;$18.268,66;$19.340,10;$19.211,15;$18.524,02;$19.035,58;$20.292,02;$23.403,56;$29.796,05;$216.931,97
Bangladesh;Asia;$684,24;$661,64;$686,34;$721,19;$630,23;$659,88;$676,98;$751,98;$837,81;$972,77;$1.136,39;$1.391,25;$9.810,71
Belgium;Europe;$8.343,11;$9.714,96;$10.991,21;$13.149,04;$16.672,14;$19.117,97;$20.979,85;$22.525,56;$25.575,57;$27.561,20;$30.485,88;$33.692,61;$238.809,10
Benin;Africa;$1.062,75;$959,60;$949,50;$1.035,83;$1.085,80;$1.029,16;$1.277,90;$1.225,86;$1.191,21;$1.232,98;$1.372,88;$1.441,28;$13.864,74
Bolivia;Americas;$2.677,33;$2.127,69;$2.180,97;$2.586,89;$2.980,33;$3.548,10;$3.156,51;$2.753,69;$2.961,70;$3.326,14;$3.413,26;$3.822,14;$35.534,75
Bosnia and Herzegovina;Europe;$973,53;$1.353,99;$1.709,68;$2.172,35;$2.860,17;$3.528,48;$4.126,61;$4.314,11;$2.546,78;$4.766,36;$6.018,98;$7.446,30;$41.817,35
Botswana;Africa;$851,24;$918,23;$983,65;$1.214,71;$2.263,61;$3.214,86;$4.551,14;$6.205,88;$7.954,11;$8.647,14;$11.003,61;$12.569,85;$60.378,04
Brazil;Americas;$2.108,94;$2.487,37;$3.336,59;$3.429,86;$4.985,71;$6.660,12;$7.030,84;$7.807,10;$6.950,28;$7.957,98;$8.131,21;$9.065,80;$69.951,80
Bulgaria;Europe;$2.444,29;$3.008,67;$4.254,34;$5.577,00;$6.597,49;$7.612,24;$8.224,19;$8.239,85;$6.302,62;$5.970,39;$7.696,78;$10.680,79;$76.608,66
Burkina Faso;Africa;$543,26;$617,18;$722,51;$794,83;$854,74;$743,39;$807,20;$912,06;$931,75;$946,29;$1.037,65;$1.217,03;$10.127,89
Burundi;Africa;$339,30;$379,56;$355,20;$412,98;$464,10;$556,10;$559,60;$621,82;$631,70;$463,12;$446,40;$430,07;$5.659,96
Cambodia;Asia;$368,47;$434,04;$496,91;$523,43;$421,62;$524,97;$624,48;$683,90;$682,30;$734,29;$896,23;$1.713,78;$8.104,41
Cameroon;Africa;$1.172,67;$1.313,05;$1.399,61;$1.508,45;$1.684,15;$1.783,43;$2.367,98;$2.602,66;$1.793,16;$1.694,34;$1.934,01;$2.042,10;$21.295,61
Canada;Americas;$11.367,16;$12.489,95;$13.462,49;$16.076,59;$18.970,57;$22.090,88;$22.898,79;$26.626,52;$26.342,88;$28.954,93;$33.328,97;$36.319,24;$268.928,96
Central African Republic;Africa;$1.071,31;$1.190,84;$1.193,07;$1.136,06;$1.070,01;$1.109,37;$956,75;$844,88;$747,91;$740,51;$738,69;$706,02;$11.505,42
Chad;Africa;$1.178,67;$1.308,50;$1.389,82;$1.196,81;$1.104,10;$1.133,98;$797,91;$952,39;$1.058,06;$1.004,96;$1.156,18;$1.704,06;$13.985,44
Chile;Americas;$3.939,98;$4.315,62;$4.519,09;$5.106,65;$5.494,02;$4.756,76;$5.095,67;$5.547,06;$7.596,13;$10.118,05;$10.778,78;$13.171,64;$80.439,47
China;Asia;$400,45;$575,99;$487,67;$612,71;$676,90;$741,24;$962,42;$1.378,90;$1.655,78;$2.289,23;$3.119,28;$4.959,11;$17.859,69
Colombia;Americas;$2.144,12;$2.323,81;$2.492,35;$2.678,73;$3.264,66;$3.815,81;$4.397,58;$4.903,22;$5.444,65;$6.117,36;$5.755,26;$7.006,58;$50.344,12
Comoros;Africa;$1.102,99;$1.211,15;$1.406,65;$1.876,03;$1.937,58;$1.172,60;$1.267,10;$1.315,98;$1.246,91;$1.173,62;$1.075,81;$986,15;$15.772,56
Congo, Dem. Rep.;Africa;$780,54;$905,86;$896,31;$861,59;$904,90;$795,76;$673,75;$672,77;$457,72;$312,19;$241,17;$277,55;$7.780,11
Congo, Rep.;Africa;$2.125,62;$2.315,06;$2.464,78;$2.677,94;$3.213,15;$3.259,18;$4.879,51;$4.201,19;$4.016,24;$3.484,16;$3.484,06;$3.632,56;$39.753,46
Costa Rica;Americas;$2.627,01;$2.990,01;$3.460,94;$4.161,73;$5.118,15;$5.926,88;$5.262,73;$5.629,92;$6.160,42;$6.677,05;$7.723,45;$9.645,06;$65.383,33
Cote d'Ivoire;Africa;$1.388,59;$1.500,90;$1.728,87;$2.052,05;$2.378,20;$2.517,74;$2.602,71;$2.156,96;$1.648,07;$1.786,27;$1.648,80;$1.544,75;$22.953,90
Croatia;Europe;$3.119,24;$4.338,23;$5.477,89;$6.960,30;$9.164,09;$11.305,39;$13.221,82;$13.822,58;$8.447,79;$9.875,60;$11.628,39;$14.619,22;$111.980,55
Cuba;Americas;$5.586,54;$6.092,17;$5.180,76;$5.690,27;$5.305,45;$6.380,49;$7.316,92;$7.532,92;$5.592,84;$5.431,99;$6.340,65;$8.948,10;$75.399,10
Czech Republic;Europe;$6.876,14;$8.256,34;$10.136,87;$11.399,44;$13.108,45;$14.800,16;$15.377,23;$16.310,44;$14.297,02;$16.048,51;$17.596,21;$22.833,31;$167.040,14
Denmark;Europe;$9.692,39;$11.099,66;$13.583,31;$15.937,21;$18.866,21;$20.422,90;$21.688,04;$25.116,18;$26.406,74;$29.804,35;$32.166,50;$35.278,42;$260.061,90
Djibouti;Africa;$2.669,53;$2.864,97;$3.020,99;$3.020,05;$3.694,21;$3.081,76;$2.879,47;$2.880,10;$2.377,16;$1.895,02;$1.908,26;$2.082,48;$32.374,00
Dominican Republic;Americas;$1.397,72;$1.544,40;$1.662,14;$1.653,72;$2.189,87;$2.681,99;$2.861,09;$2.899,84;$3.044,21;$3.614,10;$4.563,81;$6.025,37;$34.138,28
Ecuador;Americas;$3.522,11;$3.780,55;$4.086,11;$4.579,07;$5.280,99;$6.679,62;$7.213,79;$6.481,78;$7.103,70;$7.429,46;$5.773,04;$6.873,26;$68.803,50
Egypt;Africa;$1.418,82;$1.458,92;$1.693,34;$1.814,88;$2.024,01;$2.785,49;$3.503,73;$3.885,46;$3.794,76;$4.173,18;$4.754,60;$5.581,18;$36.888,37
El Salvador;Americas;$3.048,30;$3.421,52;$3.776,80;$4.358,60;$4.520,25;$5.138,92;$4.098,34;$4.140,44;$4.444,23;$5.154,83;$5.351,57;$5.728,35;$53.182,16
Equatorial Guinea;Africa;$375,64;$426,10;$582,84;$915,60;$672,41;$958,57;$927,83;$966,90;$1.132,06;$2.814,48;$7.703,50;$12.154,09;$29.630,00
Eritrea;Africa;$328,94;$344,16;$381,00;$468,79;$514,32;$505,75;$524,88;$521,13;$582,86;$913,47;$765,35;$641,37;$6.492,03
Ethiopia;Africa;$362,15;$378,90;$419,46;$516,12;$566,24;$556,81;$577,86;$573,74;$421,35;$515,89;$530,05;$690,81;$6.109,38
Finland;Europe;$6.424,52;$7.545,42;$9.371,84;$10.921,64;$14.358,88;$15.605,42;$18.533,16;$21.141,01;$20.647,16;$23.723,95;$28.204,59;$33.207,08;$209.684,67
France;Europe;$7.029,81;$8.662,83;$10.560,49;$12.999,92;$16.107,19;$18.292,64;$20.293,90;$22.066,44;$24.703,80;$25.889,78;$28.926,03;$30.470,02;$226.002,84
Gabon;Africa;$4.293,48;$4.976,20;$6.631,46;$8.358,76;$11.401,95;$21.745,57;$15.113,36;$11.864,41;$13.522,16;$14.722,84;$12.521,71;$13.206,48;$138.358,39
Gambia;Africa;$485,23;$520,93;$599,65;$734,78;$756,09;$884,76;$835,81;$611,66;$665,62;$653,73;$660,59;$752,75;$8.161,59
Germany;Europe;$7.144,11;$10.187,83;$12.902,46;$14.745,63;$18.016,18;$20.512,92;$22.031,53;$24.639,19;$26.505,30;$27.788,88;$30.035,80;$32.170,37;$246.680,21
Ghana;Africa;$911,30;$1.043,56;$1.190,04;$1.125,70;$1.178,22;$993,22;$876,03;$847,01;$925,06;$1.005,25;$1.111,98;$1.327,61;$12.534,98
Greece;Europe;$3.530,69;$4.916,30;$6.017,19;$8.513,10;$12.724,83;$14.195,52;$15.268,42;$16.120,53;$17.541,50;$18.747,70;$22.514,25;$27.538,41;$167.628,44
Guatemala;Americas;$2.428,24;$2.617,16;$2.750,36;$3.242,53;$4.031,41;$4.879,99;$4.820,49;$4.246,49;$4.439,45;$4.684,31;$4.858,35;$5.186,05;$48.184,83
Guinea;Africa;$510,20;$576,27;$686,37;$708,76;$741,67;$874,69;$857,25;$805,57;$794,35;$869,45;$945,58;$942,65;$9.312,81
Guinea-Bissau;Africa;$299,85;$431,79;$522,03;$715,58;$820,22;$764,73;$838,12;$736,42;$745,54;$796,66;$575,70;$579,23;$7.825,89
Haiti;Americas;$1.840,37;$1.726,89;$1.796,59;$1.452,06;$1.654,46;$1.874,30;$2.011,16;$1.823,02;$1.456,31;$1.341,73;$1.270,36;$1.201,64;$19.448,87
Honduras;Americas;$2.194,93;$2.220,49;$2.291,16;$2.538,27;$2.529,84;$3.203,21;$3.121,76;$3.023,10;$3.081,69;$3.160,45;$3.099,73;$3.548,33;$34.012,96
Hong Kong, China;Asia;$3.054,42;$3.629,08;$4.692,65;$6.197,96;$8.315,93;$11.186,14;$14.560,53;$20.038,47;$24.757,60;$28.377,63;$30.209,02;$39.724,98;$194.744,41
Hungary;Europe;$5.263,67;$6.040,18;$7.550,36;$9.326,64;$10.168,66;$11.674,84;$12.545,99;$12.986,48;$10.535,63;$11.712,78;$14.843,94;$18.008,94;$130.658,11
Iceland;Europe;$7.267,69;$9.244,00;$10.350,16;$13.319,90;$15.798,06;$19.654,96;$23.269,61;$26.923,21;$25.144,39;$28.061,10;$31.163,20;$36.180,79;$246.377,07
India;Asia;$546,57;$590,06;$658,35;$700,77;$724,03;$813,34;$855,72;$976,51;$1.164,41;$1.458,82;$1.746,77;$2.452,21;$12.687,56
Indonesia;Asia;$749,68;$858,90;$849,29;$762,43;$1.111,11;$1.382,70;$1.516,87;$1.748,36;$2.383,14;$3.119,34;$2.873,91;$3.540,65;$20.896,38
Iran;Asia;$3.035,33;$3.290,26;$4.187,33;$5.906,73;$9.613,82;$11.888,60;$7.608,33;$6.642,88;$7.235,65;$8.263,59;$9.240,76;$11.605,71;$88.518,99
