ID_REGISTRO	ID_ARQUIVO	PALAVRAS.CHAVE	VOLUME	NUMERO	ANO	MES_EDICAO	PAGINAS
114	40979-39725	x	1	1	1961	maio-agosto	105-116
890	40985-39729	x	1	1	1961	maio-agosto	117-140
2099	40986-39730	x	1	1	1961	maio-agosto	141-143
2220	40987-39731	x	1	1	1961	maio-agosto	143-146
1706	40988-39732	x	1	1	1961	maio-agosto	147-149
1825	40990-39735	x	1	1	1961	maio-agosto	149-152
672	40961-39707	x	1	1	1961	maio-agosto	17-33
33	40964-39709	x	1	1	1961	maio-agosto	35-56
169	40967-39715	x	1	1	1961	maio-agosto	57-63
558	40973-39718	x	1	1	1961	maio-agosto	65-78
752	40977-39722	x	1	1	1961	maio-agosto	79-91
946	40978-39724	x	1	1	1961	maio-agosto	93-104
1518	40956-39702	x	1	1	1961	maio-agosto	x
19	41012-39757	x	1	2	1961	setembro-dezembro	107-123
213	41013-39758	x	1	2	1961	setembro-dezembro	125-136
326	41000-39744	x	1	2	1961	setembro-dezembro	13-25
406	41014-39759	x	1	2	1961	setembro-dezembro	137-161
1911	41015-39760	x	1	2	1961	setembro-dezembro	163-166
2031	41016-39761	x	1	2	1961	setembro-dezembro	166-168
2150	41017-39762	x	1	2	1961	setembro-dezembro	168-170
2269	41018-39763	x	1	2	1961	setembro-dezembro	170-172
1757	41019-39764	x	1	2	1961	setembro-dezembro	172-173
1877	41020-39765	x	1	2	1961	setembro-dezembro	173-174
518	41001-39745	x	1	2	1961	setembro-dezembro	27-55
907	41002-39747	x	1	2	1961	setembro-dezembro	57-75
658	41008-39755	x	1	2	1961	setembro-dezembro	77-83
852	41011-39756	x	1	2	1961	setembro-dezembro	85-106
1601	40995-39742	x	1	2	1961	setembro-dezembro	x
183	40834-39594	x	1	3	1962	janeiro-abril	113-131
1800	40835-39595	x	1	3	1962	janeiro-abril	133-134
1920	40836-39596	x	1	3	1962	janeiro-abril	135-136
2040	40837-39597	x	1	3	1962	janeiro-abril	136-139
2159	40838-39598	x	1	3	1962	janeiro-abril	139-141
2278	40839-39599	x	1	3	1962	janeiro-abril	141-142
48	40828-39588	x	1	3	1962	janeiro-abril	29-42
240	40829-39589	x	1	3	1962	janeiro-abril	43-63
434	40830-39590	x	1	3	1962	janeiro-abril	65-71
628	40831-39591	x	1	3	1962	janeiro-abril	73-84
823	40832-39592	x	1	3	1962	janeiro-abril	85-95
880	40827-39587	x	1	3	1962	janeiro-abril	9-28
1015	40833-39593	x	1	3	1962	janeiro-abril	97-112
1571	40826-39586	x	1	3	1962	janeiro-abril	x
452	40849-39609	x	2	4	1962	maio-agosto	111-128
647	40850-39610	x	2	4	1962	maio-agosto	129-166
378	40841-39601	x	2	4	1962	maio-agosto	15-29
1766	40851-39611	x	2	4	1962	maio-agosto	167-169
1886	40852-39612	x	2	4	1962	maio-agosto	169-172
2004	40853-39613	x	2	4	1962	maio-agosto	172-174
2123	40854-39614	x	2	4	1962	maio-agosto	175-177
2244	40855-39615	x	2	4	1962	maio-agosto	177-178
573	40842-39602	x	2	4	1962	maio-agosto	31-46
766	40844-39604	x	2	4	1962	maio-agosto	47-60
960	40845-39606	x	2	4	1962	maio-agosto	61-77
129	40847-39607	x	2	4	1962	maio-agosto	79-91
258	40848-39608	x	2	4	1962	maio-agosto	93-109
1613	40840-39600	x	2	4	1962	maio-agosto	x
977	40940-39687	x	2	5	1962	setembro-dezembro	105-124
144	40941-39688	x	2	5	1962	setembro-dezembro	125-145
841	40933-39681	x	2	5	1962	setembro-dezembro	13-21
1732	40942-39689	x	2	5	1962	setembro-dezembro	147-149
1849	40943-39690	x	2	5	1962	setembro-dezembro	149-151
1970	40944-39691	x	2	5	1962	setembro-dezembro	151-154
2051	40946-39693	x	2	5	1962	setembro-dezembro	154-156
2169	40948-39694	x	2	5	1962	setembro-dezembro	156-159
8	40934-39682	x	2	5	1962	setembro-dezembro	23-31
202	40935-39683	x	2	5	1962	setembro-dezembro	35-56
395	40937-39684	x	2	5	1962	setembro-dezembro	57-70
590	40938-39685	x	2	5	1962	setembro-dezembro	73-88
783	40939-39686	x	2	5	1962	setembro-dezembro	89-104
1435	40856-39616	x	2	5	1962	setembro-dezembro	x
477	40954-39701	x	2	6	1963	janeiro-março	103-138
340	40947-39695	x	2	6	1963	janeiro-março	13-26
1777	40957-39703	x	2	6	1963	janeiro-março	142-144
1897	40958-39704	x	2	6	1963	janeiro-março	144-146
2015	40959-39705	x	2	6	1963	janeiro-março	146-147
2135	40962-39706	x	2	6	1963	janeiro-março	148-149
532	40949-39696	x	2	6	1963	janeiro-março	27-39
727	40950-39697	x	2	6	1963	janeiro-março	41-52
921	40951-39698	x	2	6	1963	janeiro-março	53-72
90	40952-39699	x	2	6	1963	janeiro-março	73-88
283	40953-39700	x	2	6	1963	janeiro-março	89-101
1476	40945-39692	x	2	6	1963	janeiro-março	x
365	40971-39716	x	3	7	1963	abril-junho	111-128
866	40963-39708	x	3	7	1963	abril-junho	11-22
2254	40972-39717	x	3	7	1963	abril-junho	129-132
1742	40974-39719	x	3	7	1963	abril-junho	132-135
1860	40975-39720	x	3	7	1963	abril-junho	136-139
1980	40976-39721	x	3	7	1963	abril-junho	139-141
