State,FIPS,Name,Area,People2010
AL,1001,Autauga County,594.44,54571
AL,1003,Baldwin County,1589.78,182265
AL,1005,Barbour County,884.88,27457
AL,1007,Bibb County,622.58,22915
AL,1009,Blount County,644.78,57322
AL,1011,Bullock County,622.80,10914
AL,1013,Butler County,776.83,20947
AL,1015,Calhoun County,605.87,118572
AL,1017,Chambers County,596.53,34215
AL,1019,Cherokee County,553.70,25989
AL,1021,Chilton County,692.85,43643
AL,1023,Choctaw County,913.50,13859
AL,1025,Clarke County,1238.46,25833
AL,1027,Clay County,603.96,13932
AL,1029,Cleburne County,560.10,14972
AL,1031,Coffee County,678.97,49948
AL,1033,Colbert County,592.62,54428
AL,1035,Conecuh County,850.16,13228
AL,1037,Coosa County,650.93,11539
AL,1039,Covington County,1030.46,37765
AL,1041,Crenshaw County,608.84,13906
AL,1043,Cullman County,734.84,80406
AL,1045,Dale County,561.15,50251
AL,1047,Dallas County,978.69,43820
AL,1049,DeKalb County,777.09,71109
AL,1051,Elmore County,618.48,79303
AL,1053,Escambia County,945.08,38319
AL,1055,Etowah County,534.99,104430
AL,1057,Fayette County,627.66,17241
AL,1059,Franklin County,633.82,31704
AL,1061,Geneva County,574.41,26790
AL,1063,Greene County,647.11,9045
AL,1065,Hale County,643.94,15760
AL,1067,Henry County,561.75,17302
AL,1069,Houston County,579.82,101547
AL,1071,Jackson County,1077.87,53227
AL,1073,Jefferson County,1111.28,658466
AL,1075,Lamar County,604.85,14564
AL,1077,Lauderdale County,667.70,92709
AL,1079,Lawrence County,690.68,34339
AL,1081,Lee County,607.54,140247
AL,1083,Limestone County,559.94,82782
AL,1085,Lowndes County,715.91,11299
AL,1087,Macon County,608.89,21452
AL,1089,Madison County,801.59,334811
AL,1091,Marengo County,976.88,21027
AL,1093,Marion County,742.29,30776
AL,1095,Marshall County,565.84,93019
AL,1097,Mobile County,1229.44,412992
AL,1099,Monroe County,1025.67,23068
AL,1101,Montgomery County,784.25,229363
AL,1103,Morgan County,579.34,119490
AL,1105,Perry County,719.66,10591
AL,1107,Pickens County,881.41,19746
AL,1109,Pike County,672.09,32899
AL,1111,Randolph County,580.55,22913
AL,1113,Russell County,641.14,52947
AL,1115,St. Clair County,631.90,83593
AL,1117,Shelby County,784.93,195085
AL,1119,Sumter County,903.89,13763
AL,1121,Talladega County,736.78,82291
AL,1123,Tallapoosa County,716.52,41616
AL,1125,Tuscaloosa County,1321.75,194656
AL,1127,Walker County,791.19,67023
AL,1129,Washington County,1080.21,17581
AL,1131,Wilcox County,888.50,11670
AL,1133,Winston County,612.98,24484
AK,2013,Aleutians East Borough,6981.94,3141
AK,2016,Aleutians West Census Area,4390.28,5561
AK,2020,Anchorage Municipality,1704.68,291826
AK,2050,Bethel Census Area,40570.00,17013
AK,2060,Bristol Bay Borough,503.84,997
AK,2068,Denali Borough,12751.41,1826
AK,2070,Dillingham Census Area,18568.78,4847
AK,2090,Fairbanks North Star Borough,7338.21,97581
AK,2100,Haines Borough,2318.60,2508
AK,2105,Hoonah-Angoon Census Area,7524.91,2150
AK,2110,Juneau City and Borough,2701.93,31275
AK,2122,Kenai Peninsula Borough,16075.33,55400
