Date,People2010
1/2/2009,-1700
1/2/2009,-23.16
1/2/2009,9.48
1/2/2009,24.61
1/2/2009,31.65
1/2/2009,71.1
1/2/2009,100.55
1/2/2009,109.85
1/2/2009,109.95
1/2/2009,115.98
1/2/2009,129
1/2/2009,132.84
1/2/2009,147.88
1/2/2009,153.97
1/2/2009,249.24
1/2/2009,256.96
1/2/2009,319.96
1/2/2009,482.4
1/2/2009,586.19
1/2/2009,698.63
1/2/2009,815.57
1/2/2009,982.48
1/2/2009,1224.82
1/2/2009,1459
1/2/2009,1770
1/2/2009,1854.74
1/2/2009,1866.82
1/2/2009,2298.28
1/2/2009,2450
1/2/2009,2500
1/3/2009,71.22
1/3/2009,76.5
1/3/2009,234.72
1/3/2009,298.75
1/3/2009,2156
1/3/2009,2661.96
1/4/2009,6.99
1/4/2009,240.4
1/4/2009,315.4
1/5/2009,-50
1/5/2009,-2.59
1/5/2009,4.75
1/5/2009,4.75
1/5/2009,6.99
1/5/2009,11.43
1/5/2009,13.4
1/5/2009,16.8
1/5/2009,17.5
1/5/2009,39.86
1/5/2009,48.4
1/5/2009,50.77
1/5/2009,54
1/5/2009,56
1/5/2009,84.99
1/5/2009,85.5
1/5/2009,86.18
1/5/2009,101.96
1/5/2009,102.57
1/5/2009,125.36
1/5/2009,133.86
1/5/2009,137.35
1/5/2009,144.85
1/5/2009,150
1/5/2009,168.2
1/5/2009,221.94
1/5/2009,224.87
1/5/2009,229.5
1/5/2009,235
1/5/2009,237
1/5/2009,253.56
1/5/2009,310.77
1/5/2009,330
1/5/2009,359
1/5/2009,369.2
1/5/2009,381.11
1/5/2009,419.38
1/5/2009,423.6
1/5/2009,425
1/5/2009,525
1/5/2009,565
1/5/2009,602.33
1/5/2009,620
1/5/2009,855.37
1/5/2009,919.22
1/5/2009,957.33
1/5/2009,1250
1/5/2009,1386.78
1/5/2009,1449.36
1/5/2009,1491.52
1/5/2009,1555.84
1/5/2009,1818.36
1/5/2009,1908.52
1/5/2009,1923.81
1/5/2009,2030.15
1/5/2009,2164.61
1/5/2009,2496.78
1/5/2009,2500
1/5/2009,2982.23
1/5/2009,3013.44
1/5/2009,3147.33
1/5/2009,4450
1/6/2009,-1041.27
1/6/2009,-608.97
1/6/2009,-464.48
1/6/2009,-39.66
1/6/2009,-25.61
1/6/2009,4.75
1/6/2009,4.75
1/6/2009,4.75
1/6/2009,4.75
1/6/2009,5.11
1/6/2009,14.78
1/6/2009,15
1/6/2009,34.89
1/6/2009,35.97
1/6/2009,37.15
1/6/2009,37.5
1/6/2009,39.66
1/6/2009,43.42
1/6/2009,43.55
1/6/2009,45.05
1/6/2009,52.47
1/6/2009,63.56
1/6/2009,72.36
1/6/2009,74.3
1/6/2009,75.83
1/6/2009,86.2
1/6/2009,93.95
1/6/2009,94.5
1/6/2009,94.95
1/6/2009,118.46
1/6/2009,126.44
1/6/2009,128.52
1/6/2009,132
1/6/2009,150
1/6/2009,151.75
1/6/2009,160
1/6/2009,168.2
1/6/2009,175
1/6/2009,190.42
1/6/2009,194.07
1/6/2009,195.91
1/6/2009,196.5
1/6/2009,205
1/6/2009,211.49
1/6/2009,219
1/6/2009,222.4
1/6/2009,222.4
1/6/2009,222.4
1/6/2009,227.37
1/6/2009,251.42
1/6/2009,264.4
1/6/2009,266.81
1/6/2009,270.48
1/6/2009,284.91
1/6/2009,285
1/6/2009,290
1/6/2009,298
1/6/2009,299
1/6/2009,312
1/6/2009,320
1/6/2009,320
1/6/2009,333
1/6/2009,350
1/6/2009,399
1/6/2009,410
1/6/2009,499.89
1/6/2009,504.14
1/6/2009,520
1/6/2009,549.1
1/6/2009,558.95
1/6/2009,575
1/6/2009,654.64
1/6/2009,667
1/6/2009,669.34
1/6/2009,691.12
1/6/2009,724.06
1/6/2009,777.6
1/6/2009,790.61
1/6/2009,815.43
1/6/2009,850
1/6/2009,970
1/6/2009,977
1/6/2009,992.75
1/6/2009,1050
1/6/2009,1100
1/6/2009,1100
1/6/2009,1100
1/6/2009,1137.67
1/6/2009,1250
