No.;Company;X1;X2;X3;X4;X5;X6;X7;X8
1;Arizona Public Service;1,1;9,2;151;54,4;1,6;9.077;0;0,628
2;Boston Edison Company;0,9;10,3;202;57,9;2,2;5.088;25,3;1,555
3;Central Louisiana Electric Co.;1,4;15,4;113;53;3,4;9.212;0;1,058
4;Commonwealth Edison Co.;1;11,2;168;56;0,3;6.423;34,3;0,7
5;Consolidated Edison Co. (NY);1,5;8,8;2;51,2;1;3.300;15,6;2,044
6;Florida Power and Light;1,3;13,5;111;60;-2,2;11.127;22,5;1,241
7;Hawaiian Electric Co.;1,2;12,2;175;67,6;2,2;7.642;0;1,652
8;Idaho Power Co.;1,1;9,2;245;57;3,3;13.082;0;0,309
9;Kentucky Utilities Co.;1,3;13;168;60,4;7,2;8.406;0;0,862
10;Madison Gas & Electric Co.;1,1;12,4;197;53;2,7;6.455;39,2;0,623
11;Nevada Power Co.;0,8;7,5;173;51,5;6,5;17.441;0;0,768
12;New England Electric Co.;1,1;10,9;178;62;3,7;6.154;0;1,897
13;Northern States Power Co.;1,2;12,7;199;53,7;6,4;7.179;50,2;0,527
14;Oklahoma Gas and Electric Co.;1,1;12;96;49,8;1,4;9.673;0;0,588
15;Pacific Gas & Electric Co.;1;7,6;164;62,2;-0,1;6.468;0,9;1,4
16;Puget Sound Power & Light Co.;1,2;9,9;252;56;9,2;15.991;0;0,62
17;San Diego Gas & Electric Co.;0,8;6,4;136;61,9;9;5.714;8,3;1,92
18;The Southern Co.;1,1;12,6;150;56,7;2,7;10.140;0;1,108
19;Texas Utilities Co.;1,2;11,7;104;54;-2,1;13.507;0;0,636
20;Wisconsin Electric Power Co.;1,2;11,8;148;59,9;3,5;7.297;41,1;0,702
21;United Illuminating Co.;1;8,6;204;61;3,5;6.650;0;2,116
22;Virginia Electric & Power Co.;1,1;9,3;1.784;54,3;5,9;10.093;26,6;1,306
