Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
108.0,9,Alabama,9,32,60,,Apr 21,,,,,,,,Zogby-9
 61.5,4,Alabama,9,38,57,,Mar 03,,,,,,,,Florida Atlantic U.-4
281.5,2,Alaska,3,46,54,,Oct 08,,,,,,,,Alaska Survey Research-2
271.0,3,Alaska,3,43,52,,Sep 28,,,,,,,,Alaska Survey Research-3
255.5,2,Alaska,3,42,47,,Sep 12,,,,,,,,Alaska Survey Research-2
108.0,9,Alaska,3,43,50,,Apr 21,,,,,,,,Zogby-9
 61.5,4,Alaska,3,38,57,,Mar 03,,,,,,,,Florida Atlantic U.-4
293.5,6,Arizona,11,49,50,,Oct 22,,,,,,,,Marist Coll.-6
292.0,5,Arizona,11,49,49,,Oct 20,,,,,,,,Morning Consult-5
287.5,6,Arizona,11,48,51,,Oct 16,,,,,,,,YouGov-6
284.5,10,Arizona,11,49,48,,Oct 15,,,,,,,,Morning Consult-10
282.5,4,Arizona,11,46,51,,Oct 10,,,,,,,,Siena Coll.-4
280.5,4,Arizona,11,48,51,,Oct 08,,,,,,,,Emerson Coll.-4
280.5,16,Arizona,11,46,49,,Oct 14,,,,,,,,George Mason U.-16
277.0,11,Arizona,11,48,46,,Oct 08,,,,,,,,Fabrizio + GBAO-11
271.5,2,Arizona,11,48,52,,Sep 28,,,,,,,,Emerson Coll.-2
271.5,8,Arizona,11,48,50,,Oct 01,,,,,,,,Fabrizio + Anzalone-8
270.0,7,Arizona,11,48,47,,Sep 29,,,,,,,,GSG + NSOR-7
266.0,5,Arizona,11,48,51,,Sep 24,,,,,,,,Beacon + Shaw for Fox-5
266.0,7,Arizona,11,50,47,,Sep 25,,,,,,,,Morning Consult-7
266.0,7,Arizona,11,50,48,,Sep 25,,,,,,,,BSG + GS for Cook-7
264.5,6,Arizona,11,49,50,,Sep 23,,,,,,,,Marist Coll.-6
263.0,5,Arizona,11,45,50,,Sep 21,,,,,,,,Siena Coll.-5
260.5,4,Arizona,11,49,50,,Sep 18,,,,,,,,Emerson Coll.-4
257.5,10,Arizona,11,48,47,,Sep 18,,,,,,,,Morning Consult-10
252.0,3,Arizona,11,46,46,,Sep 09,,,,,,,,Data Orbital-3
247.5,10,Arizona,11,47,49,,Sep 08,,,,,,,,Morning Consult-10
243.0,3,Arizona,11,48,49,,Aug 31,,,,,,,,Insider Advantage-3
241.5,12,Arizona,11,45,47,,Sep 03,,,,,,,,YouGov-12
239.5,4,Arizona,11,47,50,,Aug 28,,,,,,,,Emerson Coll.-4
239.0,7,Arizona,11,44,49,,Aug 29,,,,,,,,SSRS for CNN-7
237.5,4,Arizona,11,48,48,,Aug 26,,,,,,,,Morning Consult-4
237.5,4,Arizona,11,50,49,,Aug 26,,,,,,,,Beacon + Shaw for Fox-4
227.0,5,Arizona,11,44,47,,Aug 16,,,,,,,,Noble Predictive Insights-5
224.5,8,Arizona,11,49,45,,Aug 15,,,,,,,,Siena Coll.-8
224.0,3,Arizona,11,47,44,,Aug 12,,,,,,,,Morning Consult-3
223.5,8,Arizona,11,47,46,,Aug 14,,,,,,,,Strategies 360-8
211.5,2,Arizona,11,47,49,,Jul 30,,,,,,,,PPP-2
211.5,8,Arizona,11,48,46,,Aug 02,,,,,,,,BSG + GS for Cook-8
208.0,5,Arizona,11,49,47,,Jul 28,,,,,,,,Morning Consult-5
204.5,2,Arizona,11,44,49,,Jul 23,,,,,,,,Emerson Coll.-2
197.5,2,Arizona,11,36,46,,Jul 16,,,,,,,,Emerson Coll.-2
197.5,2,Arizona,11,44,49,,Jul 16,,,,,,,,Insider Advantage-2
192.5,2,Arizona,11,44,52,,Jul 11,,,,,,,,PPP-2
190.0,9,Arizona,11,37,44,,Jul 12,,,,,,,,YouGov-9
185.0,5,Arizona,11,45,48,,Jul 05,,,,,,,,Morning Consult-5
183.0,3,Arizona,11,42,46,,Jul 02,,,,,,,,Emerson Coll.-3
167.5,6,Arizona,11,48,52,,Jun 18,,,,,,,,Emerson Coll.-6
154.5,4,Arizona,11,46,51,,Jun 04,,,,,,,,Beacon + Shaw for Fox-4
152.5,8,Arizona,11,44,50,,Jun 04,,,,,,,,Fabrizio + Anzalone-8
141.0,3,Arizona,11,45,43,,May 21,,,,,,,,Florida Atlantic U.-3
134.0,7,Arizona,11,47,52,,May 16,,,,,,,,YouGov-7
131.5,8,Arizona,11,41,44,,May 14,,,,,,,,Noble Predictive Insights-8
131.5,12,Arizona,11,47,52,,May 16,,,,,,,,YouGov-12
131.0,7,Arizona,11,44,49,,May 13,,,,,,,,Morning Consult-7
130.5,8,Arizona,11,44,45,,May 13,,,,,,,,BSG + GS for Cook-8
124.5,12,Arizona,11,43,49,,May 09,,,,,,,,Siena Coll.-12
118.0,5,Arizona,11,48,52,,Apr 29,,,,,,,,Emerson Coll.-5
108.0,9,Arizona,11,40,51,,Apr 21,,,,,,,,Zogby-9
101.5,6,Arizona,11,42,49,,Apr 13,,,,,,,,Morning Consult-6
 89.5,4,Arizona,11,36,39,,Mar 31,,,,,,,,RABA Research-4
