"","gutenberg_id","text"
"1",35,"The Time Machine"
"2",35,""
"3",35,"An Invention"
"4",35,""
"5",35,"by H. G. Wells"
"6",35,""
"7",35,""
"8",35,"CONTENTS"
"9",35,""
"10",35," I Introduction"
"11",35," II The Machine"
"12",35," III The Time Traveller Returns"
"13",35," IV Time Travelling"
"14",35," V In the Golden Age"
"15",35," VI The Sunset of Mankind"
"16",35," VII A Sudden Shock"
"17",35," VIII Explanation"
"18",35," IX The Morlocks"
"19",35," X When Night Came"
"20",35," XI The Palace of Green Porcelain"
"21",35," XII In the Darkness"
"22",35," XIII The Trap of the White Sphinx"
"23",35," XIV The Further Vision"
"24",35," XV The Time Traveller’s Return"
"25",35," XVI After the Story"
"26",35," Epilogue"
"27",35,""
"28",35,""
"29",35,""
"30",35,""
"31",35," I."
"32",35," Introduction"
"33",35,""
"34",35,""
"35",35,"The Time Traveller (for so it will be convenient to speak of him) was"
"36",35,"expounding a recondite matter to us. His pale grey eyes shone and"
"37",35,"twinkled, and his usually pale face was flushed and animated. The fire"
"38",35,"burnt brightly, and the soft radiance of the incandescent lights in the"
"39",35,"lilies of silver caught the bubbles that flashed and passed in our"
"40",35,"glasses. Our chairs, being his patents, embraced and caressed us rather"
"41",35,"than submitted to be sat upon, and there was that luxurious"
"42",35,"after-dinner atmosphere, when thought runs gracefully free of the"
"43",35,"trammels of precision. And he put it to us in this way—marking the"
"44",35,"points with a lean forefinger—as we sat and lazily admired his"
"45",35,"earnestness over this new paradox (as we thought it) and his fecundity."
"46",35,""
"47",35,"“You must follow me carefully. I shall have to controvert one or two"
"48",35,"ideas that are almost universally accepted. The geometry, for instance,"
"49",35,"they taught you at school is founded on a misconception.”"
"50",35,""
"51",35,"“Is not that rather a large thing to expect us to begin upon?” said"
"52",35,"Filby, an argumentative person with red hair."
"53",35,""
"54",35,"“I do not mean to ask you to accept anything without reasonable ground"
"55",35,"for it. You will soon admit as much as I need from you. You know of"
"56",35,"course that a mathematical line, a line of thickness _nil_, has no real"
"57",35,"existence. They taught you that? Neither has a mathematical plane."
"58",35,"These things are mere abstractions.”"
"59",35,""
"60",35,"“That is all right,” said the Psychologist."
"61",35,""
"62",35,"“Nor, having only length, breadth, and thickness, can a cube have a"
"63",35,"real existence.”"
"64",35,""
"65",35,"“There I object,” said Filby. “Of course a solid body may exist. All"
"66",35,"real things—”"
"67",35,""
"68",35,"“So most people think. But wait a moment. Can an _instantaneous_ cube"
"69",35,"exist?”"
"70",35,""
"71",35,"“Don’t follow you,” said Filby."
"72",35,""
"73",35,"“Can a cube that does not last for any time at all, have a real"
"74",35,"existence?”"
"75",35,""
"76",35,"Filby became pensive. “Clearly,” the Time Traveller proceeded, “any"
"77",35,"real body must have extension in _four_ directions: it must have"
"78",35,"Length, Breadth, Thickness, and—Duration. But through a natural"
"79",35,"infirmity of the flesh, which I will explain to you in a moment, we"
"80",35,"incline to overlook this fact. There are really four dimensions, three"
"81",35,"which we call the three planes of Space, and a fourth, Time. There is,"
"82",35,"however, a tendency to draw an unreal distinction between the former"
"83",35,"three dimensions and the latter, because it happens that our"
"84",35,"consciousness moves intermittently in one direction along the latter"
"85",35,"from the beginning to the end of our lives.”"
"86",35,""
"87",35,"“That,” said a very young man, making spasmodic efforts to relight his"
"88",35,"cigar over the lamp; “that . . . very clear indeed.”"
"89",35,""
"90",35,"“Now, it is very remarkable that this is so extensively overlooked,”"
"91",35,"continued the Time Traveller, with a slight accession of cheerfulness."
"92",35,"“Really this is what is meant by the Fourth Dimension, though some"
"93",35,"people who talk about the Fourth Dimension do not know they mean it. It"
"94",35,"is only another way of looking at Time. _There is no difference between"
"95",35,"Time and any of the three dimensions of Space except that our"
"96",35,"consciousness moves along it_. But some foolish people have got hold of"
"97",35,"the wrong side of that idea. You have all heard what they have to say"
"98",35,"about this Fourth Dimension?”"
"99",35,""
"100",35,"“_I_ have not,” said the Provincial Mayor."
"101",35,""
"102",35,"“It is simply this. That Space, as our mathematicians have it, is"
"103",35,"spoken of as having three dimensions, which one may call Length,"
"104",35,"Breadth, and Thickness, and is always definable by reference to three"
"105",35,"planes, each at right angles to the others. But some philosophical"
"106",35,"people have been asking why _three_ dimensions particularly—why not"
"107",35,"another direction at right angles to the other three?—and have even"
"108",35,"tried to construct a Four-Dimensional geometry. Professor Simon Newcomb"
"109",35,"was expounding this to the New York Mathematical Society only a month"
"110",35,"or so ago. You know how on a flat surface, which has only two"
"111",35,"dimensions, we can represent a figure of a three-dimensional solid, and"
"112",35,"similarly they think that by models of three dimensions they could"
"113",35,"represent one of four—if they could master the perspective of the"
"114",35,"thing. See?”"
"115",35,""
"116",35,"“I think so,” murmured the Provincial Mayor; and, knitting his brows,"
"117",35,"he lapsed into an introspective state, his lips moving as one who"
"118",35,"repeats mystic words. “Yes, I think I see it now,” he said after some"
"119",35,"time, brightening in a quite transitory manner."
"120",35,""
"121",35,"“Well, I do not mind telling you I have been at work upon this geometry"
"122",35,"of Four Dimensions for some time. Some of my results are curious. For"
"123",35,"instance, here is a portrait of a man at eight years old, another at"
"124",35,"fifteen, another at seventeen, another at twenty-three, and so on. All"
"125",35,"these are evidently sections, as it were, Three-Dimensional"
"126",35,"representations of his Four-Dimensioned being, which is a fixed and"
"127",35,"unalterable thing."
"128",35,""
"129",35,"“Scientific people,” proceeded the Time Traveller, after the pause"
"130",35,"required for the proper assimilation of this, “know very well that Time"
"131",35,"is only a kind of Space. Here is a popular scientific diagram, a"
"132",35,"weather record. This line I trace with my finger shows the movement of"
"133",35,"the barometer. Yesterday it was so high, yesterday night it fell, then"
"134",35,"this morning it rose again, and so gently upward to here. Surely the"
"135",35,"mercury did not trace this line in any of the dimensions of Space"
"136",35,"generally recognised? But certainly it traced such a line, and that"
"137",35,"line, therefore, we must conclude, was along the Time-Dimension.”"
"138",35,""
"139",35,"“But,” said the Medical Man, staring hard at a coal in the fire, “if"
"140",35,"Time is really only a fourth dimension of Space, why is it, and why has"
"141",35,"it always been, regarded as something different? And why cannot we move"
"142",35,"in Time as we move about in the other dimensions of Space?”"
"143",35,""
"144",35,"The Time Traveller smiled. “Are you so sure we can move freely in"
"145",35,"Space? Right and left we can go, backward and forward freely enough,"
"146",35,"and men always have done so. I admit we move freely in two dimensions."
"147",35,"But how about up and down? Gravitation limits us there.”"
"148",35,""
"149",35,"“Not exactly,” said the Medical Man. “There are balloons.”"
"150",35,""
"151",35,"“But before the balloons, save for spasmodic jumping and the"
"152",35,"inequalities of the surface, man had no freedom of vertical movement.”"
"153",35,""
"154",35,"“Still they could move a little up and down,” said the Medical Man."
"155",35,""
"156",35,"“Easier, far easier down than up.”"
"157",35,""
"158",35,"“And you cannot move at all in Time, you cannot get away from the"
"159",35,"present moment.”"
"160",35,""
"161",35,"“My dear sir, that is just where you are wrong. That is just where the"
"162",35,"whole world has gone wrong. We are always getting away from the present"
"163",35,"moment. Our mental existences, which are immaterial and have no"
"164",35,"dimensions, are passing along the Time-Dimension with a uniform"
"165",35,"velocity from the cradle to the grave. Just as we should travel _down_"
"166",35,"if we began our existence fifty miles above the earth’s surface.”"
"167",35,""
"168",35,"“But the great difficulty is this,” interrupted the Psychologist. ’You"
"169",35,"_can_ move about in all directions of Space, but you cannot move about"
"170",35,"in Time.”"
"171",35,""
"172",35,"“That is the germ of my great discovery. But you are wrong to say that"
"173",35,"we cannot move about in Time. For instance, if I am recalling an"
"174",35,"incident very vividly I go back to the instant of its occurrence: I"
"175",35,"become absent-minded, as you say. I jump back for a moment. Of course"
"176",35,"we have no means of staying back for any length of Time, any more than"
"177",35,"a savage or an animal has of staying six feet above the ground. But a"
"178",35,"civilised man is better off than the savage in this respect. He can go"
"179",35,"up against gravitation in a balloon, and why should he not hope that"
"180",35,"ultimately he may be able to stop or accelerate his drift along the"
"181",35,"Time-Dimension, or even turn about and travel the other way?”"
"182",35,""
"183",35,"“Oh, _this_,” began Filby, “is all—”"
"184",35,""
"185",35,"“Why not?” said the Time Traveller."
"186",35,""
"187",35,"“It’s against reason,” said Filby."
"188",35,""
"189",35,"“What reason?” said the Time Traveller."
"190",35,""
"191",35,"“You can show black is white by argument,” said Filby, “but you will"
"192",35,"never convince me.”"
"193",35,""
"194",35,"“Possibly not,” said the Time Traveller. “But now you begin to see the"
"195",35,"object of my investigations into the geometry of Four Dimensions. Long"
"196",35,"ago I had a vague inkling of a machine—”"
"197",35,""
"198",35,"“To travel through Time!” exclaimed the Very Young Man."
"199",35,""
"200",35,"“That shall travel indifferently in any direction of Space and Time, as"
"201",35,"the driver determines.”"
"202",35,""
"203",35,"Filby contented himself with laughter."
"204",35,""
"205",35,"“But I have experimental verification,” said the Time Traveller."
"206",35,""
"207",35,"“It would be remarkably convenient for the historian,” the Psychologist"
"208",35,"suggested. “One might travel back and verify the accepted account of"
"209",35,"the Battle of Hastings, for instance!”"
"210",35,""
"211",35,"“Don’t you think you would attract attention?” said the Medical Man."
"212",35,"“Our ancestors had no great tolerance for anachronisms.”"
"213",35,""
"214",35,"“One might get one’s Greek from the very lips of Homer and Plato,” the"
"215",35,"Very Young Man thought."
"216",35,""
"217",35,"“In which case they would certainly plough you for the Little-go. The"
"218",35,"German scholars have improved Greek so much.”"
"219",35,""
"220",35,"“Then there is the future,” said the Very Young Man. “Just think! One"
"221",35,"might invest all one’s money, leave it to accumulate at interest, and"
"222",35,"hurry on ahead!”"
"223",35,""
"224",35,"“To discover a society,” said I, “erected on a strictly communistic"
"225",35,"basis.”"
"226",35,""
"227",35,"“Of all the wild extravagant theories!” began the Psychologist."
"228",35,""
"229",35,"“Yes, so it seemed to me, and so I never talked of it until—”"
"230",35,""
"231",35,"“Experimental verification!” cried I. “You are going to verify _that_?”"
"232",35,""
"233",35,"“The experiment!” cried Filby, who was getting brain-weary."
"234",35,""
"235",35,"“Let’s see your experiment anyhow,” said the Psychologist, “though it’s"
"236",35,"all humbug, you know.”"
"237",35,""
"238",35,"The Time Traveller smiled round at us. Then, still smiling faintly, and"
"239",35,"with his hands deep in his trousers pockets, he walked slowly out of"
"240",35,"the room, and we heard his slippers shuffling down the long passage to"
"241",35,"his laboratory."
"242",35,""
"243",35,"The Psychologist looked at us. “I wonder what he’s got?”"
"244",35,""
"245",35,"“Some sleight-of-hand trick or other,” said the Medical Man, and Filby"
"246",35,"tried to tell us about a conjuror he had seen at Burslem, but before he"
"247",35,"had finished his preface the Time Traveller came back, and Filby’s"
"248",35,"anecdote collapsed."
"249",35,""
"250",35,""
"251",35,""
"252",35,""
"253",35," II."
"254",35," The Machine"
"255",35,""
"256",35,""
"257",35,"The thing the Time Traveller held in his hand was a glittering metallic"
"258",35,"framework, scarcely larger than a small clock, and very delicately"
"259",35,"made. There was ivory in it, and some transparent crystalline"
"260",35,"substance. And now I must be explicit, for this that follows—unless his"
"261",35,"explanation is to be accepted—is an absolutely unaccountable thing. He"
"262",35,"took one of the small octagonal tables that were scattered about the"
"263",35,"room, and set it in front of the fire, with two legs on the hearthrug."
"264",35,"On this table he placed the mechanism. Then he drew up a chair, and sat"
"265",35,"down. The only other object on the table was a small shaded lamp, the"
"266",35,"bright light of which fell upon the model. There were also perhaps a"
"267",35,"dozen candles about, two in brass candlesticks upon the mantel and"
"268",35,"several in sconces, so that the room was brilliantly illuminated. I sat"
"269",35,"in a low arm-chair nearest the fire, and I drew this forward so as to"
"270",35,"be almost between the Time Traveller and the fireplace. Filby sat"
"271",35,"behind him, looking over his shoulder. The Medical Man and the"
"272",35,"Provincial Mayor watched him in profile from the right, the"
"273",35,"Psychologist from the left. The Very Young Man stood behind the"
"274",35,"Psychologist. We were all on the alert. It appears incredible to me"
"275",35,"that any kind of trick, however subtly conceived and however adroitly"
"276",35,"done, could have been played upon us under these conditions."
"277",35,""
"278",35,"The Time Traveller looked at us, and then at the mechanism. “Well?”"
"279",35,"said the Psychologist."
"280",35,""
"281",35,"“This little affair,” said the Time Traveller, resting his elbows upon"
"282",35,"the table and pressing his hands together above the apparatus, “is only"
"283",35,"a model. It is my plan for a machine to travel through time. You will"
"284",35,"notice that it looks singularly askew, and that there is an odd"
"285",35,"twinkling appearance about this bar, as though it was in some way"
"286",35,"unreal.” He pointed to the part with his finger. “Also, here is one"
"287",35,"little white lever, and here is another.”"
"288",35,""
