IDENTIDADE;STATUS;UF;SEXO;ESCOLARIDADE;ESTCIV;RENDA;NATUREZA;REGIAO;IDADE
LC_1001;inad;SP;F;secundario;solt;3886;outros;C;68
LC_1002;admpl;MG;M;secundario;casado;3870;outros;C;48
LC_1003;admpl;SP;F;superior;solt;2010;empregado;F;67
LC_1004;admpl;SP;F;posgrad;solt;2441;empregado;B;66
LC_1005;inad;SP;F;primario;divorciado;1139;empregado;A;42
LC_1006;admpl;SP;M;primario;casado;61;empregado;E;45
LC_1007;inad;SP;M;secundario;solt;2394;empregado;B;46
LC_1008;admpl;SP;M;superior;casado;1452;empregado;C;58
LC_1009;inad;SP;M;secundario;solt;3059;empregado;B;59
LC_1010;admpl;SP;M;primario;solt;671;empregado;F;66
LC_1011;admpl;MG;M;superior;casado;1472;empregado;F;66
LC_1012;admpl;SP;F;posgrad;solt;1152;outros;E;37
LC_1013;inad;SP;F;superior;solt;2412;empregado;F;60
LC_1014;admpl;MG;F;secundario;casado;1405;empregado;F;57
LC_1015;admpl;SP;M;superior;solt;738;outros;F;61
LC_1016;admpl;SP;F;superior;casado;1598;empregado;E;34
LC_1017;admpl;SP;M;primario;solt;696;empregado;E;65
LC_1018;admpl;SP;M;superior;casado;931;autonomo;F;65
LC_1019;admpl;SP;M;secundario;solt;6432;empregado;C;54
LC_1020;admpl;SP;M;secundario;solt;4020;outros;B;66
LC_1021;admpl;SP;M;superior;solt;4767;autonomo;E;68
LC_1022;admpl;SP;F;posgrad;solt;5780;empregado;D;33
LC_1023;admpl;SP;M;superior;solt;1072;empregado;C;63
LC_1024;admpl;SP;M;primario;solt;1340;empregado;F;38
LC_1025;admpl;SP;M;superior;solt;1340;empregado;C;55
LC_1026;inad;SP;M;primario;solt;2267;autonomo;E;47
LC_1027;inad;SP;M;superior;solt;804;empregado;D;40
LC_1028;inad;SP;M;secundario;solt;3895;empregado;F;40
LC_1029;admpl;SP;M;primario;solt;1340;outros;C;34
LC_1030;inad;SP;M;superior;solt;1451;autonomo;E;31
LC_1031;inad;SP;M;primario;divorciado;443;autonomo;F;45
LC_1032;admpl;SP;F;superior;casado;938;empregado;F;31
LC_1033;inad;SP;M;secundario;solt;3575;empregado;B;67
LC_1034;admpl;SP;F;primario;casado;5360;outros;B;64
LC_1035;admpl;SP;M;posgrad;solt;7772;outros;C;34
LC_1036;inad;SP;M;secundario;casado;2144;autonomo;A;43
LC_1037;inad;SP;M;secundario;solt;8523;empregado;C;33
LC_1038;inad;SP;M;primario;solt;4690;outros;A;60
LC_1039;inad;SP;F;posgrad;divorciado;1511;outros;D;52
LC_1040;admpl;SP;F;secundario;solt;1737;empregado;B;50
LC_1041;inad;SP;M;secundario;solt;9069;outros;B;56
LC_1042;inad;SP;M;secundario;solt;1323;autonomo;B;53
LC_1043;inad;SP;F;secundario;viuvo;4949;empregado;D;48
LC_1044;inad;SP;F;secundario;solt;197;empregado;B;41
LC_1045;inad;SP;M;superior;casado;4556;empregado;E;53
LC_1046;admpl;SP;F;superior;viuvo;2010;autonomo;E;52
LC_1047;admpl;SP;M;posgrad;solt;5677;empregado;E;32
LC_1048;inad;SP;F;secundario;divorciado;2590;empregado;B;41
LC_1049;admpl;SP;M;primario;casado;472;empregado;E;34
LC_1050;admpl;SP;M;primario;casado;1005;empregado;E;65
LC_1051;admpl;MG;M;superior;solt;1395;empregado;C;62
LC_1052;inad;SP;M;primario;solt;2493;empregado;F;61
LC_1053;inad;SP;M;secundario;solt;18414;empregado;C;66
LC_1054;admpl;SP;F;secundario;solt;1873;empregado;B;58
LC_1055;inad;SP;M;superior;solt;2412;autonomo;A;34
LC_1056;admpl;SP;M;secundario;solt;2680;empregado;B;37
LC_1057;inad;SP;F;secundario;solt;1841;autonomo;F;56
LC_1058;inad;SP;F;superior;solt;1340;empregado;D;34
LC_1059;inad;SP;F;secundario;viuvo;2067;empregado;B;69
LC_1060;inad;SP;M;secundario;viuvo;4020;outros;E;52
LC_1061;admpl;SP;M;posgrad;solt;4052;outros;E;41
LC_1062;inad;SP;M;primario;solt;5323;outros;F;70
LC_1063;inad;SP;F;secundario;solt;5404;empregado;B;69
LC_1064;inad;SP;F;secundario;solt;9458;empregado;B;44
LC_1065;inad;SP;F;secundario;solt;3236;autonomo;A;44
LC_1066;inad;SP;F;primario;divorciado;893;empregado;B;51
LC_1067;inad;SP;M;secundario;solt;13400;empregado;B;55
LC_1068;inad;SP;M;secundario;solt;16458;empregado;C;32
LC_1069;admpl;SP;M;superior;casado;464;empregado;F;70
LC_1070;inad;SP;M;posgrad;solt;1340;outros;C;32
LC_1071;inad;SP;F;superior;casado;4301;empregado;E;41
LC_1072;inad;SP;M;secundario;solt;28726;empregado;F;69
LC_1073;admpl;SP;M;primario;solt;2091;outros;C;62
LC_1074;inad;SP;F;secundario;viuvo;1374;autonomo;F;68
LC_1075;inad;SP;F;secundario;solt;8571;empregado;B;56
LC_1076;inad;SP;M;secundario;divorciado;3264;empregado;B;37
LC_1077;admpl;SP;M;secundario;solt;2010;empregado;B;67
LC_1078;inad;SP;M;superior;solt;1340;outros;C;70
LC_1079;admpl;SP;F;secundario;solt;4911;empregado;B;48
LC_1080;inad;SP;M;secundario;casado;67000;empregado;B;54
LC_1081;admpl;MG;M;secundario;solt;1567;outros;B;35
LC_1082;admpl;SP;M;superior;solt;1460;empregado;F;59
LC_1083;admpl;MG;M;secundario;casado;4001;empregado;B;61
LC_1084;inad;SP;M;posgrad;casado;13400;outros;F;42
LC_1085;inad;SP;F;superior;divorciado;1313;autonomo;A;67
LC_1086;admpl;MG;M;superior;casado;380;empregado;F;30
LC_1087;inad;SP;M;primario;solt;4288;empregado;F;58
LC_1088;inad;SP;M;secundario;solt;3484;empregado;C;33
LC_1089;inad;SP;M;primario;solt;783;outros;E;34
LC_1090;inad;SP;F;superior;viuvo;2358;empregado;A;50
LC_1091;admpl;SP;F;posgrad;solt;1991;empregado;B;44
LC_1092;admpl;SP;M;primario;solt;813;empregado;F;36
LC_1093;admpl;SP;M;secundario;solt;3350;empregado;D;52
LC_1094;admpl;SP;F;primario;solt;1333;empregado;F;43
LC_1095;inad;SP;M;primario;solt;1246;autonomo;F;48
LC_1096;admpl;SP;F;superior;casado;809;empregado;B;41
LC_1097;inad;SP;F;primario;casado;1876;empregado;A;39
LC_1098;admpl;MG;M;superior;solt;2656;empregado;B;57
LC_1099;admpl;SP;F;secundario;solt;2548;empregado;B;39
LC_1100;admpl;SP;F;secundario;divorciado;1904;empregado;C;37
LC_1101;admpl;SP;M;superior;solt;1965;empregado;C;64
LC_1102;inad;SP;M;primario;solt;2278;outros;F;69
LC_1103;admpl;MG;M;secundario;casado;10452;empregado;F;52
LC_1104;admpl;MG;M;primario;solt;3334;empregado;C;37
LC_1105;admpl;SP;M;superior;solt;1668;outros;C;35
LC_1106;admpl;SP;M;secundario;solt;2680;empregado;C;47
LC_1107;inad;SP;F;posgrad;divorciado;2725;empregado;B;56
LC_1108;admpl;SP;M;posgrad;solt;2680;outros;E;51
LC_1109;inad;SP;F;primario;solt;1072;empregado;E;37
LC_1110;inad;SP;F;primario;viuvo;3065;empregado;E;30
LC_1111;inad;SP;F;secundario;outros;1340;outros;D;38
LC_1112;admpl;SP;F;secundario;viuvo;3289;empregado;D;60
LC_1113;admpl;SP;M;secundario;solt;5360;outros;D;35
LC_1114;inad;SP;M;secundario;solt;4579;empregado;F;37
LC_1115;admpl;SP;M;primario;solt;365;empregado;E;50
LC_1116;admpl;SP;F;secundario;solt;1608;empregado;C;63
LC_1117;admpl;SP;F;primario;solt;85;empregado;D;39
LC_1118;admpl;SP;F;secundario;solt;25460;empregado;C;53
LC_1119;admpl;MG;F;secundario;solt;2341;empregado;B;36
LC_1120;admpl;SP;M;primario;solt;628;empregado;E;51
LC_1121;admpl;SP;M;superior;solt;2010;empregado;D;54
LC_1122;admpl;SP;M;superior;casado;8117;outros;E;32
LC_1123;admpl;SP;F;secundario;solt;3927;empregado;B;45
LC_1124;inad;SP;F;primario;casado;603;empregado;E;47
LC_1125;inad;SP;F;superior;solt;2412;autonomo;A;40
LC_1126;inad;SP;M;secundario;casado;2751;empregado;B;45
LC_1127;admpl;SP;F;superior;solt;594;empregado;E;68
LC_1128;admpl;SP;F;secundario;casado;1742;empregado;B;51
LC_1129;inad;SP;M;primario;solt;1809;autonomo;F;64
LC_1130;admpl;SP;M;posgrad;casado;1034;empregado;D;55
LC_1131;inad;SP;F;primario;casado;3207;empregado;E;35
LC_1132;admpl;SP;F;secundario;casado;2010;empregado;B;39
LC_1133;admpl;SP;F;secundario;solt;6264;outros;C;42
LC_1134;admpl;SP;F;posgrad;solt;4020;autonomo;F;67
LC_1135;admpl;SP;F;secundario;solt;6834;empregado;B;51
LC_1136;inad;SP;M;superior;solt;1848;empregado;E;35
LC_1137;admpl;SP;F;secundario;solt;4912;empregado;B;67
LC_1138;admpl;SP;M;primario;solt;2591;empregado;B;48
LC_1139;admpl;SP;M;primario;solt;2010;empregado;A;40
LC_1140;admpl;SP;M;superior;solt;1167;empregado;F;43
LC_1141;inad;SP;F;primario;viuvo;536;empregado;E;51
LC_1142;admpl;SP;M;superior;solt;4609;empregado;B;41
LC_1143;inad;SP;M;secundario;solt;2445;outros;B;50
LC_1144;admpl;SP;F;superior;solt;1474;outros;C;45
LC_1145;inad;SP;F;superior;solt;3025;empregado;B;50
LC_1146;inad;SP;F;superior;casado;1608;autonomo;C;37
LC_1147;admpl;SP;M;posgrad;solt;6700;empregado;B;48
LC_1148;admpl;SP;M;primario;solt;671;empregado;F;34
LC_1149;inad;SP;F;secundario;solt;3350;empregado;A;63
LC_1150;admpl;SP;M;secundario;casado;7370;empregado;B;54
LC_1151;admpl;SP;F;secundario;casado;1;empregado;F;33
LC_1152;admpl;SP;M;primario;solt;739;empregado;E;67
LC_1153;inad;SP;F;secundario;casado;3149;autonomo;C;30
LC_1154;admpl;SP;M;superior;casado;2010;empregado;B;45
LC_1155;inad;SP;F;secundario;solt;16080;empregado;B;51
LC_1156;inad;SP;F;secundario;solt;3288;empregado;B;33
LC_1157;admpl;SP;F;posgrad;solt;2611;empregado;D;48
LC_1158;inad;SP;F;primario;divorciado;778;autonomo;A;36
LC_1159;admpl;SP;F;secundario;solt;3143;empregado;D;61
LC_1160;admpl;SP;M;secundario;solt;1792;empregado;B;54
LC_1161;admpl;SP;M;primario;solt;6700;outros;F;64
LC_1162;admpl;SP;M;secundario;solt;6528;empregado;C;65
LC_1163;inad;SP;F;secundario;solt;4020;empregado;B;34
LC_1164;inad;SP;F;superior;solt;1099;empregado;E;38
LC_1165;inad;SP;M;superior;solt;327;empregado;F;58
LC_1166;admpl;SP;F;primario;viuvo;655;empregado;F;67
LC_1167;admpl;SP;M;secundario;solt;6092;empregado;D;41
LC_1168;admpl;SP;M;secundario;solt;5360;outros;B;60
LC_1169;admpl;SP;M;secundario;solt;683;outros;B;58
LC_1170;inad;SP;F;superior;solt;1474;empregado;D;57
LC_1171;admpl;SP;F;secundario;solt;11869;empregado;F;57
LC_1172;inad;SP;M;primario;solt;4020;empregado;E;31
LC_1173;admpl;SP;F;secundario;divorciado;2161;empregado;C;68
LC_1174;admpl;SP;M;superior;casado;2680;empregado;D;36
LC_1175;admpl;SP;F;primario;viuvo;975;empregado;E;53
LC_1176;inad;SP;F;superior;divorciado;3752;autonomo;E;69
