;IDENTIDADE;STATUS;SEXO;NATUREZA;IDADE;novaUF;novaESCOLARIDADE;novoESTCIV;novaREGIAO;lRENDA
0;LC_1001;inad;F;outros;68;SP;secundario;0.solt;BC;3,589502796263764
1;LC_1002;admpl;M;outros;48;NOSP;secundario;casado;BC;3,5877109650189114
2;LC_1003;admpl;F;empregado;67;SP;superior;0.solt;F;3,3031960574204886
3;LC_1004;admpl;F;empregado;66;SP;z.posgrad;0.solt;BC;3,387567779417189
4;LC_1005;inad;F;empregado;42;SP;primario;divorciado;A;3,0565237240791006
5;LC_1006;admpl;M;empregado;45;SP;primario;casado;DE;1,7853298350107671
6;LC_1007;inad;M;empregado;46;SP;secundario;0.solt;BC;3,379124146070392
7;LC_1008;admpl;M;empregado;58;SP;superior;casado;BC;3,161966616364075
8;LC_1009;inad;M;empregado;59;SP;secundario;0.solt;BC;3,485579476984679
9;LC_1010;admpl;M;empregado;66;SP;primario;0.solt;F;2,826722520168992
10;LC_1011;admpl;M;empregado;66;NOSP;superior;casado;F;3,16790781000148
11;LC_1012;admpl;F;outros;37;SP;z.posgrad;0.solt;DE;3,061452479087193
12;LC_1013;inad;F;empregado;60;SP;superior;0.solt;F;3,3823773034681137
13;LC_1014;admpl;F;empregado;57;NOSP;secundario;casado;F;3,1476763242410986
14;LC_1015;admpl;M;outros;61;SP;superior;0.solt;F;2,8680563618230415
15;LC_1016;admpl;F;empregado;34;SP;superior;casado;DE;3,2035767749779724
16;LC_1017;admpl;M;empregado;65;SP;primario;0.solt;DE;2,842609239610562
17;LC_1018;admpl;M;autonomo;65;SP;superior;casado;F;2,9689496809813427
18;LC_1019;admpl;M;empregado;54;SP;secundario;0.solt;BC;3,808346035740395
19;LC_1020;admpl;M;outros;66;SP;secundario;0.solt;BC;3,60422605308447
20;LC_1021;admpl;M;autonomo;68;SP;superior;0.solt;DE;3,678245151927042
21;LC_1022;admpl;F;empregado;33;SP;z.posgrad;0.solt;DE;3,761927838420529
22;LC_1023;admpl;M;empregado;63;SP;superior;0.solt;BC;3,030194785356751
23;LC_1024;admpl;M;empregado;38;SP;primario;0.solt;F;3,1271047983648077
24;LC_1025;admpl;M;empregado;55;SP;superior;0.solt;BC;3,1271047983648077
25;LC_1026;inad;M;autonomo;47;SP;primario;0.solt;DE;3,3554515201265174
26;LC_1027;inad;M;empregado;40;SP;superior;0.solt;DE;2,905256048748451
27;LC_1028;inad;M;empregado;40;SP;secundario;0.solt;F;3,590507462008583
28;LC_1029;admpl;M;outros;34;SP;primario;0.solt;BC;3,1271047983648077
29;LC_1030;inad;M;autonomo;31;SP;superior;0.solt;DE;3,161667412437736
30;LC_1031;inad;M;autonomo;45;SP;primario;divorciado;F;2,6464037262230695
31;LC_1032;admpl;F;empregado;31;SP;superior;casado;F;2,9722028383790646
32;LC_1033;inad;M;empregado;67;SP;secundario;0.solt;BC;3,5532760461370994
33;LC_1034;admpl;F;outros;64;SP;primario;casado;BC;3,72916478969277
34;LC_1035;admpl;M;outros;34;SP;z.posgrad;0.solt;BC;3,890532791927745
35;LC_1036;inad;M;autonomo;43;SP;secundario;casado;A;3,3312247810207323
36;LC_1037;inad;M;empregado;33;SP;secundario;0.solt;BC;3,9305924884425982
37;LC_1038;inad;M;outros;60;SP;primario;0.solt;A;3,6711728427150834
38;LC_1039;inad;F;outros;52;SP;z.posgrad;divorciado;DE;3,1792644643390253
39;LC_1040;admpl;F;empregado;50;SP;secundario;0.solt;BC;3,2397998184470986
40;LC_1041;inad;M;outros;56;SP;secundario;0.solt;BC;3,9575594018974796
41;LC_1042;inad;M;autonomo;53;SP;secundario;0.solt;BC;3,1215598441875008
42;LC_1043;inad;F;empregado;48;SP;secundario;viuvo;DE;3,694517453811156
43;LC_1044;inad;F;empregado;41;SP;secundario;0.solt;BC;2,294466226161593
44;LC_1045;inad;M;empregado;53;SP;superior;casado;DE;3,6585837154070626
45;LC_1046;admpl;F;autonomo;52;SP;superior;viuvo;DE;3,3031960574204886
46;LC_1047;admpl;M;empregado;32;SP;z.posgrad;0.solt;DE;3,754118894225413
47;LC_1048;inad;F;empregado;41;SP;secundario;divorciado;BC;3,413299764081252
48;LC_1049;admpl;M;empregado;34;SP;primario;casado;DE;2,673941998634088
49;LC_1050;admpl;M;empregado;65;SP;primario;casado;DE;3,002166061756508
50;LC_1051;admpl;M;empregado;62;NOSP;superior;0.solt;BC;3,144574207609616
51;LC_1052;inad;M;empregado;61;SP;primario;0.solt;F;3,3967222785037734
52;LC_1053;inad;M;empregado;66;SP;secundario;0.solt;BC;4,265148138815467
53;LC_1054;admpl;F;empregado;58;SP;secundario;0.solt;BC;3,2725377773752373
54;LC_1055;inad;M;autonomo;34;SP;superior;0.solt;A;3,3823773034681137
55;LC_1056;admpl;M;empregado;37;SP;secundario;0.solt;BC;3,428134794028789
56;LC_1057;inad;F;autonomo;56;SP;secundario;0.solt;F;3,2650537885040145
57;LC_1058;inad;F;empregado;34;SP;superior;0.solt;DE;3,1271047983648077
58;LC_1059;inad;F;empregado;69;SP;secundario;viuvo;BC;3,3153404766272883
59;LC_1060;inad;M;outros;52;SP;secundario;viuvo;DE;3,60422605308447
60;LC_1061;admpl;M;outros;41;SP;z.posgrad;0.solt;DE;3,607669436688243
61;LC_1062;inad;M;outros;70;SP;primario;0.solt;F;3,726156466172755
62;LC_1063;inad;F;empregado;69;SP;secundario;0.solt;BC;3,732715340349993
63;LC_1064;inad;F;empregado;44;SP;secundario;0.solt;BC;3,9757993096794073
64;LC_1065;inad;F;autonomo;44;SP;secundario;0.solt;A;3,5100085129402347
65;LC_1066;inad;F;empregado;51;SP;primario;divorciado;BC;2,9508514588885464
66;LC_1067;inad;M;empregado;55;SP;secundario;0.solt;BC;4,127104798364807
67;LC_1068;inad;M;empregado;32;SP;secundario;0.solt;BC;4,216377057988173
68;LC_1069;admpl;M;empregado;70;SP;superior;casado;F;2,6665179805548807
69;LC_1070;inad;M;outros;32;SP;z.posgrad;0.solt;BC;3,1271047983648077
70;LC_1071;inad;F;empregado;41;SP;superior;casado;DE;3,6335694425540916
71;LC_1072;inad;M;empregado;69;SP;secundario;0.solt;F;4,458275156139176
72;LC_1073;admpl;M;outros;62;SP;primario;0.solt;BC;3,3203540328176717
73;LC_1074;inad;F;autonomo;68;SP;secundario;viuvo;F;3,137986732723532
74;LC_1075;inad;F;empregado;56;SP;secundario;0.solt;BC;3,9330314951024055
75;LC_1076;inad;M;empregado;37;SP;secundario;divorciado;BC;3,5137501500818233
76;LC_1077;admpl;M;empregado;67;SP;secundario;0.solt;BC;3,3031960574204886
77;LC_1078;inad;M;outros;70;SP;superior;0.solt;BC;3,1271047983648077
78;LC_1079;admpl;F;empregado;48;SP;secundario;0.solt;BC;3,691169934131604
