FULLNAME;CODE;BBG_TICKER;NAME;INDUSTRY_SECTOR;INDUSTRY_SECTOR_NUM;GICS_SECTOR_NAME;GICS_SECTOR;CUR_MKT_CAP;EQY_FLOAT;EQY_FREE_FLOAT_PCT;FUND_ASSET_CLASS_FOCUS;SECTOR
APPLE DRN;AAPL34;AAPL34 BS Equity;APPLE INC - BDR;Technology;10013;Information Technology;45;1.916.117.440.000;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
ABC BRASIL PN;ABCB4;ABCB4 BS Equity;BANCO ABC BRASIL SA;Financial;10008;Financials;40;2.159.006.360;53,52;69,33;#N/A N/A;O Banco Tem por Objeto A Prática de Operações Ativas. Passivas e Acessórias Inerentes Às Respectivas Carteiras Autorizadas.
FII ABC IMOB CI;ABCP11;ABCP11 BS Equity;FII GRAND PLAZA SHOPPING;Financial;10008;#N/A N/A;#N/A N/A;622.395.447;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
AMBEV S/A ON;ABEV3;ABEV3 BS Equity;AMBEV SA;Consumer, Non-cyclical;10005;Consumer Staples;30;264.698.312.500;4.459,81;28,39;#N/A N/A;Fabricação e Distribuição de Cervejas. Refrigerantes e Bebidas Não Carbonatadas e Não Alcoólicas.
ABRIL EDUCA ON;ABRE3;ABRE3 BS Equity;ABRIL EDUCACAO SA;Consumer, Non-cyclical;10005;Consumer Discretionary;25;2.939.148.574;156,41;59,87;#N/A N/A;Edição. Impressão. Publicação. Divulgação e Comercialização no Atacado ou Varejo. de Livros. Apostilas e Publicações de Qualquer Natureza. Voltadas. Principalmente. para A Educação.
ABBOTT DRN;ABTT34;ABTT34 BS Equity;ABBOTT LABORATORIES -BDR;Consumer, Non-cyclical;10005;Health Care;35;155.961.297.786;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
FII AESAPAR CI;AEFI11;AEFI11 BS Equity;AESAPAR FDI IMOBILIARIO;Financial;10008;#N/A N/A;#N/A N/A;80.547.600;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
AES ELPA ON;AELP3;AELP3 BS Equity;AES ELPA SA;Diversified;10006;Utilities;55;731.970.108;1,65;1,74;#N/A N/A;O Objeto Social da Companhia É A Participação em Outras Sociedades como Quotista. Acionista ou Membro de Consórcio.
AFLUENTE T ON;AFLT3;AFLT3 BS Equity;AFLUENTE TRANSMISSAO DE;Utilities;10014;Utilities;55;164.020.220;0,86;1,37;#N/A N/A;Transmissão de Energia Elétrica
AFLUENTE ON;AFLU3;AFLU3 BS Equity;AFLUENTE GERACAO DE ENERGIA;Utilities;10014;Utilities;55;87.314.276;0,23;2,07;#N/A N/A;Geração de Energia Elétrica.
AFLUENTE PNA;AFLU5;AFLU5 BS Equity;AFLUENTE GERACAO E TRANSMISS;Utilities;10014;Utilities;55;87.314.276;0,03;1,62;#N/A N/A;Geração de Energia Elétrica.
FII AG CAIXA CI;AGCX11;AGCX11 BS Equity;FII AGENCIAS CAIXA;Financial;10008;#N/A N/A;#N/A N/A;388.799.988;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
BRASILAGRO ON;AGRO3;AGRO3 BS Equity;BRASILAGRO-CIA BRASILEIRA DE;Consumer, Non-cyclical;10005;Consumer Staples;30;435.246.880;30,16;51,62;#N/A N/A;Empresa de Desenvolvimento de Terras e Agropecuário
ALL AMER LAT ON;ALLL3;ALLL3 BS Equity;ALL AMERICA LATINA LOGISTICA;Industrial;10011;Industrials;20;4.277.272.021;460,67;66,99;#N/A N/A;Prestar Serviços de Transporte de Cargas Através dos Modais Ferroviário e Rodoviário. Dentre Outros. Isoladamente ou Combinados entre Si de Forma Intermodal ou Multimodal. entre Outros.
ALPARGATAS ON;ALPA3;ALPA3 BS Equity;ALPARGATAS SA;Consumer, Cyclical;10004;Consumer Discretionary;25;3.772.113.499;19,28;7,98;#N/A N/A;Indústria e Comércio de Calçados e Artigos Esportivos
ALPARGATAS PN;ALPA4;ALPA4 BS Equity;ALPARGATAS SA - PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;3.772.113.499;107,46;46,96;#N/A N/A;Indústria e Comércio de Calçados e Artigos Esportivos
