Date;ABCB4 BS Equity;ABEV3 BS Equity;ALLL3 BS Equity;ALPA4 BS Equity;ALSC3 BS Equity;ALUP11 BS Equity;AMAR3 BS Equity;ANIM3 BS Equity;ARTR3 BS Equity;BBAS3 BS Equity;BBDC3 BS Equity;BBDC4 BS Equity;BBRK3 BS Equity;BBSE3 BS Equity;BBTG11 BS Equity;BEEF3 BS Equity;BEMA3 BS Equity;BISA3 BS Equity;BOVA11 BS Equity;BPHA3 BS Equity;BRAP4 BS Equity;BRCR11 BS Equity;BRFS3 BS Equity;BRIN3 BS Equity;BRKM5 BS Equity;BRML3 BS Equity;BRPR3 BS Equity;BRSR6 BS Equity;BTOW3 BS Equity;BVMF3 BS Equity;CCRO3 BS Equity;CCXC3 BS Equity;CESP6 BS Equity;CIEL3 BS Equity;CMIG3 BS Equity;CMIG4 BS Equity;CPFE3 BS Equity;CPLE3 BS Equity;CPLE6 BS Equity;CRUZ3 BS Equity;CSAN3 BS Equity;CSMG3 BS Equity;CSNA3 BS Equity;CTIP3 BS Equity;CVCB3 BS Equity;CYRE3 BS Equity;CZLT33 BS Equity;DIRR3 BS Equity;DTEX3 BS Equity;ECOR3 BS Equity;ELET3 BS Equity;ELET6 BS Equity;ELPL4 BS Equity;EMBR3 BS Equity;ENBR3 BS Equity;ENEV3 BS Equity;EQTL3 BS Equity;ESTC3 BS Equity;ETER3 BS Equity;EVEN3 BS Equity;EZTC3 BS Equity;FHER3 BS Equity;FIBR3 BS Equity;FJTA4 BS Equity;FLRY3 BS Equity;GETI3 BS Equity;GETI4 BS Equity;GFSA3 BS Equity;GGBR3 BS Equity;GGBR4 BS Equity;GOAU4 BS Equity;GOLL4 BS Equity;GRND3 BS Equity;HBOR3 BS Equity;HGTX3 BS Equity;HRTP3 BS Equity;HYPE3 BS Equity;IDNT3 BS Equity;IGTA3 BS Equity;IMCH3 BS Equity;ITSA4 BS Equity;ITUB3 BS Equity;ITUB4 BS Equity;JBSS3 BS Equity;JHSF3 BS Equity;JSLG3 BS Equity;KEPL3 BS Equity;KLBN11 BS Equity;KLBN4 BS Equity;KROT3 BS Equity;LAME3 BS Equity;LAME4 BS Equity;LEVE3 BS Equity;LIGT3 BS Equity;LLIS3 BS Equity;LPSB3 BS Equity;LREN3 BS Equity;LUPA3 BS Equity;MAGG3 BS Equity;MDIA3 BS Equity;MGLU3 BS Equity;MILS3 BS Equity;MMXM3 BS Equity;MPLU3 BS Equity;MRFG3 BS Equity;MRVE3 BS Equity;MULT3 BS Equity;MYPK3 BS Equity;NATU3 BS Equity;ODPV3 BS Equity;OGXP3 BS Equity;OIBR3 BS Equity;OIBR4 BS Equity;OSXB3 BS Equity;PCAR4 BS Equity;PDGR3 BS Equity;PETR3 BS Equity;PETR4 BS Equity;PFRM3 BS Equity;PIBB11 BS Equity;PMAM3 BS Equity;POMO4 BS Equity;POSI3 BS Equity;PRML3 BS Equity;PSSA3 BS Equity;QGEP3 BS Equity;QUAL3 BS Equity;RADL3 BS Equity;RAPT4 BS Equity;RENT3 BS Equity;RLOG3 BS Equity;RPMG3 BS Equity;RSID3 BS Equity;SANB11 BS Equity;SBSP3 BS Equity;SEER3 BS Equity;SLCE3 BS Equity;SLED4 BS Equity;SMLE3 BS Equity;SMTO3 BS Equity;STBP11 BS Equity;SULA11 BS Equity;SUZB5 BS Equity;TAEE11 BS Equity;TBLE3 BS Equity;TCSA3 BS Equity;TGMA3 BS Equity;TIMP3 BS Equity;TOTS3 BS Equity;TPIS3 BS Equity;TRPL4 BS Equity;UCAS3 BS Equity;UGPA3 BS Equity;UNIP6 BS Equity;USIM3 BS Equity;USIM5 BS Equity;VAGR3 BS Equity;VALE3 BS Equity;VALE5 BS Equity;VIVR3 BS Equity;VIVT4 BS Equity;VLID3 BS Equity;VVAR11 BS Equity;WEGE3 BS Equity;IBOV Index;IBX Index;IBX50 Index;SPX Index
27/11/2014;14,25;16,92;6,18;8,24;17,85;19,17;14,75;37,89;14,65;29,84;39,24;41,09;2,95;33,74;29,8;11,47;8,18;1,62;54,51;3,65;15,2;106,99;66,85;6,01;19,15;19,24;11,17;14,42;28,1;10,86;18,25;0,27;27,2;44,1;14,8;14,26;20,08;25;36,79;21,46;34,29;25,97;6,29;33,8;15,69;12,53;25,09;9,96;8,65;10,97;6,17;7,9;9,19;23,39;10,25;0,83;28;28,29;3,39;5,97;22,92;6,17;29,91;0,42;15,91;15,78;19,1;2,8;9;10,74;12,79;14,96;16,77;5,63;25,32;7,79;17,59;1,72;27,31;14,08;10,71;35,04;39,9;11,98;2,91;13,69;46,16;13,79;2,66;18,18;13,29;17,05;23,78;21,12;9,71;10,1;77,1;0,09;2,88;100,89;8,24;10,5;0,94;35,07;6,62;8,84;53;14,13;35,68;9,8;0,11;1,54;1,44;0,64;109,3;1,18;13,8;14,62;9,71;96,14;2,68;4,27;2,78;0,56;31,65;8,32;27,94;25,1;5,58;35,97;3,48;0,32;4,08;15,15;20,02;26,74;15,43;8,24;48,21;41,95;17,01;12,96;10,61;20,03;34,51;4,86;17,67;12,57;36,25;5,8;39,03;2,77;55,48;0,5;6,83;5,25;1,11;23,74;20,28;0,11;52,99;41,58;22,86;30,72;56065,13;23084,83;9504,82;0
26/11/2014;14,21;17,05;6,14;8,16;17,49;19,11;15,51;37,32;14,53;29,99;39,56;41,32;2,96;33,93;29,74;11,68;8,12;1,62;54,73;3,66;15,34;104,6;67,6;6,04;19,48;18,77;11,09;14,36;27,04;10,73;17,75;0,26;27,24;44,5;14,85;14,22;19,67;24,75;35,61;21,25;34,27;26,15;6,75;33,59;15,7;12,59;25,35;9,8;8,69;10,54;6,2;7,93;9,19;23,42;10,18;0,88;27,78;28,15;3,42;5,93;22,33;6,34;30,79;0,43;15,65;15,64;19,36;2,85;9,05;11,13;13,3;14;16,96;5,44;25,52;7,66;17,43;1,7;26,93;13,86;10,79;35,03;40,07;12,28;2,94;13,28;45;13,73;2,66;18,1;13,18;17,03;23,79;21,18;9,5;9,38;75,77;0,09;2,91;102,06;8,27;10,79;0,81;34,63;6,61;8,97;52,34;14,46;35,21;9,73;0,11;1,61;1,5;0,49;108,8;1,16;13,64;14,53;10,03;96,43;2,67;4,3;2,74;0,56;31,69;8,34;27,5;24,76;5,67;35,51;3,52;0,31;4,11;15,4;19,75;26,15;15,3;8,36;47,65;41,99;17,05;13,07;10,73;20,4;34,29;4,84;17,67;12,66;35,4;5,73;38,41;2,81;55,22;0,5;7,17;5,58;1,13;24,05;20,7;0,11;52,35;41,06;23,93;30,76;56099,79;23092,12;9515,73;2073,29
25/11/2014;13,99;17,04;6,36;8,16;17,46;19,12;15,9;36,35;14,7;29,83;39,57;41,33;2,9;34,19;29,88;11,54;8,19;1,62;54,85;3,68;15,5;104,5;68,4;6,34;19,57;18,8;11,31;15,15;27,41;10,8;17,86;0,25;28,1;44,57;14,45;13,85;20,48;24,95;36,9;21,64;33,59;26,13;6,9;33,83;15,63;12,71;24,56;10,08;8,74;10,66;6,23;7,89;9,22;23,57;10,3;0,9;27,68;28,01;3,42;6,01;23,07;6,2;31,25;0,48;15,4;15,85;19,86;2,75;9,19;11,14;13,35;14,19;17,07;5,67;25,39;8;17,87;1,69;26,49;14;10,75;35,3;40,18;12,42;2,99;13,3;46;13,87;2,69;18,28;13,14;17,14;23,85;22,05;9,64;9,45;76,16;0,09;2,98;101,5;8,66;11,44;0,46;34,58;6,69;9,01;52,41;14,78;35,45;9,74;0,11;1,58;1,46;0,5;108,15;1,2;14,15;14,93;10,15;96,78;2,72;4,33;2,71;0,57;32,18;8,6;27,43;25,23;5,72;36,14;3,65;0,32;4,28;15,8;20,48;26,5;15,25;8,6;47,59;40,92;17,09;13,18;10,91;20,25;34,96;4,86;17,17;12,97;36;5,45;38,15;2,81;55,48;0,5;7,41;5,67;1,15;23,96;20,58;0,1;52,98;40,47;23,74;30,95;56386,64;23216,76;9557,52;2074,21
24/11/2014;13,9;17,45;6,77;8,47;18,1;19,63;15,58;36,48;15,14;31,1;39,88;41,79;2,95;35,2;30,58;11,43;8,08;1,61;55,75;3,74;15,73;104,16;69,15;6,37;19,96;19,48;11,14;15,16;27,6;11;18,4;0,26;28,42;44;13,94;13,38;20,64;25;36,56;21,85;33,84;25,5;7,13;34,39;15,7;12,74;24,75;10;8,78;11,37;6,3;8,01;9,28;24,05;10,4;0,8;27,57;28,6;3,41;6,04;23,14;6,39;31,22;0,47;15,75;15,83;19,23;2,76;9,34;11,2;13,38;14,24;17,27;5,55;25,58;8,42;18,29;1,65;26,35;14,18;11;35,9;40,78;12,31;3,01;13,19;46,51;14;2,69;18,39;13,67;17,49;24,27;22,3;10,09;8,93;77,47;0,09;2,97;100;8,67;11,61;0,46;34,69;6,81;8,8;52,2;14,46;36,68;9,79;0,11;1,71;1,6;0,51;109,15;1,19;14,5;15,26;10,58;98,35;2,74;4,41;2,71;0,59;31,98;8,89;26,98;24,95;5,62;36,73;3,85;0,31;4,65;15,39;20,92;26,98;15,17;8,81;47,55;42,56;16,6;12,87;10,75;20,37;35,2;4,94;17,45;12,79;35,71;5,29;40,14;2,79;56,9;0,49;7,43;5,61;1,21;24,13;20,71;0,11;54;40,39;23,19;30,78;57359,27;23583,15;9723,88;2070,17
21/11/2014;13,79;17,26;6,62;8,4;17,83;19,23;15,26;36;14,94;29,93;39,68;41,2;2,89;34,75;29,62;11,29;8,04;1,62;54,76;3,73;15,44;104,16;68,39;6,4;19,67;18,98;11;14,5;27,5;10,72;18,25;0,28;27,94;43,79;13,9;13,31;20,18;25;36,29;21,4;33,81;25,2;7;34,15;15,5;12,68;24,18;9,75;8,55;11,14;6,09;7,89;8,7;24,38;10,23;0,74;27,4;28,41;3,42;6,02;23,44;6,3;31,6;0,36;15,67;15,89;19,4;2,67;9,17;10,87;12,92;13,78;16,88;5,5;25,2;8,22;18,04;1,63;25,8;14,28;10,73;35,3;40;12,3;3,01;12,74;46,5;13,94;2,69;18;13,55;17,22;23,8;21,79;10,29;9,36;76,46;0,09;3;99,78;8,52;11,49;0,45;34,77;6,43;8,7;51,2;14,45;36,56;9,78;0,11;1,6;1,53;0,49;108;1,17;13,69;14,31;10,6;96,23;2,73;4,35;2,57;0,61;32,06;8,71;26,68;24,76;5,61;37,28;3,85;0,3;4,56;15,21;20,99;26,61;15,03;8,98;48,06;42,9;16,31;12,73;11;19,94;35,09;4,94;17;13,14;36,2;5,2;39,9;2,77;56,12;0,49;7,29;5,46;1,27;24,1;20,48;0,11;52,54;40,8;22,74;30,49;56214,05;23137,29;9532,93;2071,46
19/11/2014;13,3;16,55;6,38;8,1;16,75;18,9;14,86;33,86;14,7;27,54;36,63;38,1;2,77;33,29;29,4;10,91;7,99;1,64;51,93;3,48;13,99;104,28;67,62;6,74;19,54;18,17;10,87;14,17;29,01;10,14;17,2;0,27;27,13;43,44;13,44;12,83;18,96;23,45;34;20,61;30,87;24,42;6,64;32,96;14,55;12,05;23;9,4;8,3;10,51;5,74;7,43;7,73;24,7;9,57;0,72;26,23;27,62;3,44;5,64;22,08;6,22;31,63;0,36;15,67;15,3;19,02;2,4;8,94;10,61;12,52;12,83;16,65;5,33;24,7;8,34;16,93;1,62;25,25;14,89;10,1;33,05;37,51;11,59;2,95;12,41;45;13,29;2,65;17,64;13,31;16,59;23,98;21,18;9,79;8,31;73;0,08;3,01;97,4;8,33;11,5;0,46;34,1;5,89;7,95;50,07;14,5;35;9,8;0,11;1,49;1,41;0,41;105,75;1,06;12,55;12,97;10,52;91,65;2,69;4,2;2,59;0,59;30,57;8,65;25,73;24,75;5,45;34,56;3,73;0,28;4,05;14,75;20,65;25,75;15,52;9;47,23;39,72;16,3;12,68;11,22;19,3;34,35;4,72;16,88;13,18;35,3;5,19;38,8;2,76;54,9;0,5;6,79;5,1;1,33;22,25;18,98;0,11;51,89;39,82;23;30,45;53402,81;22033;9058,84;2052,14
18/11/2014;13,06;16,18;6,31;8;16,5;18,3;14,79;33,13;14;26,05;35,29;36,53;2,79;32,53;29,32;11,13;7,99;1,6;50,73;3,54;14,46;104;65,48;6,93;19,6;17,35;10,84;14,35;29,19;10,02;16,27;0,23;26,24;42,44;13,5;12,91;18,08;22,65;32,36;20,03;30,56;23,4;6,95;32,44;14,6;11,69;22,98;9,08;8,34;9,92;5,3;7,42;7,55;24,78;9,21;0,71;25,88;26,92;3,45;5,52;21,11;6,28;31,53;0,36;15,59;14,95;18,54;2,29;8,8;10,68;12,71;12,36;16,23;5,2;24,44;8,88;16,58;1,6;24,5;14,69;9,75;32,02;36,33;11,43;2,95;12,29;44,38;13,08;2,6;17,38;13,11;16,2;23,88;20,71;9,1;8,14;72,7;0,08;3,02;97,81;8,07;11,45;0,46;34,12;5,68;7,75;49,01;14,79;34,17;9,67;0,11;1,41;1,33;0,29;106,33;1,04;12,44;12,85;10,71;89,46;2,7;4,11;2,65;0,59;30;8,6;25,71;24,2;5,42;33,57;3,62;0,28;4,05;14,39;20;24,89;15,5;9,37;45,88;39,22;16,23;12,65;11,13;18,54;33,15;4,58;16,89;13,16;34,94;5,13;37,68;2,8;53,3;0,49;6,76;5,2;1,24;22,89;19,61;0,11;50,33;38,9;23,55;30,37;52122,23;21525,81;8840,44;2056,08
17/11/2014;13,16;16,12;6,45;7,84;16,6;18,23;14,75;33,46;14,13;25,7;34,9;36,24;2,79;31,49;29,61;11,45;7,9;1,6;50,82;3,62;14,45;104,5;65,5;6,99;19,2;16,5;10,64;14,5;29,7;10,03;16,35;0,23;25,93;40,2;13,45;12,67;18,35;22,68;32,34;19,49;30,2;23,99;7,14;31,9;14,47;11,62;23,56;9,17;8,38;10,09;5,6;7,77;7,47;24,2;9,23;0,75;25,71;27,99;3,6;5,45;21,21;6,5;31,72;0,37;15,33;14,73;18,1;2,3;9,15;11,05;13,19;12,92;16,55;5,33;24,79;9,01;16,44;1,63;24,12;14,85;9,61;31,71;35,76;11,27;2,93;12,51;45,1;12,95;2,57;17,3;13,24;16;24,06;20,35;9,2;8,51;72,8;0,09;3,09;94,97;7,94;12,42;0,46;34,3;5,84;7,7;48,3;15,15;33,56;9,36;0,12;1,43;1,34;0,25;104,69;1,04;12,82;13,25;11;89,49;2,74;4,1;2,59;0,57;29,24;8,86;24,97;24,16;5,61;33,35;3,72;0,28;4,15;14,24;19,77;26,5;15,65;9,51;45,72;38,99;16,68;12,35;11,1;18,49;33,28;4,56;17,28;12,99;34,7;5,25;36,5;2,83;52,56;0,49;6,94;5,54;1,27;23,18;19,95;0,12;50,48;39,22;23,8;29,63;52222,64;21557,32;8851,37;2043,07
14/11/2014;13,04;16,13;6,43;7,88;16,2;18,45;14,95;33,89;14,14;24,84;34,6;35,96;3,12;31,34;30,06;11,4;7,79;1,6;50,52;3,67;14,17;104,9;65,09;7,2;19,37;16,49;10,59;14,45;30,12;9,99;16,83;0,24;25,58;39,4;13,8;13,07;18,2;22,86;32,74;19,53;30,08;25,7;7,19;31,5;14,64;11,58;23,9;9,1;8,41;9,92;5,81;8,6;7,5;24,39;9,24;0,72;25,8;27,46;3,49;5,37;21,14;6,69;32,52;0,37;15,15;14,71;18,09;2,26;9,08;11,06;13,21;13,23;16,44;5,4;24,76;9,24;16,41;1,63;24,37;15,99;9,55;31,52;35,4;11,28;2,94;12,6;46,49;12,76;2,52;17,2;13,12;15,89;23,96;20,06;9,49;9;71,86;0,08;3,1;93,91;8,08;12,75;0,48;34,56;5,82;7,49;48,33;15,66;33,95;9,23;0,12;1,41;1,32;0,2;104,3;1,03;12,9;13,33;11,93;89,3;2,71;4,09;2,47;0,56;29,51;9,33;24,75;24,85;5,6;33,79;3,78;0,28;4,15;14,17;19,38;25,8;15,58;10,49;45,74;37,78;17,06;12,33;11,15;18,51;33,21;4,51;17,4;13,23;34,83;5,39;37;2,84;52,2;0,49;6,98;5,48;1,46;23,1;19,84;0,12;50,31;38,8;23,94;30;51899,9;21429,77;8795,54;2042,22
13/11/2014;13,25;16,52;6,54;8,05;16,44;18,5;14,83;32,77;14,45;25,75;35,51;37;2,94;32,45;30,51;11,86;7,8;1,6;51,9;3,75;14,15;106,35;65;7,79;19,34;16,75;11,07;14,5;31,7;10,24;17,29;0,23;26,37;39,08;14,35;13,74;18,45;22,62;32,51;20,49;31,55;25,02;7,5;31,83;14,96;11,83;25,44;9,79;8,79;9,96;6,13;9,07;7,95;24,39;9,32;0,72;25,85;28,01;3,44;5,43;21,81;6,66;31,75;0,38;15,55;14,5;18,34;2,3;9,25;11,28;13,51;13,39;17,28;5,58;25,03;9,27;17,14;1,65;24,25;17,35;9,92;32,82;36,77;12,15;2,97;13,5;45,3;12,86;2,57;17,34;13,35;16,22;23,58;20,27;9,5;8,71;73,52;0,08;3,03;97;8,06;12,9;0,48;34,04;6,22;8;48,97;16,01;35,69;9,36;0,12;1,46;1,35;0,23;107,15;1,08;13,86;14,37;12,25;91,7;2,81;4,14;2,42;0,57;29,98;9,36;24,89;25,2;5,83;34,47;3,89;0,28;4,75;14,37;19,87;26,59;15,69;11,6;46,95;37,99;17,27;12,29;10,97;18,5;33,4;4,64;17,29;13,12;34,86;5,45;37,61;2,91;53,38;0,49;7,02;5,62;1,61;22,84;19,63;0,11;50,05;39,46;24,72;29,83;53322,89;21991,19;9035,18;2046,18
