Date;ABCB4 BS Equity;ABEV3 BS Equity;ALLL3 BS Equity;ALPA4 BS Equity;ALSC3 BS Equity;ALUP11 BS Equity;AMAR3 BS Equity;ANIM3 BS Equity;ARTR3 BS Equity;BBAS3 BS Equity;BBDC3 BS Equity;BBDC4 BS Equity;BBRK3 BS Equity;BBSE3 BS Equity;BBTG11 BS Equity;BEEF3 BS Equity;BEMA3 BS Equity;BISA3 BS Equity;BOVA11 BS Equity;BPHA3 BS Equity;BRAP4 BS Equity;BRCR11 BS Equity;BRFS3 BS Equity;BRIN3 BS Equity;BRKM5 BS Equity;BRML3 BS Equity;BRPR3 BS Equity;BRSR6 BS Equity;BTOW3 BS Equity;BVMF3 BS Equity;CCRO3 BS Equity;CCXC3 BS Equity;CESP6 BS Equity;CIEL3 BS Equity;CMIG3 BS Equity;CMIG4 BS Equity;CPFE3 BS Equity;CPLE3 BS Equity;CPLE6 BS Equity;CRUZ3 BS Equity;CSAN3 BS Equity;CSMG3 BS Equity;CSNA3 BS Equity;CTIP3 BS Equity;CVCB3 BS Equity;CYRE3 BS Equity;CZLT33 BS Equity;DIRR3 BS Equity;DTEX3 BS Equity;ECOR3 BS Equity;ELET3 BS Equity;ELET6 BS Equity;ELPL4 BS Equity;EMBR3 BS Equity;ENBR3 BS Equity;ENEV3 BS Equity;EQTL3 BS Equity;ESTC3 BS Equity;ETER3 BS Equity;EVEN3 BS Equity;EZTC3 BS Equity;FHER3 BS Equity;FIBR3 BS Equity;FJTA4 BS Equity;FLRY3 BS Equity;GETI3 BS Equity;GETI4 BS Equity;GFSA3 BS Equity;GGBR3 BS Equity;GGBR4 BS Equity;GOAU4 BS Equity;GOLL4 BS Equity;GRND3 BS Equity;HBOR3 BS Equity;HGTX3 BS Equity;HRTP3 BS Equity;HYPE3 BS Equity;IDNT3 BS Equity;IGTA3 BS Equity;IMCH3 BS Equity;ITSA4 BS Equity;ITUB3 BS Equity;ITUB4 BS Equity;JBSS3 BS Equity;JHSF3 BS Equity;JSLG3 BS Equity;KEPL3 BS Equity;KLBN11 BS Equity;KLBN4 BS Equity;KROT3 BS Equity;LAME3 BS Equity;LAME4 BS Equity;LEVE3 BS Equity;LIGT3 BS Equity;LLIS3 BS Equity;LPSB3 BS Equity;LREN3 BS Equity;LUPA3 BS Equity;MAGG3 BS Equity;MDIA3 BS Equity;MGLU3 BS Equity;MILS3 BS Equity;MMXM3 BS Equity;MPLU3 BS Equity;MRFG3 BS Equity;MRVE3 BS Equity;MULT3 BS Equity;MYPK3 BS Equity;NATU3 BS Equity;ODPV3 BS Equity;OGXP3 BS Equity;OIBR3 BS Equity;OIBR4 BS Equity;OSXB3 BS Equity;PCAR4 BS Equity;PDGR3 BS Equity;PETR3 BS Equity;PETR4 BS Equity;PFRM3 BS Equity;PIBB11 BS Equity;PMAM3 BS Equity;POMO4 BS Equity;POSI3 BS Equity;PRML3 BS Equity;PSSA3 BS Equity;QGEP3 BS Equity;QUAL3 BS Equity;RADL3 BS Equity;RAPT4 BS Equity;RENT3 BS Equity;RLOG3 BS Equity;RPMG3 BS Equity;RSID3 BS Equity;SANB11 BS Equity;SBSP3 BS Equity;SEER3 BS Equity;SLCE3 BS Equity;SLED4 BS Equity;SMLE3 BS Equity;SMTO3 BS Equity;STBP11 BS Equity;SULA11 BS Equity;SUZB5 BS Equity;TAEE11 BS Equity;TBLE3 BS Equity;TCSA3 BS Equity;TGMA3 BS Equity;TIMP3 BS Equity;TOTS3 BS Equity;TPIS3 BS Equity;TRPL4 BS Equity;UCAS3 BS Equity;UGPA3 BS Equity;UNIP6 BS Equity;USIM3 BS Equity;USIM5 BS Equity;VAGR3 BS Equity;VALE3 BS Equity;VALE5 BS Equity;VIVR3 BS Equity;VIVT4 BS Equity;VLID3 BS Equity;VVAR11 BS Equity;WEGE3 BS Equity;IBOV Index;IBX Index;IBX50 Index;SPX Index
27/11/2014;13,98;16,56;6,15;8,15;17,75;19,1;14,4;37,79;14,61;29,14;37,93;39,74;2,93;33,48;29,5;11,2;8,1;1,61;53,29;3,53;14,79;105,63;65,86;5,6;18,98;18,8;10,9;14,3;27,8;10,55;18;0,23;26,5;43,6;14,41;14,05;19,57;24,99;36,1;20,84;32,68;25,12;6;33,46;15,38;12,2;24,6;9,9;8,56;10,82;6,04;7,85;9,09;23,2;10,03;0,8;27,7;28;3,39;5,83;22,45;6,06;29,85;0,39;15,8;15,7;18,69;2,66;8,76;10,6;12,6;14,56;16,5;5,55;24,46;7,4;17,33;1,72;26,15;13,75;10,44;34,4;38,74;11,9;2,84;13,33;45,69;13,79;2,63;18,01;13,02;16,77;23,19;20,88;9,22;9,7;76,49;0,08;2,79;99,7;8,18;10,25;0,72;34,58;6,4;8,6;52,4;14;34,71;9,46;0,1;1,51;1,39;0,49;107,12;1,12;12,75;13,44;9,6;93,83;2,68;4,1;2,7;0,55;31,53;7,91;27,51;24,3;5,4;35,1;3,41;0,3;3,98;14,88;19,41;26,35;15,02;8;47;40,93;16,9;12,96;10,6;20;34,17;4,77;17,5;12,39;36,25;5,8;38,2;2,74;54,33;0,5;6,83;5,1;1,11;22,98;19,75;0,1;51,91;41,22;22,75;30,4;54721,32;22562,88;9272,26;0
26/11/2014;13,8;16,64;5,93;8,13;17,2;18,65;14,37;37;14,4;28,84;38,53;40,5;2,83;33,4;29,5;11,28;8;1,62;53,64;3,54;14,77;104,12;66;5,8;18,8;18,6;10,66;14,25;26,75;10,63;17,67;0,24;26,42;43,72;14,11;13,76;19,4;24,6;35,18;20,9;33,7;25;6,15;33,29;15,5;12,31;24,8;9,75;8,51;10,49;6,05;7,78;9,09;23,07;9,76;0,77;27,49;27,89;3,37;5,77;22,2;6,13;29,5;0,37;15,65;15,27;18,52;2,75;8,9;10,5;12,52;13,53;16,33;5,37;24,92;7,66;17,17;1,7;26,93;13,7;10,52;34,36;39,32;11,85;2,84;13,06;44;13,4;2,61;18,08;12,9;16,66;23,11;20,5;9,45;9,26;75,69;0,08;2,78;98,26;8,12;10,15;0,78;34;6,47;8,75;51,75;14,1;34,87;9,65;0,09;1,5;1,41;0,48;107,72;1,16;13,27;14,1;9,6;94,57;2,62;4,17;2,7;0,53;30,95;8,3;27,31;24,5;5,51;35,5;3,33;0,31;4,01;15;19,52;25,9;15,16;7,89;47,3;41,99;16,44;12,6;10,42;19,5;34,04;4,84;17,2;12,08;35,4;5,62;37,5;2,66;54,28;0,5;6,76;5,12;1,1;23,04;19,75;0,1;51,8;40,6;22,54;30,43;55098,47;22697,08;9344,96;2072,83
25/11/2014;13,79;16,83;6,01;8,01;17,32;18,56;15,21;35,95;14,3;29,21;39,57;40,92;2,88;33,5;29,4;11,53;8;1,6;54,03;3,59;15,3;104,11;66,41;6;19;18,32;10,9;14,1;26,75;10,6;16,9;0,24;26,89;44,38;14,27;13,85;19,3;24,22;34,75;20,85;32,35;25,48;6,68;33,1;15,5;12,38;24,39;9,7;8,57;10,17;6,11;7,8;8,78;23,1;9,93;0,83;27,33;27,6;3,34;5,78;22,2;6,14;30,61;0,42;15,2;15,54;19,31;2,72;9,04;11;13,14;13,75;16,53;5,32;24,93;7,31;17,2;1,69;26,26;13,75;10,68;34,85;39,65;11,97;2,86;13,01;45;13,61;2,63;17,72;12,78;16,65;23,23;20,7;9,5;9,25;73,8;0,08;2,81;101,5;8,15;10,5;0,46;34,19;6,37;8,83;50,58;14,4;34,5;9,55;0,1;1,58;1,46;0,47;107,59;1,14;13,28;14,15;9,93;95,47;2,6;4,21;2,65;0,54;31,19;8,35;27,14;24,36;5,55;34,72;3,45;0,3;4,03;15,42;19,4;26;15;8,25;47,15;40;16,8;12,99;10,72;20,07;33,92;4,71;17;12,33;34,9;5,4;37,74;2,71;54,86;0,49;7,17;5,51;1,14;23,96;20,58;0,09;50,94;40,07;23,45;30,39;55560,81;22881,76;9426,26;2067,03
24/11/2014;13,72;16,87;6,29;8,1;17,05;18,82;15,36;35,25;14,62;28,79;38,48;40,34;2,87;33,4;29,4;11,4;7,99;1,6;53,83;3,65;15,22;104;67,2;6,14;19,16;18,35;10,98;14,97;26,9;10,52;17,53;0,25;27,5;43,74;13,85;13,15;19,85;24,42;35,85;21;32,9;25;6,76;33,1;15,7;12,41;24,6;9,75;8,52;10,74;6,08;7,71;9,09;23,25;10,07;0,79;27,27;27,65;3,38;5,89;22,77;6,13;30,82;0,45;15,3;15,75;19,1;2,69;9;10,99;13,2;13,82;16,79;5,52;24,74;7,83;17,4;1,65;26,18;13,89;10,48;34,5;39,15;12,01;2,92;13;46,2;13,75;2,69;17,96;13;17,05;23,8;21,5;9,52;8,78;74,6;0,09;2,89;100;8,53;11,17;0,44;33,98;6,25;8,62;51,66;14,36;34,8;9,5;0,1;1,49;1,39;0,48;105,94;1,18;13,43;14,21;10,11;95,03;2,68;4,2;2,63;0,56;31,47;8,55;26,5;24,76;5,47;35,43;3,56;0,3;4,18;14,96;19,95;26,5;14,98;8,55;47;40,78;16,2;12,84;10,75;19,8;34,51;4,78;17;12,28;35,71;5,2;38,45;2,73;54;0,48;7,4;5,51;1,13;23,7;20,4;0,1;51,55;40,22;22,94;30,5;55406,91;22829,11;9391,03;2069,41
21/11/2014;13,75;17,13;6,62;8,35;17,79;19,21;15,1;35,4;14,75;29,83;39,02;41;2,88;34,75;29,59;11,2;8;1,6;54,67;3,68;15,18;103,2;67,85;6,2;19,45;18,94;10,95;14,49;27,01;10,55;17,88;0,25;27,59;43,25;13,72;13,25;20,11;25;35,82;21,23;32,6;24,72;6,68;33,63;15,5;12,4;24,18;9,75;8,45;10,97;6,09;7,67;8,55;23,67;10,06;0,7;27,1;28,15;3,4;5,93;22,55;6,1;30,36;0,35;15,61;15,87;19,1;2,65;9;10,82;12,81;13,78;16,64;5,41;24,7;8,06;17,75;1,58;25,65;14,1;10,69;35,3;39,98;11,98;3;12,66;46,5;13,78;2,63;18;13,55;17,22;23,7;21,6;10,2;8,67;76,22;0,08;2,97;98,01;8,3;11,44;0,44;34,2;6,42;8,51;50,65;14,35;36;9,59;0,1;1,6;1,52;0,46;106,9;1,16;13,63;14,3;10,6;96,23;2,67;4,3;2,54;0,58;31,5;8,71;26,59;24,5;5,47;35,84;3,77;0,29;4,54;15,07;20,5;26,61;14,94;8,71;47;42,9;16,31;12,55;10,52;19,7;34,38;4,85;17;12,57;34,71;5,2;39,9;2,77;56;0,49;7,29;5,4;1,17;23,59;20,22;0,1;52,21;40,03;22,5;30;56084,04;23080,85;9510,59;2063,5
19/11/2014;13,25;16,54;6,27;8,1;16,63;18,63;14,6;33,75;14,58;27,54;36,63;38,1;2,7;33,29;28,9;10,7;7,98;1,61;51,93;3,45;13,93;104,02;67,62;6,4;19,34;18;10,43;13,95;27;9,98;17,2;0,24;26,5;43,2;13,01;12,55;18,84;23,45;33,4;20,48;30,81;23,92;6,38;32,77;14,5;11,92;22,82;9,35;8,3;10,51;5,69;7,3;7,72;24,52;9,5;0,71;26,14;27,55;3,38;5,64;21,81;6,1;31,46;0,34;15,56;15,29;18,29;2,4;8,89;10,4;12,43;12,83;16,35;5,26;24,5;7,97;16,77;1,62;25,25;14,1;10,1;33,05;37,51;11,58;2,91;12,37;45;13,28;2,64;17,6;13,31;16,59;23,2;21,09;9,79;8,25;72,8;0,08;2,96;97;8,3;11,34;0,44;33,17;5,89;7,95;49,33;14,2;34,66;9,59;0,1;1,49;1,41;0,4;103,78;1,06;12,26;12,78;10,2;91,65;2,69;4,17;2,51;0,57;30,34;8,55;25,5;24,04;5,37;34,09;3,65;0,28;4;14,75;20,1;25,25;14,61;8,85;46,9;39,72;16;12,39;11,02;19,18;34;4,72;16,45;12,94;34,85;5,01;38,19;2,61;54;0,48;6,79;5,02;1,25;22,16;18,91;0,1;51,45;39,36;22;29,73;53402,81;22032,36;9058,84;2048,72
18/11/2014;13;16,18;6,27;7,95;16,4;18,3;14,61;32,7;14;26;35,29;36,53;2,69;32,31;28,97;10,78;7,99;1,59;50,64;3,46;13,85;103,73;65,39;6,7;19,36;17,22;10,72;13,93;28,85;9,9;16,25;0,22;26;42;13,38;12,6;17,98;22,65;32,36;19,85;29,93;23,14;6,64;32,23;14,6;11,69;22,5;9,05;8,2;9,84;5,26;6,99;7,5;24,78;9,17;0,69;25,76;26,9;3,41;5,49;20,84;6,15;31,53;0,35;15,3;14,84;18,01;2,24;8,75;10,37;12,35;12,32;16,23;5,2;24,17;8,18;16,41;1,6;24,43;14,5;9,72;32,02;36,06;11,29;2,94;12,11;44;13,05;2,6;17,33;12,99;16,15;23,67;20,23;9,1;8,03;72;0,07;2,9;96,48;8,05;11,31;0,43;33,75;5,55;7,7;48,93;14,39;33,99;9,47;0,1;1,4;1,3;0,28;105,4;1,03;11,94;12,45;10,5;89,46;2,68;4,03;2,52;0,55;29,9;8,6;25,4;24,2;5,3;33,55;3,6;0,27;3,85;14,16;19,87;24,57;15,35;8,8;45,88;38,25;15,9;12,54;11,13;18,54;32,83;4,58;16,55;12,79;34,4;5,12;37,68;2,66;53,22;0,48;6,75;5,01;1,22;22,03;18,83;0,1;49,75;38,35;23,14;30,05;52061,86;21505,74;8832,74;2051,8
17/11/2014;13;15,87;6,25;7,75;15,95;17,8;14,6;33;13,8;25,08;33,7;34,96;2,68;31,18;29;11,05;7,8;1,59;49,82;3,5;14,45;103,23;64,72;6,89;18,84;16,4;10,46;14,03;28,89;9,76;15,99;0,23;25,66;40,1;13,03;12,39;17,8;22,17;31,45;19,16;30,02;23,1;6,9;31,7;14,3;11,4;22,89;8,8;8,3;9,79;5,21;7,3;7,37;24;9,05;0,7;25,34;26,52;3,55;5,3;20,57;6,16;31,24;0,36;15,12;14,54;17,73;2,23;8,82;10,64;12,65;12,35;15,81;5,07;23,98;8,81;16,2;1,6;23,93;14,5;9,45;31,17;35,04;11,03;2,9;12,18;42,9;12,87;2,55;16,61;13;16;23,59;19,98;8,74;7,85;71,22;0,08;2,87;94;7,77;11,38;0,44;33,6;5,62;7,55;47,1;14,64;32,9;9,28;0,1;1,39;1,28;0,23;103,95;1,01;12,13;12,6;10,68;88,05;2,65;3,99;2,57;0,56;29,05;8,5;24,95;23,7;5,39;33,03;3,59;0,27;3,95;13,98;19,17;24,51;15,4;9,06;44,5;38,97;16,05;12,17;10,98;18,27;32,4;4,47;16,9;12,88;34,06;5,04;36,2;2,76;52,1;0,49;6,7;5,1;1,23;22,93;19,73;0,11;49,29;38,85;22,95;29,58;51256,99;21173,61;8691,8;2041,32
14/11/2014;12,87;15,82;6,39;7,84;16,2;18,12;14,66;33,5;14,1;24,54;34,55;35,76;3,08;31;29,5;11,2;7,78;1,59;50,34;3,6;14,17;104;65,09;7,06;19,06;16,29;10,56;14,4;29,45;9,88;16,11;0,23;25,26;39,12;13;12,59;17,93;22,57;31,8;19,34;29,94;23,76;7,04;31,37;14,31;11,45;23,49;9,1;8,25;9,86;5,65;8,03;7,23;23,9;9,05;0,68;25,45;27,29;3,42;5,34;20,99;6,3;31,68;0,35;15,15;14,71;18;2,26;8,96;10,99;13,16;12,8;16,25;5,2;24;8,9;16,18;1,63;24,15;14,7;9,55;31,52;35,3;11,06;2,89;12,4;45,01;12,76;2,51;17;13,12;15,89;23,91;19,76;9,18;8,6;71,71;0,08;3,09;93,3;7,88;12,35;0,46;34,2;5,68;7,48;47,53;15,02;33,76;9,2;0,11;1,4;1,31;0,2;103,75;1,02;12,78;13,2;11,1;88,9;2,68;4,03;2,42;0,55;28,91;8,85;24,55;23,7;5,5;32,65;3,7;0,28;4,1;13,97;19,35;25,5;15,48;9,35;45;37,65;16,75;12,33;11,03;18,47;32,81;4,36;17,13;13,02;34,67;5,21;36,6;2,8;51,93;0,49;6,98;5,48;1,22;23;19,8;0,12;49,45;38,79;23,67;29,44;51772,4;21383,24;8776,45;2039,82
13/11/2014;13,06;16;6,46;7,75;16,02;18,4;14,6;32,4;14,07;24,91;34,07;35,64;2,9;31,3;29,9;11,4;7,77;1,6;50,35;3,65;13,83;104,52;63,36;6,99;19,26;16,3;10,57;14,5;29;9,86;16,7;0,23;25,27;38,78;13,75;13,14;17,99;22,5;31,66;19,61;30,1;25,02;7,3;30,75;14,58;11,3;24,26;9,25;8,5;9,88;5,94;8,66;7,49;24,19;9;0,68;25,69;27,5;3,35;5,15;21,1;6,6;31,7;0,37;15;14,5;18;2,21;8,92;10,8;13;13,31;16,07;5,49;24,87;9;16,45;1,63;23,78;15,8;9,45;31,48;35,13;10,98;2,89;12,7;45;12,63;2,53;16,97;12,95;15,72;23,25;19,72;9,5;8,5;72;0,08;3,03;92,02;7,9;12,44;0,45;33,6;5,9;7,53;48,34;15,4;33,99;9,22;0,12;1,39;1,28;0,19;105;1,02;13,13;13,6;12,25;88,95;2,73;4,04;2,38;0,55;29,5;9,3;24,7;24,91;5,62;33,51;3,76;0,27;4,3;14,19;18,96;25,85;15,45;11,19;45,58;37,65;16,88;12;10,92;18,16;33,1;4,44;17,05;12,85;34,5;5,3;36,95;2,8;52;0,48;6,79;5,27;1,45;22,46;19,37;0,1;49,39;38,22;24,06;29,6;51846,03;21409,6;8780,44;2039,33
