Date;ABCB4 BS Equity;ABEV3 BS Equity;ALLL3 BS Equity;ALPA4 BS Equity;ALSC3 BS Equity;ALUP11 BS Equity;AMAR3 BS Equity;ANIM3 BS Equity;ARTR3 BS Equity;BBAS3 BS Equity;BBDC3 BS Equity;BBDC4 BS Equity;BBRK3 BS Equity;BBSE3 BS Equity;BBTG11 BS Equity;BEEF3 BS Equity;BEMA3 BS Equity;BISA3 BS Equity;BOVA11 BS Equity;BPHA3 BS Equity;BRAP4 BS Equity;BRCR11 BS Equity;BRFS3 BS Equity;BRIN3 BS Equity;BRKM5 BS Equity;BRML3 BS Equity;BRPR3 BS Equity;BRSR6 BS Equity;BTOW3 BS Equity;BVMF3 BS Equity;CCRO3 BS Equity;CCXC3 BS Equity;CESP6 BS Equity;CIEL3 BS Equity;CMIG3 BS Equity;CMIG4 BS Equity;CPFE3 BS Equity;CPLE3 BS Equity;CPLE6 BS Equity;CRUZ3 BS Equity;CSAN3 BS Equity;CSMG3 BS Equity;CSNA3 BS Equity;CTIP3 BS Equity;CVCB3 BS Equity;CYRE3 BS Equity;CZLT33 BS Equity;DIRR3 BS Equity;DTEX3 BS Equity;ECOR3 BS Equity;ELET3 BS Equity;ELET6 BS Equity;ELPL4 BS Equity;EMBR3 BS Equity;ENBR3 BS Equity;ENEV3 BS Equity;EQTL3 BS Equity;ESTC3 BS Equity;ETER3 BS Equity;EVEN3 BS Equity;EZTC3 BS Equity;FHER3 BS Equity;FIBR3 BS Equity;FJTA4 BS Equity;FLRY3 BS Equity;GETI3 BS Equity;GETI4 BS Equity;GFSA3 BS Equity;GGBR3 BS Equity;GGBR4 BS Equity;GOAU4 BS Equity;GOLL4 BS Equity;GRND3 BS Equity;HBOR3 BS Equity;HGTX3 BS Equity;HRTP3 BS Equity;HYPE3 BS Equity;IDNT3 BS Equity;IGTA3 BS Equity;IMCH3 BS Equity;ITSA4 BS Equity;ITUB3 BS Equity;ITUB4 BS Equity;JBSS3 BS Equity;JHSF3 BS Equity;JSLG3 BS Equity;KEPL3 BS Equity;KLBN11 BS Equity;KLBN4 BS Equity;KROT3 BS Equity;LAME3 BS Equity;LAME4 BS Equity;LEVE3 BS Equity;LIGT3 BS Equity;LLIS3 BS Equity;LPSB3 BS Equity;LREN3 BS Equity;LUPA3 BS Equity;MAGG3 BS Equity;MDIA3 BS Equity;MGLU3 BS Equity;MILS3 BS Equity;MMXM3 BS Equity;MPLU3 BS Equity;MRFG3 BS Equity;MRVE3 BS Equity;MULT3 BS Equity;MYPK3 BS Equity;NATU3 BS Equity;ODPV3 BS Equity;OGXP3 BS Equity;OIBR3 BS Equity;OIBR4 BS Equity;OSXB3 BS Equity;PCAR4 BS Equity;PDGR3 BS Equity;PETR3 BS Equity;PETR4 BS Equity;PFRM3 BS Equity;PIBB11 BS Equity;PMAM3 BS Equity;POMO4 BS Equity;POSI3 BS Equity;PRML3 BS Equity;PSSA3 BS Equity;QGEP3 BS Equity;QUAL3 BS Equity;RADL3 BS Equity;RAPT4 BS Equity;RENT3 BS Equity;RLOG3 BS Equity;RPMG3 BS Equity;RSID3 BS Equity;SANB11 BS Equity;SBSP3 BS Equity;SEER3 BS Equity;SLCE3 BS Equity;SLED4 BS Equity;SMLE3 BS Equity;SMTO3 BS Equity;STBP11 BS Equity;SULA11 BS Equity;SUZB5 BS Equity;TAEE11 BS Equity;TBLE3 BS Equity;TCSA3 BS Equity;TGMA3 BS Equity;TIMP3 BS Equity;TOTS3 BS Equity;TPIS3 BS Equity;TRPL4 BS Equity;UCAS3 BS Equity;UGPA3 BS Equity;UNIP6 BS Equity;USIM3 BS Equity;USIM5 BS Equity;VAGR3 BS Equity;VALE3 BS Equity;VALE5 BS Equity;VIVR3 BS Equity;VIVT4 BS Equity;VLID3 BS Equity;VVAR11 BS Equity;WEGE3 BS Equity;IBOV Index;IBX Index;IBX50 Index;SPX Index
27/11/2014;13,85;16,57;5,96;8,12;17,4;18,65;14,46;37;14,48;28,8;38,59;40,5;2,83;33,32;29,68;11,34;8,1;1,61;53,9;3,56;14,77;106,06;66,15;5,86;18,76;18,76;10,72;14,3;26,75;10,63;17,63;0,25;26,58;43,6;14,56;13,97;19,34;24,83;35,46;20,66;34;25,2;6,21;33,47;15,69;12,51;24,8;9,74;8,5;10,57;6,11;7,82;9,09;23,22;9,82;0,77;27,49;27,94;3,37;5,83;22,19;6,17;29,65;0,37;15,65;15,15;18,62;2,75;8,86;10,59;12,59;13,59;16,35;5,39;25,11;7,78;17,28;1,68;26,93;13,69;10,54;34,67;39,35;11,93;2,84;13,2;44,3;13,47;2,63;18;13,08;16,77;23,3;20,49;9,32;9,26;75;0,08;2,78;100;8,17;10,15;0,75;33,9;6,45;8,76;51,57;14,1;34,87;9,68;0,1;1,5;1,42;0,48;108,19;1,16;13,45;14,2;9,64;95,64;2,67;4,22;2,74;0,54;30,95;8,22;27,3;24,47;5,57;35,3;3,35;0,29;4,01;15,09;19,71;25,86;15,25;7,95;47,65;41,87;16,51;12,6;10,38;19,54;34,3;4,85;17,67;12,15;35,18;5,6;37,79;2,73;54,17;0,49;6,68;5,19;1,1;23,26;19,81;0,1;52;40,7;22,67;30,47;55099,55;22697,48;9344,15;0
26/11/2014;13,88;17;6,09;8,06;17,49;18,74;15,3;36,01;14,39;29,7;39,53;41,17;2,9;33,61;29,44;11,5;8,01;1,62;54,73;3,65;15,32;104,6;66,97;6;19,02;18,44;11;14,12;26,91;10,73;17,1;0,24;27,08;44,38;14,59;13,91;19,49;24,75;35,09;20,98;32,9;25,73;6,74;33,33;15,65;12,5;24,73;9,52;8,66;10,23;6,18;7,84;8,8;23,34;10;0,84;27,52;27,83;3,35;5,83;22,29;6,15;30,6;0,42;15,29;15,6;19,36;2,74;9,05;11,11;13,23;13,86;16,69;5,32;25,01;7,33;17,33;1,66;26,32;13,83;10,78;35;40;12,14;2,87;13,21;44,94;13,68;2,65;17,97;12,86;16,75;23,37;20,82;9,5;9,23;74,3;0,08;2,9;101,61;8,19;10,5;0,46;34,48;6,44;8,9;50,85;14,4;34,78;9,61;0,1;1,58;1,47;0,47;108,8;1,15;13,63;14,44;9,98;96,36;2,63;4,25;2,7;0,55;31,15;8,33;27,25;24,46;5,67;34,93;3,48;0,31;4,07;15,4;19,56;26,15;15,15;8,28;47;40,77;16,94;12,99;10,73;20,21;33,99;4,74;17,17;12,66;35;5,5;38;2,7;55;0,5;7,17;5,55;1,13;24,01;20,6;0,1;51,4;40,01;23,5;30,39;55561;22881,73;9426,29;2067,36
25/11/2014;13,86;16,9;6,29;8,1;17,14;18,8;15,56;35,5;14,59;29;38,9;40,65;2,9;33,66;29,5;11,45;8,05;1,61;53,99;3,58;15,5;104,1;68;6,2;19,3;18,48;10,96;15,07;26,66;10,62;17,78;0,25;27,51;43,88;14,01;13,3;19,99;24,77;35,99;21,13;33,14;25;6,8;33,33;15,63;12,7;24,36;9,75;8,56;10,4;6,05;7,7;9,05;23,47;10,14;0,79;27,16;28,01;3,39;5,95;22,76;6,1;30,82;0,44;15,39;15,75;19,15;2,72;9,15;11,03;13,24;14;16,63;5,58;25;7,75;17,4;1,61;26,15;13,97;10,59;35,02;39,6;12,18;2,99;13;46;13,8;2,69;17,98;13,06;17,13;23,8;21,65;9,58;8,85;75,74;0,08;2,91;100,5;8,54;11,2;0,46;34,39;6,28;8,7;51,66;14,43;35;9,5;0,11;1,49;1,4;0,48;107,5;1,19;13,64;14,44;10,15;96,05;2,68;4,23;2,71;0,56;31,55;8,6;26,61;24,85;5,46;35,98;3,57;0,31;4,21;14,95;20,09;26,49;15,01;8,6;46,8;39,79;16,39;12,87;10,84;19,95;34,75;4,83;17,17;12,41;35,46;5,24;37,66;2,73;54,44;0,48;7,4;5,51;1,14;23,79;20,38;0,1;50,56;40,29;23,1;30,5;55410,27;22829,11;9391,62;2070,15
24/11/2014;13,9;17,28;6,6;8,36;18,1;19,2;15,3;36,45;15,14;30,18;39,8;41,56;2,95;34,94;30,45;11,27;8;1,6;55,28;3,7;15,49;103,51;69,15;6,37;19,84;19,29;11,09;14,59;27,16;10,66;18,16;0,26;28;43,52;13,73;13,28;20,63;25;36,55;21,5;33,09;25,3;6,9;34,39;15,62;12,74;23,81;10;8,58;11,19;6,18;7,82;8,48;24,04;10,2;0,69;27,24;28,6;3,4;6;22,79;6,2;30,75;0,35;15,73;15,7;19,01;2,69;9,1;10,98;13,07;13,75;16,85;5,5;25,17;8,15;18,1;1,59;25,75;14,18;10,87;35,45;40,5;12,25;3,01;12,75;46,4;13,99;2,65;18,36;13,42;17,45;23,8;21,89;10;8,7;76,6;0,08;2,96;98,48;8,22;11,48;0,44;34,51;6,78;8,75;51,4;14,44;36,65;9,65;0,1;1,65;1,58;0,47;108,99;1,16;14,16;14,62;10,58;97,2;2,71;4,39;2,54;0,58;31,45;8,89;26,6;24,33;5,55;36,73;3,81;0,29;4,61;15,32;20,9;26,98;15;8,76;47,05;42,27;16,39;12,55;10,56;19,85;35,1;4,81;17,25;12,79;35,01;5,23;39,45;2,78;56,83;0,48;7,29;5,46;1,2;24;20,53;0,11;53;40,11;22,38;30,05;56085,98;23081,12;9515,79;2065,07
21/11/2014;13,25;16,49;6,28;8,1;16,43;18,62;14,6;34;14,49;28,01;36,72;38,16;2,67;33,29;29;10,77;8;1,61;52,95;3,47;14,08;104,1;67,4;6,27;19,23;18,1;10,49;14,03;27,2;10,17;17,31;0,26;26,99;43,41;13,26;12,78;18,94;23,44;33,63;20,61;31,6;23,55;6,5;33;14,7;11,95;22,9;9,13;8,35;10,59;5,77;7,55;7,91;24,01;9,43;0,72;26,02;28;3,4;5,67;21,66;6,2;31,6;0,34;15,5;15,29;18,75;2,41;8,92;10,35;12,43;12,7;16,22;5,26;24,6;8,02;16,89;1,6;25;14,18;10,13;33,5;37,69;11,64;2,84;12,31;45;13,34;2,65;17,62;13,31;16,6;23,2;21,09;9,7;8,01;72,72;0,08;3;96,87;8,24;11,21;0,44;32,53;5,85;7,95;50,13;14,11;34,8;9,48;0,1;1,49;1,42;0,44;104,2;1,09;12,6;13,01;10,2;93,01;2,66;4,17;2,52;0,59;30,34;8,49;25,39;24,49;5,38;34,47;3,7;0,28;4;14,51;20,28;25,25;14,34;8,97;46,4;38,84;15,81;12,36;10,92;19,18;34,24;4,65;16,17;12,86;35,08;4,94;38,2;2,62;54,32;0,49;6,79;5,1;1,26;23,19;19,65;0,1;51,35;39,1;21,99;29,75;53403,06;22032,27;9059,28;2057,46
19/11/2014;13,25;16,16;6,31;7,95;16,62;18,43;14,53;32,71;14;26,01;35,46;36,79;2,71;32,09;28,89;10,83;7,99;1,6;50,6;3,46;13,8;104;65,5;6,7;19,35;17,22;10,81;13,93;28,9;10;16,26;0,22;26,06;42;13,3;12,5;18,09;22,88;32,58;19,85;29,93;23,25;6,51;32,32;14,55;11,69;22,4;9,06;8,24;9,84;5,23;7,03;7,46;24,7;9,17;0,69;25,63;27,3;3,44;5,53;20,84;6;31,4;0,34;15,25;14,76;18,01;2,25;8,75;10,42;12,41;12,2;16,23;5,2;24,17;8,18;16,5;1,59;24,85;14,6;9,77;32,15;36,27;11,37;2,94;12,15;44,03;13,08;2,6;17,33;13,05;16,16;23,81;20,37;9,1;8,21;72,46;0,08;3;94,86;8,05;11,28;0,45;33,94;5,57;7,7;48,6;14,49;34,21;9,45;0,1;1,39;1,3;0,31;105,4;1,03;11,9;12,4;10,52;89,54;2,68;4,06;2,55;0,55;29,89;8,6;25,5;24,26;5,31;33,78;3,62;0,28;3,9;14,2;20;24,6;15,42;8,8;45,69;38;16,11;12,63;11,15;18,53;33,16;4,55;16,65;12,86;34,35;5,04;37,68;2,74;52,87;0,49;6,62;5;1,22;21,85;18,57;0,1;49,99;38,49;22,96;30,05;52061,86;21505,47;8832,74;2051,16
18/11/2014;13,03;16,03;6,25;7,72;16,05;17,9;14,62;33,13;13,85;25,3;33,83;35,2;2,72;31,18;28,88;11,05;7,77;1,6;50,29;3,49;14,46;103,21;64,99;6,93;18,89;16,52;10,44;14,11;28,93;9,79;16,06;0,23;25,66;40,17;13,5;12,5;17,91;22,3;31,67;19,28;30,07;23,24;6,89;31,76;14,41;11,44;22,85;8,83;8,34;9,83;5,22;7,31;7,36;24,18;9,11;0,71;25,34;26,56;3,45;5,29;20,69;6,14;31,2;0,36;15,13;14,54;17,8;2,27;8,8;10,67;12,7;12,36;15,9;5,1;24,06;8,88;16,2;1,58;23,91;14,59;9,48;31,42;35,19;11;2,93;12,16;43,16;12,89;2,54;16,73;13,11;16;23,79;20,12;8,78;7,95;71,7;0,08;2,88;94,8;7,78;11,38;0,45;33,61;5,62;7,54;48,03;14,79;32,85;9,34;0,1;1,39;1,28;0,24;104,3;1,02;12,21;12,76;10,69;88;2,64;4,01;2,55;0,57;29,07;8,51;24,93;23,7;5,41;33,04;3,59;0,26;3,95;13,95;19,21;24,65;15,42;9,11;44,63;38,84;15,86;12,17;10,95;18,38;32,63;4,51;16,88;13,01;34,02;5,03;36,2;2,8;52,11;0,48;6,76;5,14;1,24;22,88;19,6;0,11;49,64;38,86;23,03;29,44;51257,05;21173,65;8691,8;2041,48
17/11/2014;13,15;15,74;6,42;7,79;16,6;18,22;14,72;33,46;14,02;25,25;34,36;35,47;2,79;30,98;29,61;11,28;7,75;1,59;50,35;3,62;14,17;104,45;65;6,91;19,08;16,4;10,57;14,32;29,45;9,87;16,11;0,22;25,71;39,59;13,1;12,55;18,06;22,68;32,01;19,21;29,88;23,85;7;31,36;14,2;11,58;23,37;9,14;8,19;9,89;5,6;7,77;7,19;23,77;9,05;0,72;25,58;27,31;3,42;5,45;20,95;6,33;31,7;0,35;15,25;14,71;18;2,25;9,15;11,04;13,14;12,86;16,45;5,23;24,05;8,95;16,28;1,63;23,86;14,79;9,54;31,6;35,39;11,06;2,85;12,5;45,1;12,75;2,52;17,05;13,24;15,93;24,06;19,78;9,2;8,41;71,25;0,08;3,08;93,16;7,86;12,42;0,46;34,01;5,68;7,49;47,12;15,02;33,52;9,15;0,11;1,38;1,31;0,21;104,2;1,01;12,74;13,07;11;88,99;2,62;4,03;2,42;0,55;28,88;8,78;24,59;23,75;5,48;32,65;3,71;0,28;4,1;14,04;19,49;25,83;15,64;9,51;44,94;37,35;16,5;12,35;11,06;18,37;33,03;4,27;17,24;12,93;34,7;5,24;36,5;2,83;51,93;0,48;6,86;5,47;1,22;22,93;19,66;0,12;49,19;38,8;23,71;29,3;51772,4;21383,24;8776,46;2038,29
14/11/2014;12,92;15,89;6,41;7,71;15,86;18,4;14,95;32,6;13,98;24,84;34,09;35,41;2,85;30,95;29,15;11,4;7,79;1,58;49,64;3,67;13,83;104,6;63,36;7,1;19,26;16,19;10,41;14,3;28,7;9,69;16,83;0,24;25,03;38,88;13,57;12,45;17,5;22,08;30,9;19,5;29,9;25,7;7,13;30,55;14,46;11,35;23,78;9,01;8,41;9,87;5,77;8,6;7,44;24,22;8,91;0,66;25,54;27,44;3,36;5,1;20,99;6,65;31,7;0,37;14,91;14,49;17,74;2,18;8,87;10,8;13;13,23;15,96;5,37;24,63;9,05;16,41;1,6;23,6;15,99;9,39;31,49;34,81;10,7;2,82;12,52;46,49;12,55;2,5;17,15;12,77;15,61;22,93;19,57;9,49;8,25;71,07;0,08;2,95;91,61;7,88;12,75;0,44;33,37;5,82;7,46;47,85;15,33;33,95;9,17;0,12;1,39;1,26;0,19;104;1,01;12,49;12,9;11,93;87,92;2,7;4,06;2,38;0,55;29,5;9,25;24,54;24,73;5,6;33,2;3,72;0,28;4,15;14,03;18,77;25,67;15,45;10,4;45,42;37,65;16,78;11,98;10,94;18,16;33,16;4,51;16,9;13,02;33,68;5,3;36,91;2,8;51,71;0,48;6,79;5,27;1,46;22,29;19,22;0,1;49,2;38,05;23,8;29,6;51833,71;21409,51;8778,29;2039,74
13/11/2014;13,25;16,32;6,48;8;16,44;18,24;14,68;31,2;14,45;25,73;35,1;36,68;2,85;32,29;30,33;11,86;7,8;1,59;51,8;3,64;13,97;105,3;64,55;7,79;19,03;16,65;10,98;14,08;31,51;10,15;17,15;0,23;26,01;38,84;14,02;13,5;18,4;22,58;32,46;20,19;31,24;24,52;7,45;31,6;14,96;11,55;25,44;9,44;8,54;9,83;6,05;9;7,85;24,39;9,23;0,7;25,59;27,71;3,43;5,3;21,6;6,66;31,31;0,37;15,3;14,2;17,99;2,29;9,15;11,1;13,29;13,12;17,1;5,5;24,4;9,1;17,02;1,6;24,25;17,35;9,84;32,26;36,67;12,06;2,89;13,45;43,05;12,76;2,55;17,2;13,2;15,81;22,9;19,95;9,32;8,67;72,18;0,08;2,94;96,99;8,03;12,9;0,46;33,94;6,09;7,93;47,3;15,87;35,3;9,15;0,12;1,43;1,34;0,21;106,38;1,07;13,71;14,32;12,02;90,63;2,8;4,07;2,34;0,56;29,75;9,07;24,63;24,87;5,8;33,9;3,81;0,28;4,6;14,15;19,34;26,16;15,68;11,34;46,95;37,6;16,6;12,29;10,97;18,5;33,18;4,62;17,09;12,99;34,2;5,32;37,51;2,89;52,3;0,48;7;5,5;1,09;22,52;19,4;0,1;49,31;39,4;23,85;29,63;52978,83;21858,89;8975,37;2039,21
