Date;ABCB4 BS Equity;ABEV3 BS Equity;ALLL3 BS Equity;ALPA4 BS Equity;ALSC3 BS Equity;ALUP11 BS Equity;AMAR3 BS Equity;ANIM3 BS Equity;ARTR3 BS Equity;BBAS3 BS Equity;BBDC3 BS Equity;BBDC4 BS Equity;BBRK3 BS Equity;BBSE3 BS Equity;BBTG11 BS Equity;BEEF3 BS Equity;BEMA3 BS Equity;BISA3 BS Equity;BOVA11 BS Equity;BPHA3 BS Equity;BRAP4 BS Equity;BRCR11 BS Equity;BRFS3 BS Equity;BRIN3 BS Equity;BRKM5 BS Equity;BRML3 BS Equity;BRPR3 BS Equity;BRSR6 BS Equity;BTOW3 BS Equity;BVMF3 BS Equity;CCRO3 BS Equity;CCXC3 BS Equity;CESP6 BS Equity;CIEL3 BS Equity;CMIG3 BS Equity;CMIG4 BS Equity;CPFE3 BS Equity;CPLE3 BS Equity;CPLE6 BS Equity;CRUZ3 BS Equity;CSAN3 BS Equity;CSMG3 BS Equity;CSNA3 BS Equity;CTIP3 BS Equity;CVCB3 BS Equity;CYRE3 BS Equity;CZLT33 BS Equity;DIRR3 BS Equity;DTEX3 BS Equity;ECOR3 BS Equity;ELET3 BS Equity;ELET6 BS Equity;ELPL4 BS Equity;EMBR3 BS Equity;ENBR3 BS Equity;ENEV3 BS Equity;EQTL3 BS Equity;ESTC3 BS Equity;ETER3 BS Equity;EVEN3 BS Equity;EZTC3 BS Equity;FHER3 BS Equity;FIBR3 BS Equity;FJTA4 BS Equity;FLRY3 BS Equity;GETI3 BS Equity;GETI4 BS Equity;GFSA3 BS Equity;GGBR3 BS Equity;GGBR4 BS Equity;GOAU4 BS Equity;GOLL4 BS Equity;GRND3 BS Equity;HBOR3 BS Equity;HGTX3 BS Equity;HRTP3 BS Equity;HYPE3 BS Equity;IDNT3 BS Equity;IGTA3 BS Equity;IMCH3 BS Equity;ITSA4 BS Equity;ITUB3 BS Equity;ITUB4 BS Equity;JBSS3 BS Equity;JHSF3 BS Equity;JSLG3 BS Equity;KEPL3 BS Equity;KLBN11 BS Equity;KLBN4 BS Equity;KROT3 BS Equity;LAME3 BS Equity;LAME4 BS Equity;LEVE3 BS Equity;LIGT3 BS Equity;LLIS3 BS Equity;LPSB3 BS Equity;LREN3 BS Equity;LUPA3 BS Equity;MAGG3 BS Equity;MDIA3 BS Equity;MGLU3 BS Equity;MILS3 BS Equity;MMXM3 BS Equity;MPLU3 BS Equity;MRFG3 BS Equity;MRVE3 BS Equity;MULT3 BS Equity;MYPK3 BS Equity;NATU3 BS Equity;ODPV3 BS Equity;OGXP3 BS Equity;OIBR3 BS Equity;OIBR4 BS Equity;OSXB3 BS Equity;PCAR4 BS Equity;PDGR3 BS Equity;PETR3 BS Equity;PETR4 BS Equity;PFRM3 BS Equity;PIBB11 BS Equity;PMAM3 BS Equity;POMO4 BS Equity;POSI3 BS Equity;PRML3 BS Equity;PSSA3 BS Equity;QGEP3 BS Equity;QUAL3 BS Equity;RADL3 BS Equity;RAPT4 BS Equity;RENT3 BS Equity;RLOG3 BS Equity;RPMG3 BS Equity;RSID3 BS Equity;SANB11 BS Equity;SBSP3 BS Equity;SEER3 BS Equity;SLCE3 BS Equity;SLED4 BS Equity;SMLE3 BS Equity;SMTO3 BS Equity;STBP11 BS Equity;SULA11 BS Equity;SUZB5 BS Equity;TAEE11 BS Equity;TBLE3 BS Equity;TCSA3 BS Equity;TGMA3 BS Equity;TIMP3 BS Equity;TOTS3 BS Equity;TPIS3 BS Equity;TRPL4 BS Equity;UCAS3 BS Equity;UGPA3 BS Equity;UNIP6 BS Equity;USIM3 BS Equity;USIM5 BS Equity;VAGR3 BS Equity;VALE3 BS Equity;VALE5 BS Equity;VIVR3 BS Equity;VIVT4 BS Equity;VLID3 BS Equity;VVAR11 BS Equity;WEGE3 BS Equity;IBOV Index;IBX Index;IBX50 Index;SPX Index
27/11/2014;313700;5570400;4588100;239900;659800;173700;164400;66500;310900;7117700;462400;6321000;2161200;2959000;1464000;305600;36700;137600;1382280;503000;957300;74294;2261500;142700;866700;1269300;1546100;250600;158500;9773500;2706600;19447200;433300;4271700;50400;1742600;503700;41700;258800;826100;1171000;192600;4421500;617300;137900;1169600;173500;163400;954500;1755700;1387900;1128300;650400;1123400;1042400;2105300;321200;1224800;61600;1017200;476200;14800;851300;271100;85900;143400;258300;3525900;18700;2503700;364900;1921600;176000;270600;979400;329800;1717900;358000;464300;1033100;9788800;137900;7618000;4540300;131800;52500;56400;3581100;116400;3727700;410500;1422000;132800;287800;39800;222500;522500;698400;71800;30600;333300;742400;10638300;171000;1189600;1578300;454900;145200;406400;493200;23427800;887800;10457300;10753300;280800;8552200;7755800;54167400;17500;25520;215600;1972700;235500;2992600;272500;323300;1275100;371100;470300;475800;1507100;536300;1585500;1006600;813100;534700;42400;179900;398500;95300;56200;341200;4618800;166800;441800;200000;65100;930200;285700;211000;311700;18900;683300;531200;143100;4503500;224800;2129700;8260600;206200;734100;333000;229100;395500;230778400;256227808;208427504;0
26/11/2014;159900;9356300;7658500;213800;300800;109200;1050800;233900;413400;6875700;1228600;7950600;371200;2253000;8809900;613800;65300;69300;1994850;627400;1794700;18444;1958500;153200;1569200;2799200;2826700;522400;828000;23471600;4028800;8910700;735900;1856300;65800;4334500;893000;11700;260700;690900;2763100;525600;8079500;778500;146800;2076100;206800;295300;865100;1552600;1013600;867600;875100;1695200;1203400;3152800;646900;4227800;145200;2261600;345900;106100;1203000;351100;469700;167200;362900;6181700;18300;5033400;578700;785800;188100;613100;1158400;1566000;1356700;568100;474600;594100;12989600;288700;10882300;5823500;143500;25900;38200;2412200;1121100;6667600;457500;2154600;274300;450200;294000;130400;435800;2321400;78800;71700;363800;2515600;6851900;256100;1365300;3728200;755900;167900;618500;753900;40197500;1914400;19551400;4256700;593800;9292800;13762700;34618800;388600;136650;211900;1774100;279200;2900800;350600;327800;1700100;590100;853600;682400;3075600;53000;1430900;1740800;1102400;278300;240400;419700;978800;211200;84600;601700;6567000;564500;521700;370500;47000;2146900;525300;144400;128800;44800;1100600;50800;423400;7507800;322700;5151500;18692900;3058900;761600;252700;756300;502400;306403200;338087104;279740192;510129952
25/11/2014;118400;16359800;51917300;335400;187200;115400;80600;225700;264300;8201400;2718200;9767500;3768700;3652600;599200;1557400;109300;275900;3653790;198800;2022600;22341;2640700;126600;1986400;2062100;18042200;1252500;550700;27528100;6349200;295700;1551300;3587300;47400;7820400;1549200;78100;813700;1364400;906500;6130700;7915600;1633500;127400;4775500;118800;736200;1118800;3008700;2304700;1601500;1983400;1883200;1713400;4110100;410400;2678200;137400;1741500;457400;31900;1955100;579200;151500;287800;656100;3520000;16100;4425900;1245700;959600;183000;427500;605200;585300;2952400;419200;399300;508200;18255200;152500;12546300;7491000;278500;37400;25800;3270800;1091600;8095500;752000;3198300;59600;724000;322800;307900;775900;1906000;153400;85200;836700;1728700;228500;185000;2195500;4357200;986800;261600;711100;1029600;13933200;6201800;39399200;5693400;928500;11432200;34289800;81092800;152000;72500;123200;2341800;473500;2685500;532200;375100;1734100;996900;1363100;846700;2576000;193700;2475300;4536800;1285100;249600;79400;354800;887500;160900;97800;1261300;5267300;737500;1295400;341700;95300;4206500;1125800;220700;277000;54700;1437000;867600;516800;10144600;665000;4874900;14233800;1150800;1015100;178800;516900;852000;505896512;539210816;423369312;587225536
24/11/2014;104900;12841900;5868500;301000;148900;163000;56700;111700;368400;8715900;1516500;13473400;984400;4131400;610100;917700;158300;222100;3743220;610900;1504300;34767;2732200;330700;1914900;3054000;4031000;2278600;515400;26799000;4958900;927800;961300;4607700;50000;5086300;1391900;33200;597400;1295100;1548100;1472500;7121000;1623900;67000;4840900;193800;290300;1921100;1721900;3755100;2431400;1747000;2479700;1915300;2132000;778200;3804100;157000;1822000;332900;34100;1411800;1187100;58000;481300;477900;8336500;37300;6002400;1495500;1657100;437100;229200;854400;268900;3236000;417200;559400;251000;26262800;207800;16539700;6392400;297700;204700;57700;2783500;261300;9422100;1397000;2880900;98400;787300;224300;211900;695800;1026800;218400;68700;532100;525400;158800;321500;2842000;3012700;1332400;431900;872400;1380400;9153100;2472300;45037500;9526600;845900;16739300;33898000;69838000;228300;121440;124900;2252500;268200;4463400;369000;217400;1269300;868000;1409000;889500;1617800;2277800;3564700;1499900;1229600;458400;120900;229300;734900;242100;39700;817300;5677100;722500;873700;477800;45700;4880100;729900;88600;198500;20100;1795900;313200;355100;7731800;638000;5451000;16572800;1195300;1123700;180200;915500;926600;460486496;488483296;420965888;483217024
21/11/2014;442100;21950100;5786700;502100;373000;304200;52700;394600;524900;12503000;3323300;16620600;587800;6747800;2673900;964100;208300;228500;5885650;130400;2705700;36793;4577900;116200;2530600;4456400;4760000;1958600;495500;52160400;9063600;2235600;1308000;22737200;34300;6813200;2178900;31500;737500;2034700;1369900;809400;10231200;2121500;103600;3900700;166700;285700;2105600;2596300;3791300;3584200;1613800;4509900;2100100;796900;1083900;3894400;253100;2104000;563700;69800;3128600;371500;69600;262500;723300;7282800;32400;11191700;1749400;1967000;495700;451600;1603600;1745900;3816200;563000;324500;325600;26074500;344900;25433300;12019100;190400;60700;34600;3440100;637800;12940500;1787500;4198800;44400;1283000;325600;121900;966300;2125600;74600;74400;631900;668200;206100;230800;2296400;4897400;1156700;313600;1290300;1098100;11612000;3710600;37805200;9263900;1178400;15918500;27722100;64769900;89700;87020;83100;3308100;141400;8383900;823700;261100;4169300;1565700;1052900;2585200;2757300;1576800;5147500;2380800;2867700;225200;247900;266600;1067200;117800;26600;1568400;8009400;667500;1625900;1714500;114900;5357800;1280800;50400;194500;33200;2233200;50900;531900;8330300;2321900;21586000;33841200;580800;1280400;173100;804100;2062400;605371712;642269120;557557376;725540480
19/11/2014;371800;14719200;4568800;632100;298900;372300;48500;147900;371700;10278100;1608700;9451600;622400;5651100;887500;1441000;105700;3845700;3915840;347600;2072500;49526;3079400;152900;1920800;2686000;4242500;1954700;438000;19010100;5922300;2337600;827500;11015200;34500;4410600;1075600;48800;441100;1431900;1178000;793900;8844100;1429000;200400;2889500;185800;539100;3515200;1781300;4698600;2950500;829900;3178300;2235200;558900;399200;4386200;218800;1835400;511200;12300;1169900;310900;124700;195300;589500;6205100;7400;6139700;1462300;1059700;257600;314100;1024900;716100;2601300;397100;198100;382900;17741400;191000;13362400;9887700;244500;80200;19100;3627400;482200;12211400;1999300;4642100;183800;596200;1477000;169900;822200;903200;76600;76300;614200;543500;419800;961700;2231900;1529100;506400;451300;1014800;2040300;14956200;3425000;42257300;15628700;1511100;13345500;19815700;48030200;81900;161620;86300;2853300;203300;2301600;633400;204200;1882900;982600;1316400;1080400;1556900;310100;1083340;1831200;1055700;315500;233400;147900;2312800;90700;24100;1242400;4224900;558700;764000;652700;164100;4200500;1128900;63700;399100;47400;1579600;698100;410300;5820600;491100;8042000;28780600;3145200;1144500;318200;1716200;907000;426687296;459920992;385623296;456923424
18/11/2014;404100;8915700;4418100;464100;821600;162800;29100;108100;503800;5172900;834000;7368200;1410600;3310600;2047800;1196700;74400;643700;1141660;647600;1364600;28812;1699500;282400;2149100;3056300;1536700;1089400;157700;8706100;4639300;315900;719100;7211700;48500;3511800;1460500;138400;452200;1326000;889600;470900;6623400;2048400;120100;1222700;263400;250600;1745900;1780500;7705500;4827000;822500;1899300;1072500;628600;402000;8939000;104700;1962100;219100;9800;850100;166300;222300;185900;469500;5070600;157300;5916600;1736100;1238500;135100;634400;1437200;294800;1840200;357600;482200;46600;13535400;404100;8936600;7713800;42700;28000;13900;3319600;988600;23011300;295900;1538900;207700;572600;1161600;74800;763300;254800;391900;117100;514900;1166500;378000;231700;2872400;1488900;760300;403500;902900;1804000;28889200;1131700;18042100;6171000;607200;10086600;28382800;60199600;152900;21490;47600;2815000;325400;3114100;624700;705200;1724900;697400;1212600;1135200;645300;132400;1445940;953900;812200;356500;89400;383000;400700;131100;40600;885500;2808100;230900;721000;649000;143900;2098700;1000100;140200;381400;87100;939700;141400;681300;7915800;1362500;6002700;18642200;184400;713700;138700;259300;612000;364612192;386685088;318311904;465608064
17/11/2014;225600;6570800;5092000;200500;615100;105200;94700;117800;261100;8201900;666600;5265100;3909400;5226100;893700;929900;456800;556700;964740;132600;1760100;36099;1088400;172700;811900;2282500;2945400;684800;110800;7802200;3030400;46200;1673400;3838300;46300;3596000;469400;96200;236400;534400;805600;478000;4462300;666000;53200;1654500;179700;364500;668900;1523700;5761100;7082300;681000;876900;972500;768900;546200;3430000;245700;1280900;189800;313600;870800;120700;63700;208300;459200;2696200;13400;4247600;1109000;614900;180100;406600;1102300;299200;1964500;299500;895200;91900;11475400;93800;7597700;4196700;175500;38200;106200;2068500;584200;11455800;450200;2480100;80100;608000;275000;401700;288200;676300;92400;65400;346300;1040900;461900;261900;1937400;1068800;602400;442100;623100;1434900;29849100;1922100;22543500;3606100;702600;4464000;19484700;46742600;50500;25890;157100;3188700;459600;604000;271700;374400;2414600;627500;511400;987700;501900;2131200;1218240;1060800;687200;185700;80900;118900;132700;286500;129600;1172500;2643900;201100;368400;601500;42600;1713700;1078400;117500;104900;17500;846300;202000;588400;5923400;1336400;3821100;10564900;739100;847200;224700;1321400;327700;282960384;301645504;242789296;466238656
14/11/2014;195600;14506700;4206100;302400;1434400;100600;15800;432800;402600;10670700;1231000;6908200;5798100;4639000;705800;1219200;79900;1159900;1939130;2627200;2220700;37620;1584900;213100;1437700;4072400;1814100;941800;274700;17409000;7120400;18500;1217200;2892900;83900;7250900;1212300;29000;582400;1504100;1480800;781200;11474900;1170000;83600;2961300;166200;1060800;1344500;1920100;4062200;5812000;756700;1088800;1322700;966900;423600;3262400;104800;1705900;266500;89400;1133500;315400;90600;384400;524200;3699100;14300;6269300;1081800;2251800;516800;389900;871400;193100;2201700;396500;305800;418200;15728100;119300;12249900;8018800;175100;49600;22600;4156600;531100;9722700;223200;2730000;159300;964200;383800;66600;373300;928700;147400;45400;872800;414000;743400;359700;2085500;2444300;660500;761400;1571000;840900;5140000;3093700;26294100;784900;948700;14827600;19933100;52286300;328600;46470;123100;2899700;245600;501600;688500;466400;3228700;1804100;923400;1496600;1338600;133500;2177680;1166000;1055600;259100;89000;392500;237400;162300;76900;2138200;4605600;420300;559500;548300;84700;1511400;1214400;83800;212700;12900;1306900;404300;368000;7186200;1307100;6490200;13146000;1225400;701800;273700;511300;690600;380267008;403845600;333956288;447916544
13/11/2014;204300;10419500;3123800;481100;518700;127600;38000;324600;420700;4945200;832100;5813000;1165900;2753500;261000;1558100;64000;1136100;1340420;916900;1268200;46177;1390200;211600;1920100;2592500;1787900;1126900;1116600;20792300;2394800;58100;538500;2170600;24100;3258200;687400;27900;412800;1087500;1002600;309800;5369000;1199300;66500;2195500;243100;220200;2208700;1539800;1528200;994400;889500;1565400;846300;406100;541300;1556500;155300;3355000;441000;11500;1126400;154700;120900;184100;373500;5438600;26700;4822400;933700;1072900;549900;182000;716300;371900;2244800;321500;268300;304200;14684600;111800;8422600;13579400;119100;116300;9700;2278400;489900;7483500;1266900;5281000;100700;477200;100200;73200;440500;601100;67800;134800;365600;238700;479000;172400;4115000;2060800;826900;359000;956400;1189300;3256500;4769500;36549900;3148000;410500;8241200;13610300;35203100;14100;27900;146300;1567200;220600;917100;406200;327400;1710800;853700;1299500;928100;873800;34400;1719920;1546300;726200;197900;88100;182100;154500;71100;217700;680200;3062900;439100;502500;379000;517600;1844600;374500;44000;155500;36900;1522700;68700;487300;6138500;2458100;4026100;8060000;78700;470500;178500;725800;330500;304167616;326791296;268855008;470870048
