no_contrato;status_contrato;data_inicio;idade;num_dependentes;renda_mensal_reais;fracao_mes;prazo_emprestimo;fracao_a_vista;socio1_empregado0;educ_2ograu_maximo;educ_pos_maximo;sexo_m1_f0;cheques_pre_datados;geladeira;maquina_lavaroupa;regiao;filial;atraso;tipo_atraso;tipo_registro
A18100058;encerrado;18/01/2001;26;2;4050;1;1,5;0,27;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100141;encerrado;11/05/2001;28;2;5030,1;1;2;0,25;0;0;0;1;1;1;0;NO;Para;0;0;treino
A18100199;encerrado;04/08/2001;32;2;7918,2;1;1;0,51;0;0;0;1;1;1;1;NO;Para;0;0;treino
A18100218;encerrado;04/09/2001;31;0;4500;1;1;0,66;0;0;0;1;1;1;1;NO;Para;0;0;treino
A18100219;encerrado;01/12/2001;36;2;10800;1;1;0,17;0;0;0;1;1;1;0;NO;Para;0;0;treino
A18100263;encerrado;25/05/2002;33;2;6111,9;1;2;0,18;0;0;0;1;0;0;0;NO;Para;0;0;treino
A18100264;encerrado;04/08/2001;41;2;9000;1;1;0,37;0;1;0;1;0;0;0;NO;Para;0;0;treino
A18100283;encerrado;25/05/2002;47;0;5400;1;2;0,42;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100298;encerrado;12/09/2001;43;0;20700;0,97;1,5;0,27;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100322;encerrado;25/05/2002;27;0;4401;1;2;0,47;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100336;encerrado;06/03/2001;50;4;14294,7;1;1;0,61;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100337;encerrado;06/08/2002;53;2;8910;1;2;0,19;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100339;encerrado;12/06/2001;35;0;15300;1;1;0,23;0;0;0;1;1;0;0;NO;Para;0;0;treino
A18100358;encerrado;30/08/2002;31;2;9377,1;1;2,5;0,38;0;0;0;1;0;0;0;NO;Para;0;0;treino
A18100359;encerrado;03/05/2002;29;0;9000;1;2;0,28;0;0;0;1;0;0;0;NO;Para;0;0;treino
A18100373;exec_garantia;02/05/2001;35;0;4553,1;1;2;0,08;0;0;0;1;1;0;0;NO;Para;0;0;treino
