"conta";"sexo";"idade";"cartao";"status_loan";"loan_am";"trans_sum";"avg_sal";"unemp_r";"entrep_no"
97;"M";56;"classic";"A";102876;464438;10673;1,14526315789474;100
105;"F";48;"classic";"C";352704;335866;9104;1,37086092715232;123
110;"M";45;"classic";"C";162576;618758;9198;1,28528528528529;131
132;"F";53;"classic";"A";88440;769228;9317;1,08936825885978;97
226;"F";54;"classic";"C";109344;536838;10177;1,16892911010558;81
276;"M";27;"classic";"C";160920;684890;8965;1,16242937853107;104
303;"F";42;"classic";"C";112752;413199;8678;0,93929173693086;102
339;"F";51;"classic";"C";468060;1229565;8369;1,29050279329609;117
544;"M";56;"classic";"A";91152;635330;9272;1,15;118
666;"F";58;"classic";"A";12540;397255;8561;1,98461538461538;110
675;"F";53;"classic";"C";102240;316168;8757;1,16863905325444;96
718;"F";42;"classic";"A";76944;1546279;12541;1,48275862068966;167
790;"M";47;"classic";"B";208128;354022;9897;1,225;140
825;"M";50;"classic";"A";53076;442490;8402;1,27156549520767;120
846;"F";21;"classic";"A";187104;1258061;8994;1,26052631578947;110
940;"F";40;"gold";"C";284280;975623;9065;1,2085201793722;123
960;"F";40;"classic";"C";189060;1111660;9753;1,08836206896552;109
993;"F";32;"classic";"C";108720;975725;8546;1,36271186440678;126
1480;"F";53;"classic";"C";123300;972190;9832;1,34939759036145;114
1580;"M";30;"classic";"C";194256;457882;8173;NA;124
1698;"F";48;"classic";"C";141948;508312;9893;1,15403422982885;96
1766;"M";47;"classic";"C";30060;500612;8594;1,24074074074074;112
1843;"F";58;"classic";"A";105804;498611;10045;1,20422535211268;135
1862;"F";48;"classic";"C";396120;1017567;8402;1,27156549520767;120
1869;"F";32;"classic";"C";37944;653125;12541;1,48275862068966;167
1876;"M";19;"junior";"C";209040;499466;12541;1,48275862068966;167
2000;"M";61;"classic";"C";290820;494640;9307;1,15064935064935;118
2051;"F";23;"gold";"D";293880;1626734;9624;1,44375;145
2062;"F";58;"classic";"A";86184;1131441;10177;1,16892911010558;81
2080;"M";61;"classic";"C";214596;1255985;10673;1,14526315789474;100
2116;"F";24;"classic";"A";92400;487052;10177;1,16892911010558;81
2143;"F";18;"junior";"C";71460;595768;12541;1,48275862068966;167
2153;"M";55;"classic";"A";61560;758324;8930;1,19318181818182;108
2167;"F";33;"classic";"A";170256;639328;8427;1,375;107
2218;"F";47;"classic";"C";182040;1095981;8402;1,27156549520767;120
2227;"F";28;"classic";"A";92976;1511168;8930;1,19318181818182;108
2262;"M";48;"classic";"C";230220;1798948;8598;1,17689530685921;123
2279;"M";24;"classic";"C";314688;995772;8507;1,10778443113772;132
2350;"F";25;"classic";"C";159744;1275989;8968;1,18374558303887;131
2699;"F";20;"junior";"C";231168;1159503;8746;1,12312312312312;90
2725;"M";51;"classic";"C";69624;516071;8363;1,38492063492063;108
2824;"F";51;"gold";"C";50460;406753;9622;1,31111111111111;154
2910;"F";45;"classic";"C";437460;1157141;9893;1,15403422982885;96
2912;"M";49;"classic";"C";380160;1440879;10673;1,14526315789474;100
2982;"M";60;"gold";"C";41256;1277584;8402;1,27156549520767;120
2986;"M";40;"classic";"C";24792;577633;8288;1,19261213720317;110
2994;"F";34;"classic";"C";48744;517270;8909;1,38653366583541;113
3050;"M";26;"classic";"A";82896;1053541;8208;1,1957671957672;155
3112;"F";21;"junior";"C";123216;443283;8965;1,16242937853107;104
3166;"M";26;"classic";"D";177744;1052088;8444;1,07098765432099;106
3229;"M";62;"classic";"A";39024;620727;9624;1,44375;145
3293;"F";34;"classic";"C";276084;1184317;12541;1,48275862068966;167
