"stmt_frq";"date_acct";"type_disp";"date_loan";"amount";"duration";"payments";"response";"date_birth";"gender";"type_card";"min1";"max1";"mean1";"min2";"max2";"mean2";"min3";"max3";"mean3";"min4";"max4";"mean4";"min5";"max5";"mean5";"min6";"max6";"mean6";"has_card"
"monthly";8413;"OWNER";8726;79608;24;3317;"1";117;"M";"0.NA";62096,7;106845,7;93019,22;51088,6;106845,7;84020,27;51088,6;106845,7;83870,44375;35481,3;106845,7;75510,8136363636;31251,7;106845,7;70935,1678571429;31251,7;112613,4;72354,0135135135;"0"
"monthly";8414;"OWNER";8658;52788;12;4399;"1";1142;"M";"0.NA";18324;25942;20662,8;18201,8;28077,4;21134,4705882353;14716,8;28077,4;20615,732;14716,8;41469,1;21805,4161290323;14716,8;41469,1;22650,3352941176;14716,8;41469,1;23153,0891891892;"0"
"monthly";8417;"OWNER";8714;21924;36;609;"1";33104;"M";"0.NA";34450,7;49083,3;38755,1;31901,6;49083,3;37583,5083333333;29854,8;49083,3;36219,4764705882;29854,8;49083,3;35976,2818181818;24950,4;49083,3;34676,4166666667;24950,4;60432,4;36239,1352941176;"0"
"monthly";8417;"DISPONENT";8714;21924;36;609;"1";32811;"F";"0.NA";34450,7;49083,3;38755,1;31901,6;49083,3;37583,5083333333;29854,8;49083,3;36219,4764705882;29854,8;49083,3;35976,2818181818;24950,4;49083,3;34676,4166666667;24950,4;60432,4;36239,1352941176;"0"
"monthly";8419;"OWNER";9036;23052;12;1921;"1";25872;"F";"0.NA";18813,7;34313,7;25691,66;14817,8;34313,7;24011,9684210526;11708,4;34313,7;22938,275862069;11708,4;34376,1;22982,4256410256;11708,4;34376,1;22749,9446808511;8988,5;34376,1;21964,9767857143;"0"
"monthly";8419;"DISPONENT";9036;23052;12;1921;"1";27799;"M";"0.NA";18813,7;34313,7;25691,66;14817,8;34313,7;24011,9684210526;11708,4;34313,7;22938,275862069;11708,4;34376,1;22982,4256410256;11708,4;34376,1;22749,9446808511;8988,5;34376,1;21964,9767857143;"0"
"monthly";8424;"OWNER";9027;41904;12;3492;"1";1649;"M";"0.NA";39204,7;54208,3;48469,4;33389,7;81623,7;51368,35625;33389,7;81623,7;53972,1541666667;14573,4;81623,7;46789,1548387097;14573,4;81623,7;43617,0631578947;14573,4;81623,7;44010,4375;"0"
"monthly";8425;"OWNER";8873;65184;12;5432;"1";32048;"M";"gold";42339,6;75095,4;54089,56;25145,6;75095,4;43295,9636363636;25145,6;75095,4;39965,6944444444;21632,9;75095,4;41549,4466666667;21632,9;81311,4;42418,827027027;21632,9;81311,4;43955,9785714286;"1"
"monthly";8426;"OWNER";8911;76908;12;6409;"0";27777;"F";"0.NA";7888,6;45136,2;27757,5333333333;7888,6;75626,7;39647,6538461538;7888,6;75626,7;36690,1470588235;7888,6;75626,7;38620,0130434783;7888,6;89298,2;46253,9648648649;7888,6;89298,2;51251,9222222222;"0"
"monthly";8430;"OWNER";8615;105804;36;2939;"1";25677;"F";"classic";34129,2;56923,2;42535,1333333333;34129,2;65898,5;46801,4076923077;34129,2;65898,5;46378,6375;34129,2;65898,5;46216,4947368421;31697,8;65898,5;45012,4090909091;18632;65898,5;42976,5416666667;"1"
"monthly";8435;"OWNER";8957;39576;12;3298;"1";3774;"F";"junior";23901,1;37757,4;32870,9285714286;23901,1;76128,2;45901,0733333333;23901,1;76128,2;44265,1454545455;23901,1;95708,2;52178,31;23901,1;95708,2;57447,815;5435,8;96343,1;53849,836;"1"
"weekly";8438;"OWNER";8917;208320;48;4340;"1";35898;"F";"0.NA";39400,2;65440,2;50912,6;38085;65440,2;53030,6615384615;36300,7;65440,2;52955,4421052632;20921;65440,2;50221,9916666667;19909,6;65440,2;44423,0777777778;19909,6;68065,8;46281,5523809524;"0"
"weekly";8438;"DISPONENT";8917;208320;48;4340;"1";32982;"M";"0.NA";39400,2;65440,2;50912,6;38085;65440,2;53030,6615384615;36300,7;65440,2;52955,4421052632;20921;65440,2;50221,9916666667;19909,6;65440,2;44423,0777777778;19909,6;68065,8;46281,5523809524;"0"
"monthly";8439;"OWNER";9071;83016;12;6918;"1";3371;"M";"junior";53146,6;93620,2;76029,55;53146,6;114350,7;88041,7913043478;53146,6;130097,4;91662,1727272727;38711,8;130097,4;86997,5243902439;38711,8;130097,4;83762,5408163265;38711,8;130097,4;83192,3732142857;"1"
