State;Obama;Romney;Votes
Alabama;36;54;9
Alaska;38;58;3
Arizona;44;42;11
Arkansas;35;56;6
California;53;39;55
Colorado;50;47;9
Connecticut;53;47;7
D.C.;90;10;3
Delaware;62;37;3
Florida;46;51;29
Georgia;44;51;16
Hawaii;62;30;4
Idaho;22;68;4
Illinois;55;36;20
Indiana;41;54;11
Iowa;47;48;6
Kansas;42;57;6
Kentucky;39;53;8
Louisiana;36;50;8
Maine;51;37;4
Maryland;60;36;10
Massachusetts;57;39;11
Michigan;52;46;16
Minnesota;50;40;10
Mississippi;43;51;6
Missouri;44;54;10
Montana;44;53;3
Nebraska;40;51;5
Nevada;50;47;6
New Hampshire;48;49;4
New Jersey;54;40;14
New Mexico;49;39;5
New York;62;34;29
North Carolina;46;52;15
North Dakota;40;54;3
Ohio;49;48;18
Oklahoma;29;58;7
Oregon;49;42;7
Pennsylvania;50;45;20
Rhode Island;57;33;4
South Carolina;40;46;9
South Dakota;41;52;3
Tennessee;40;46;11
Texas;39;58;38
Utah;26;69;6
Vermont;62;26;3
Virginia;49;50;13
Washington;50;45;12
West Virginia;38;52;5
Wisconsin;50;48;10
Wyoming;34;65;3
