status;total;juros;categ;emprego;residencia;renda;idade;cat_emp;cat_juro
0;5000;10,65;B;10;ALUGADA;24000;33;0-15;8-11
0;2400;;C;25;ALUGADA;12252;31;15-30;Missing
0;10000;13,49;C;13;ALUGADA;49200;24;0-15;11-13.5
0;5000;;A;3;ALUGADA;36000;39;0-15;Missing
0;3000;;E;9;ALUGADA;48000;24;0-15;Missing
0;12000;12,69;B;11;PROPRIA;75000;28;0-15;11-13.5
1;9000;13,49;C;0;ALUGADA;30000;22;0-15;11-13.5
0;3000;9,91;B;3;ALUGADA;15000;22;0-15;8-11
1;10000;10,65;B;3;ALUGADA;1e+05;28;0-15;8-11
0;1000;16,29;D;0;ALUGADA;28000;22;0-15;13.5+
0;10000;;C;4;ALUGADA;42000;23;0-15;Missing
0;3600;6,03;A;13;PRESTACAO;110000;27;0-15;0-8
0;6000;;B;1;PRESTACAO;84000;30;0-15;Missing
0;9200;6,03;A;6;ALUGADA;77385,19;24;0-15;0-8
1;21000;12,42;B;17;ALUGADA;105000;29;15-30;11-13.5
0;10000;11,71;B;13;PROPRIA;50000;23;0-15;11-13.5
0;10000;11,71;B;5;ALUGADA;50000;22;0-15;11-13.5
1;6000;11,71;B;1;ALUGADA;76000;31;0-15;11-13.5
0;15000;9,91;B;2;PRESTACAO;92000;23;0-15;8-11
1;15000;14,27;C;9;ALUGADA;60000;30;0-15;13.5+
0;4000;11,71;B;19;PRESTACAO;106000;27;15-30;11-13.5
0;8500;11,71;B;0;ALUGADA;25000;24;0-15;11-13.5
0;4375;7,51;A;7;PRESTACAO;17108;38;0-15;0-8
0;31825;7,9;A;5;PRESTACAO;75000;23;0-15;0-8
0;5000;8,9;A;2;ALUGADA;24044;22;0-15;8-11
0;7000;15,96;C;7;ALUGADA;34000;27;0-15;13.5+
0;12400;10,65;B;18;ALUGADA;41000;36;15-30;8-11
0;10800;9,91;B;2;ALUGADA;55596;35;0-15;8-11
0;15000;7,9;A;1;ALUGADA;45000;23;0-15;0-8
0;6000;12,42;B;1;ALUGADA;36852;25;0-15;11-13.5
0;9600;7,51;A;4;ALUGADA;68004;22;0-15;0-8
0;12000;7,9;A;15;ALUGADA;62300;25;0-15;0-8
0;3000;18,25;D;9;PRESTACAO;65000;26;0-15;13.5+
0;4400;16,77;D;17;ALUGADA;55000;24;15-30;13.5+
0;6000;6,03;A;17;PRESTACAO;45600;21;15-30;0-8
0;14000;;B;6;ALUGADA;80000;26;0-15;Missing
1;5000;8,9;A;17;PRESTACAO;1e+05;27;15-30;8-11
0;10000;10,65;B;6;ALUGADA;27000;23;0-15;8-11
0;10000;;A;11;ALUGADA;60000;37;0-15;Missing
0;11000;6,62;A;5;ALUGADA;70000;26;0-15;0-8
1;15000;9,91;B;8;PRESTACAO;80000;26;0-15;8-11
0;25600;;B;9;ALUGADA;110000;29;0-15;Missing
0;7000;10,65;B;0;ALUGADA;40000;22;0-15;8-11
1;12000;15,96;C;4;ALUGADA;50000;29;0-15;13.5+
0;12000;9,91;B;1;ALUGADA;46000;38;0-15;8-11
0;10000;12,42;B;0;PROPRIA;39000;33;0-15;11-13.5
0;10000;10,65;B;2;ALUGADA;51400;23;0-15;8-11
0;7100;16,77;D;1;PRESTACAO;33000;29;0-15;13.5+
0;8000;;D;0;ALUGADA;62000;29;0-15;Missing
0;3500;10,65;B;7;PRESTACAO;55000;33;0-15;8-11
0;16425;14,27;C;4;ALUGADA;44544;27;0-15;13.5+
0;15000;14,65;C;2;PROPRIA;61000;25;0-15;13.5+
1;6400;16,77;D;5;ALUGADA;75000;35;0-15;13.5+
0;3000;13,49;C;1;ALUGADA;33600;27;0-15;11-13.5
0;12000;16,77;D;3;ALUGADA;50000;25;0-15;13.5+
0;14400;8,9;A;0;PROPRIA;150000;25;0-15;8-11
0;12000;14,65;C;18;ALUGADA;90000;28;15-30;13.5+
0;11000;13,49;C;23;PRESTACAO;48000;26;15-30;11-13.5
0;15000;;A;1;PRESTACAO;52000;37;0-15;Missing
0;10000;14,27;C;2;ALUGADA;68000;29;0-15;13.5+
0;11800;12,69;B;6;ALUGADA;42000;23;0-15;11-13.5
0;4500;6,03;A;4;ALUGADA;53000;40;0-15;0-8
0;7000;12,69;B;12;ALUGADA;35000;24;0-15;11-13.5
0;9200;12,42;B;2;ALUGADA;60000;27;0-15;11-13.5
0;12000;16,29;D;9;ALUGADA;88365;28;0-15;13.5+
0;12000;13,49;C;4;ALUGADA;72000;28;0-15;11-13.5
0;12000;10,65;B;0;ALUGADA;62000;28;0-15;8-11
0;7000;10,65;B;3;PRESTACAO;43680;27;0-15;8-11
0;10500;12,69;B;11;ALUGADA;66000;31;0-15;11-13.5
0;7000;11,71;B;4;PROPRIA;39120;23;0-15;11-13.5
0;3500;6,03;A;11;PRESTACAO;83000;27;0-15;0-8
1;6200;9,91;B;2;ALUGADA;25000;36;0-15;8-11
0;6000;8,9;A;8;PROPRIA;28800;26;0-15;8-11
0;7200;9,91;B;6;ALUGADA;135000;25;0-15;8-11
0;9500;8,9;A;7;PRESTACAO;50000;27;0-15;8-11
0;24000;10,65;B;15;ALUGADA;45000;40;0-15;8-11
0;6000;;C;30;ALUGADA;80000;32;15-30;Missing
0;6000;13,49;C;5;ALUGADA;50000;29;0-15;11-13.5
0;2100;12,42;B;21;PRESTACAO;30000;48;15-30;11-13.5
0;5500;6,62;A;8;PRESTACAO;110000;25;0-15;0-8
0;11000;6,62;A;8;PROPRIA;45608;26;0-15;0-8
0;8000;12,69;B;5;PRESTACAO;35000;35;0-15;11-13.5
1;10000;18,25;D;1;ALUGADA;75000;24;0-15;13.5+
0;8000;11,71;B;9;PRESTACAO;35000;24;0-15;11-13.5
0;10000;8,9;A;6;ALUGADA;24000;33;0-15;8-11
0;12000;11,71;B;2;PRESTACAO;126000;28;0-15;11-13.5
0;10000;7,9;A;1;ALUGADA;43000;37;0-15;0-8
