country;continent;year;lifeExp;pop;gdpPercap;pred;resid
Afghanistan;Asia;1952;28,801;8425333;779,4453145;29,90729487;-1,106294872
Afghanistan;Asia;1957;30,332;9240934;820,8530296;31,28393823;-0,951938228
Afghanistan;Asia;1962;31,997;10267083;853,10071;32,66058159;-0,663581585
Afghanistan;Asia;1967;34,02;11537966;836,1971382;34,03722494;-0,017224942
Afghanistan;Asia;1972;36,088;13079460;739,9811058;35,4138683;0,674131702
Afghanistan;Asia;1977;38,438;14880372;786,11336;36,79051166;1,647488345
Afghanistan;Asia;1982;39,854;12881816;978,0114388;38,16715501;1,686844988
Afghanistan;Asia;1987;40,822;13867957;852,3959448;39,54379837;1,278201632
Afghanistan;Asia;1992;41,674;16317921;649,3413952;40,92044172;0,753558275
Afghanistan;Asia;1997;41,763;22227415;635,341351;42,29708508;-0,534085082
Afghanistan;Asia;2002;42,129;25268405;726,7340548;43,67372844;-1,544728438
Afghanistan;Asia;2007;43,828;31889923;974,5803384;45,05037179;-1,222371795
Albania;Europe;1952;55,23;1282697;1601,056136;59,22912821;-3,999128205
Albania;Europe;1957;59,28;1476505;1942,284244;60,90254429;-1,622544289
Albania;Europe;1962;64,82;1728137;2312,888958;62,57596037;2,244039627
Albania;Europe;1967;66,22;1984060;2760,196931;64,24937646;1,970623543
Albania;Europe;1972;67,69;2263554;3313,422188;65,92279254;1,767207459
Albania;Europe;1977;68,93;2509048;3533,00391;67,59620862;1,333791375
Albania;Europe;1982;70,42;2780097;3630,880722;69,26962471;1,150375291
Albania;Europe;1987;72;3075321;3738,932735;70,94304079;1,056959207
Albania;Europe;1992;71,581;3326498;2497,437901;72,61645688;-1,035456876
Albania;Europe;1997;72,95;3428038;3193,054604;74,28987296;-1,33987296
Albania;Europe;2002;75,651;3508512;4604,211737;75,96328904;-0,312289044
Albania;Europe;2007;76,423;3600523;5937,029526;77,63670513;-1,213705128
Algeria;Africa;1952;43,077;9279525;2449,008185;43,37497436;-0,297974359
Algeria;Africa;1957;45,685;10270856;3013,976023;46,22137296;-0,53637296
Algeria;Africa;1962;48,303;11000948;2550,81688;49,06777156;-0,764771562
Algeria;Africa;1967;51,407;12760499;3246,991771;51,91417016;-0,507170163
Algeria;Africa;1972;54,518;14760787;4182,663766;54,76056876;-0,242568765
Algeria;Africa;1977;58,014;17152804;4910,416756;57,60696737;0,407032634
Algeria;Africa;1982;61,368;20033753;5745,160213;60,45336597;0,914634033
Algeria;Africa;1987;65,799;23254956;5681,358539;63,29976457;2,499235431
Algeria;Africa;1992;67,744;26298373;5023,216647;66,14616317;1,59783683
Algeria;Africa;1997;69,152;29072015;4797,295051;68,99256177;0,159438228
Algeria;Africa;2002;70,994;31287142;5288,040382;71,83896037;-0,844960373
Algeria;Africa;2007;72,301;33333216;6223,367465;74,68535897;-2,384358974
Angola;Africa;1952;30,015;4232095;3520,610273;32,12665385;-2,111653846
Angola;Africa;1957;31,999;4561361;3827,940465;33,17335315;-1,174353147
Angola;Africa;1962;34;4826015;4269,276742;34,22005245;-0,220052448
Angola;Africa;1967;35,985;5247469;5522,776375;35,26675175;0,718248252
Angola;Africa;1972;37,928;5894858;5473,288005;36,31345105;1,614548951
Angola;Africa;1977;39,483;6162675;3008,647355;37,36015035;2,12284965
Angola;Africa;1982;39,942;7016384;2756,953672;38,40684965;1,53515035
Angola;Africa;1987;39,906;7874230;2430,208311;39,45354895;0,452451049
Angola;Africa;1992;40,647;8735988;2627,845685;40,50024825;0,146751748
Angola;Africa;1997;40,963;9875024;2277,140884;41,54694755;-0,583947552
Angola;Africa;2002;41,003;10866106;2773,287312;42,59364685;-1,590646853
Angola;Africa;2007;42,731;12420476;4797,231267;43,64034615;-0,909346154
Argentina;Americas;1952;62,485;17876956;5911,315053;62,6884359;-0,203435897
Argentina;Americas;1957;64,399;19610538;6856,856212;63,84697786;0,552022145
Argentina;Americas;1962;65,142;21283783;7133,166023;65,00551981;0,136480186
Argentina;Americas;1967;65,634;22934225;8052,953021;66,16406177;-0,530061772
Argentina;Americas;1972;67,065;24779799;9443,038526;67,32260373;-0,25760373
Argentina;Americas;1977;68,481;26983828;10079,02674;68,48114569;-0,000145688
Argentina;Americas;1982;69,942;29341374;8997,897412;69,63968765;0,302312354
Argentina;Americas;1987;70,774;31620918;9139,671389;70,7982296;-0,024229604
Argentina;Americas;1992;71,868;33958947;9308,41871;71,95677156;-0,088771562
Argentina;Americas;1997;73,275;36203463;10967,28195;73,11531352;0,15968648
Argentina;Americas;2002;74,34;38331121;8797,640716;74,27385548;0,066144522
Argentina;Americas;2007;75,32;40301927;12779,37964;75,43239744;-0,112397436
Australia;Oceania;1952;69,12;8691212;10039,59564;68,40051282;0,719487179
Australia;Oceania;1957;70,33;9712569;10949,64959;69,5391317;0,790868298
Australia;Oceania;1962;70,93;10794968;12217,22686;70,67775058;0,252249417
Australia;Oceania;1967;71,1;11872264;14526,12465;71,81636946;-0,716369464
Australia;Oceania;1972;71,93;13177000;16788,62948;72,95498834;-1,024988345
Australia;Oceania;1977;73,49;14074100;18334,19751;74,09360723;-0,603607226
Australia;Oceania;1982;74,74;15184200;19477,00928;75,23222611;-0,492226107
Australia;Oceania;1987;76,32;16257249;21888,88903;76,37084499;-0,050844988
Australia;Oceania;1992;77,56;17481977;23424,76683;77,50946387;0,050536131
Australia;Oceania;1997;78,83;18565243;26997,93657;78,64808275;0,181917249
Australia;Oceania;2002;80,37;19546792;30687,75473;79,78670163;0,583298368
Australia;Oceania;2007;81,235;20434176;34435,36744;80,92532051;0,309679487
Austria;Europe;1952;66,8;6927772;6137,076492;66,44846154;0,351538462
Austria;Europe;1957;67,48;6965860;8842,59803;67,65842308;-0,178423077
Austria;Europe;1962;69,54;7129864;10750,72111;68,86838462;0,671615385
Austria;Europe;1967;70,14;7376998;12834,6024;70,07834615;0,061653846
Austria;Europe;1972;70,63;7544201;16661,6256;71,28830769;-0,658307692
Austria;Europe;1977;72,17;7568430;19749,4223;72,49826923;-0,328269231
Austria;Europe;1982;73,18;7574613;21597,08362;73,70823077;-0,528230769
Austria;Europe;1987;74,94;7578903;23687,82607;74,91819231;0,021807692
Austria;Europe;1992;76,04;7914969;27042,01868;76,12815385;-0,088153846
Austria;Europe;1997;77,51;8069876;29095,92066;77,33811538;0,171884615
