Soma de pop;;year;;;;;;;;;;;
country;continent;1952;1957;1962;1967;1972;1977;1982;1987;1992;1997;2002;2007
Afghanistan;Asia;8.425.333;9.240.934;10.267.083;11.537.966;13.079.460;14.880.372;12.881.816;13.867.957;16.317.921;22.227.415;25.268.405;31.889.923
Albania;Europe;1.282.697;1.476.505;1.728.137;1.984.060;2.263.554;2.509.048;2.780.097;3.075.321;3.326.498;3.428.038;3.508.512;3.600.523
Algeria;Africa;9.279.525;10.270.856;11.000.948;12.760.499;14.760.787;17.152.804;20.033.753;23.254.956;26.298.373;29.072.015;31.287.142;33.333.216
Angola;Africa;4.232.095;4.561.361;4.826.015;5.247.469;5.894.858;6.162.675;7.016.384;7.874.230;8.735.988;9.875.024;10.866.106;12.420.476
Argentina;Americas;17.876.956;19.610.538;21.283.783;22.934.225;24.779.799;26.983.828;29.341.374;31.620.918;33.958.947;36.203.463;38.331.121;40.301.927
Australia;Oceania;8.691.212;9.712.569;10.794.968;11.872.264;13.177.000;14.074.100;15.184.200;16.257.249;17.481.977;18.565.243;19.546.792;20.434.176
Austria;Europe;6.927.772;6.965.860;7.129.864;7.376.998;7.544.201;7.568.430;7.574.613;7.578.903;7.914.969;8.069.876;8.148.312;8.199.783
Bahrain;Asia;120.447;138.655;171.863;202.182;230.800;297.410;377.967;454.612;529.491;598.561;656.397;708.573
Bangladesh;Asia;46.886.859;51.365.468;56.839.289;62.821.884;70.759.295;80.428.306;93.074.406;103.764.241;113.704.579;123.315.288;135.656.790;150.448.339
Belgium;Europe;8.730.405;8.989.111;9.218.400;9.556.500;9.709.100;9.821.800;9.856.303;9.870.200;10.045.622;10.199.787;10.311.970;10.392.226
Benin;Africa;1.738.315;1.925.173;2.151.895;2.427.334;2.761.407;3.168.267;3.641.603;4.243.788;4.981.671;6.066.080;7.026.113;8.078.314
Bolivia;Americas;2.883.315;3.211.738;3.593.918;4.040.665;4.565.872;5.079.716;5.642.224;6.156.369;6.893.451;7.693.188;8.445.134;9.119.152
Bosnia and Herzegovina;Europe;2.791.000;3.076.000;3.349.000;3.585.000;3.819.000;4.086.000;4.172.693;4.338.977;4.256.013;3.607.000;4.165.416;4.552.198
Botswana;Africa;442.308;474.639;512.764;553.541;619.351;781.472;970.347;1.151.184;1.342.614;1.536.536;1.630.347;1.639.131
Brazil;Americas;56.602.560;65.551.171;76.039.390;88.049.823;100.840.058;114.313.951;128.962.939;142.938.076;155.975.974;168.546.719;179.914.212;190.010.647
Bulgaria;Europe;7.274.900;7.651.254;8.012.946;8.310.226;8.576.200;8.797.022;8.892.098;8.971.958;8.658.506;8.066.057;7.661.799;7.322.858
Burkina Faso;Africa;4.469.979;4.713.416;4.919.632;5.127.935;5.433.886;5.889.574;6.634.596;7.586.551;8.878.303;10.352.843;12.251.209;14.326.203
Burundi;Africa;2.445.618;2.667.518;2.961.915;3.330.989;3.529.983;3.834.415;4.580.410;5.126.023;5.809.236;6.121.610;7.021.078;8.390.505
Cambodia;Asia;4.693.836;5.322.536;6.083.619;6.960.067;7.450.606;6.978.607;7.272.485;8.371.791;10.150.094;11.782.962;12.926.707;14.131.858
Cameroon;Africa;5.009.067;5.359.923;5.793.633;6.335.506;7.021.028;7.959.865;9.250.831;10.780.667;12.467.171;14.195.809;15.929.988;17.696.293
Canada;Americas;14.785.584;17.010.154;18.985.849;20.819.767;22.284.500;23.796.400;25.201.900;26.549.700;28.523.502;30.305.843;31.902.268;33.390.141
Central African Republic;Africa;1.291.695;1.392.284;1.523.478;1.733.638;1.927.260;2.167.533;2.476.971;2.840.009;3.265.124;3.696.513;4.048.013;4.369.038
Chad;Africa;2.682.462;2.894.855;3.150.417;3.495.967;3.899.068;4.388.260;4.875.118;5.498.955;6.429.417;7.562.011;8.835.739;10.238.807
Chile;Americas;6.377.619;7.048.426;7.961.258;8.858.908;9.717.524;10.599.793;11.487.112;12.463.354;13.572.994;14.599.929;15.497.046;16.284.741
China;Asia;556.263.527;637.408.000;665.770.000;754.550.000;862.030.000;943.455.000;1.000.281.000;1.084.035.000;1.164.970.000;1.230.075.000;1.280.400.000;1.318.683.096
Colombia;Americas;12.350.771;14.485.993;17.009.885;19.764.027;22.542.890;25.094.412;27.764.644;30.964.245;34.202.721;37.657.830;41.008.227;44.227.550
Comoros;Africa;153.936;170.928;191.689;217.378;250.027;304.739;348.643;395.114;454.429;527.982;614.382;710.960
Congo, Dem. Rep.;Africa;14.100.005;15.577.932;17.486.434;19.941.073;23.007.669;26.480.870;30.646.495;35.481.645;41.672.143;47.798.986;55.379.852;64.606.759
Congo, Rep.;Africa;854.885;940.458;1.047.924;1.179.760;1.340.458;1.536.769;1.774.735;2.064.095;2.409.073;2.800.947;3.328.795;3.800.610
Costa Rica;Americas;926.317;1.112.300;1.345.187;1.588.717;1.834.796;2.108.457;2.424.367;2.799.811;3.173.216;3.518.107;3.834.934;4.133.884
Cote d'Ivoire;Africa;2.977.019;3.300.000;3.832.408;4.744.870;6.071.696;7.459.574;9.025.951;10.761.098;12.772.596;14.625.967;16.252.726;18.013.409
Croatia;Europe;3.882.229;3.991.242;4.076.557;4.174.366;4.225.310;4.318.673;4.413.368;4.484.310;4.494.013;4.444.595;4.481.020;4.493.312
Cuba;Americas;6.007.797;6.640.752;7.254.373;8.139.332;8.831.348;9.537.988;9.789.224;10.239.839;10.723.260;10.983.007;11.226.999;11.416.987
Czech Republic;Europe;9.125.183;9.513.758;9.620.282;9.835.109;9.862.158;10.161.915;10.303.704;10.311.597;10.315.702;10.300.707;10.256.295;10.228.744
Denmark;Europe;4.334.000;4.487.831;4.646.899;4.838.800;4.991.596;5.088.419;5.117.810;5.127.024;5.171.393;5.283.663;5.374.693;5.468.120
Djibouti;Africa;63.149;71.851;89.898;127.617;178.848;228.694;305.991;311.025;384.156;417.908;447.416;496.374
Dominican Republic;Americas;2.491.346;2.923.186;3.453.434;4.049.146;4.671.329;5.302.800;5.968.349;6.655.297;7.351.181;7.992.357;8.650.322;9.319.622
Ecuador;Americas;3.548.753;4.058.385;4.681.707;5.432.424;6.298.651;7.278.866;8.365.850;9.545.158;10.748.394;11.911.819;12.921.234;13.755.680
Egypt;Africa;22.223.309;25.009.741;28.173.309;31.681.188;34.807.417;38.783.863;45.681.811;52.799.062;59.402.198;66.134.291;73.312.559;80.264.543
El Salvador;Americas;2.042.865;2.355.805;2.747.687;3.232.927;3.790.903;4.282.586;4.474.873;4.842.194;5.274.649;5.783.439;6.353.681;6.939.688
Equatorial Guinea;Africa;216.964;232.922;249.220;259.864;277.603;192.675;285.483;341.244;387.838;439.971;495.627;551.201
