"";"y";"x1";"x2";"x3";"x4";"x5";"x6"
"1";43;51;30;39;61;92;45
"2";63;64;51;54;63;73;47
"3";71;70;68;69;76;86;48
"4";61;63;45;47;54;84;35
"5";81;78;56;66;71;83;47
"6";43;55;49;44;54;49;34
"7";58;67;42;56;66;68;35
"8";71;75;50;55;70;66;41
"9";72;82;72;67;71;83;31
"10";67;61;45;47;62;80;41
"11";64;53;53;58;58;67;34
"12";67;60;47;39;59;74;41
"13";69;62;57;42;55;63;25
"14";68;83;83;45;59;77;35
"15";77;77;54;72;79;77;46
"16";81;90;50;72;60;54;36
"17";74;85;64;69;79;79;63
"18";65;60;65;75;55;80;60
"19";65;70;46;57;75;85;46
"20";50;58;68;54;64;78;52
