Attribute 1:  (qualitative);;;;Bases de Dados;Descrição
chk_acc;numérico;Status da conta corrente;;german_data;Base original. Nomes de coluna foram incluidos
A11;1;< 0 DM;;german_resumido;Base tratada. Colunas foram eliminadas para variáveis não significativas
A12;2;0 <= .... < 200 DM;;;
A13;3;... >= 200 DM / salary assignments for at least 1 year;;;
A14;4;no checking account;;;
Attribute 2:  (numerical);;;;;
duration;;No.de meses em que o crédito esteve ativo;;;
Attribute 3:  (qualitative);;;;;
history;;Histórico de crédito;;;
A30;1;nenhum crédito ou todos pagos em dia;;;
A31;2;todos os créditos deste banco pagos em dia;;;
A32;3;créditos sendo pagos em dia até o momento;;;
A33;4;atrasos no pagamento no passado;;;
A34;5;conta considerada crítica ou existência de créditos em outros bancos;;;
Attribute 4:  (qualitative);;;;;
purpose;;Objetivo quando da tomada do crédito;;;
A40;1;car (new);;;
A41;2;car (used);;;
A42;3;furniture/equipment;;;
A43;4;radio/television;;;
A44;5;domestic appliances;;;
A45;6;repairs;;;
A46;7;education;;;
A47;8;vacation;;;
A48;9;retraining;;;
A49;10;business;;;
A41;11;others;;;
Attribute 5:  (numerical);;;;;
amount;;Crédito concedido;;;
Attibute 6:  (qualitative);;;;;
savings;;Saldo médio em aplicações (poupança e renda fixa);;;
A61;1;... <  100 DM;;;
A62;2;100 <= ... <  500 DM;;;
A63;3;500 <= ... < 1000 DM;;;
A64;4;... >= 1000 DM;;;
A65;5;saldo desconhecido ou não existente;;;
Attribute 7:  (qualitative);;;;;
employment;;Tempo no emprego atual;;;
A71;1;desempregado;;;
A72;2;... < 1 year;;;
A73;3;1  <= ... < 4 years;;;
A74;4;4  <= ... < 7 years;;;
A75;5;... >= 7 years;;;
Attribute 8:  (numerical);;;;;
install_rate;;Installment rate: p% máx.de comprom.de renda;;;
Attribute 9:  (qualitative);;;;;
pers_status;;Estado civil e sexo;;;
A91;1;masculino: divorciado/separado;;;
A92;2;feminimo: divorciada/separada/casada;;;
A93;3;masculino: solteiro;;;
A94;4;masculino: casado/viúvo;;;
A95;5;feminimo: solteira;;;
Attribute 10: (qualitative);;;;;
guarantor;;Fiadores;;;
A101;1;nenhum;;;
A102;2;co-aplicante;;;
A103;3;fiador;;;
Attribute 11: (numerical);;;;;
present_residence;;tempo de residência no endereço atual;;;
Attribute 12: (qualitative);;;;;
real_state;;Propriedades;;;
A121;1;imóveis;;;
A122;2;empresa, seguro de vida;;;
A123;3;carros ou outras propriedades não listadas acima;;;
A124;4;desconhecido ou nenhuma propriedade;;;
Attribute 13: (numerical);;;;;
age;;Idade em anos;;;
Attribute 14: (qualitative);;;;;
other_installment;;Outros empréstimos;;;
A141;1;outros bancos;;;
A142;2;lojas;;;
A143;3;nenhum;;;
Attribute 15: (qualitative);;;;;
housing;;Residência;;;
A151;1;alugada;;;
A152;2;própria;;;
A153;3;sem custo;;;
Attribute 16: (numerical);;;;;
num_credits;;Número de créditos neste banco;;;
Attribute 17: (qualitative);;;;;
job;;Emprego;;;
A171;1;Desempregado/Não especializado/Não residente;;;
A172;2;Não especializado/Residente;;;
A173;3;Especializado/Oficial;;;
A174;4;Gerência/Empresário/Altamente Qualificado/Oficial;;;
Attribute 18: (numerical);;;;;
num_dependents;;Número de dependentes;;;
Attribute 19: (qualitative);;;;;
telephone;;Possui linha telefônica;;;
A191;1;Não;;;
A192;2;Sim e registrada no seu nome;;;
Attribute 20: (qualitative);;;;;
foreign;;Trabalhador estrangeiro;;;
A201;1;Sim;;;
A202;2;Não;;;
Atributo 21 (binário);;;;;
response;;;;;
1;1;Credit Rating bom;;;
2;2;Credit Rating ruim;;;
