Data;Retorno;Volume
03/01/1962;0,008740672;292500
04/01/1962;0,009965766;262500
05/01/1962;0,019693454;367500
08/01/1962;0,018749881;547500
09/01/1962;0,011828149;495000
10/01/1962;0,001800142;300000
11/01/1962;0,010770703;322500
12/01/1962;0,0017772;442500
15/01/1962;0,004431769;255000
16/01/1962;0,010591206;255000
17/01/1962;0,016056589;420000
18/01/1962;0,002720244;375000
19/01/1962;0,000903529;405000
22/01/1962;0,001807133;277500
23/01/1962;0,009954663;375000
24/01/1962;0,005485249;412500
25/01/1962;0,010909505;322500
26/01/1962;0,005054811;247500
29/01/1962;0,017090089;585000
30/01/1962;0,012688305;742500
31/01/1962;0,031888653;765000
01/02/1962;0,02306354;645000
02/02/1962;0,006312141;510000
05/02/1962;0,012544532;315000
06/02/1962;0,001043373;262500
07/02/1962;0,000907005;255000
08/02/1962;0,000905613;22500
09/02/1962;0,00723949;435000
12/02/1962;0,000898291;285000
13/02/1962;0,016158111;262500
14/02/1962;0,001824449;210000
15/02/1962;0,003655566;232500
16/02/1962;0,000917822;225000
19/02/1962;0,010101851;285000
20/02/1962;0,000464896;292500
21/02/1962;0,007417954;367500
23/02/1962;0,003269425;292500
26/02/1962;0,003724226;300000
27/02/1962;0,001869368;352500
28/02/1962;0,001865293;270000
01/03/1962;0,012103;285000
02/03/1962;0,008280317;247500
05/03/1962;0,003648897;360000
06/03/1962;0,000914989;187500
07/03/1962;0,0032027;127500
08/03/1962;0,00227952;187500
09/03/1962;0,006369857;292500
12/03/1962;0,000903976;285000
13/03/1962;0,000904794;127500
14/03/1962;0,001812367;202500
15/03/1962;0,001814515;247500
16/03/1962;0,004545678;165000
19/03/1962;0,002713812;375000
20/03/1962;0,006317552;165000
21/03/1962;0,000908654;262500
22/03/1962;0,010888233;240000
23/03/1962;0,003668979;187500
26/03/1962;0,000456946;135000
27/03/1962;0,018746222;352500
28/03/1962;0,005591247;330000
29/03/1962;0,002780955;232500
30/03/1962;0,009758144;442500
02/04/1962;0,013608831;375000
03/04/1962;0,024738128;915000
04/04/1962;0,004389968;652500
05/04/1962;0,021068763;915000
06/04/1962;0,000960706;435000
09/04/1962;0,00096163;22500
10/04/1962;0,003837386;262500
11/04/1962;0,013384022;532500
12/04/1962;0,010658586;405000
13/04/1962;0,014690965;630000
16/04/1962;0,000965056;510000
17/04/1962;0,004830548;300000
18/04/1962;0,001922688;427500
19/04/1962;0;390000
23/04/1962;0,000963803;315000
24/04/1962;0,000964125;457500
25/04/1962;0,010617435;465000
26/04/1962;0,02536624;930000
27/04/1962;0,02802803;1635000
30/04/1962;0,064881408;2347500
01/05/1962;0,017620351;5317500
02/05/1962;0,02272814;2557500
03/05/1962;0,020634739;1365000
04/05/1962;0,007775129;780000
07/05/1962;0,022118772;832500
08/05/1962;0,032986708;1035000
09/05/1962;0,01849854;1605000
10/05/1962;0,004434386;1912500
11/05/1962;0,015452525;1897500
14/05/1962;0,01905848;2730000
15/05/1962;0,005500643;1687500
16/05/1962;0,011062135;885000
17/05/1962;0,01750604;975000
18/05/1962;0,005568026;735000
21/05/1962;0,003321759;397500
22/05/1962;0,033333893;1005000
23/05/1962;0,045401857;2895000
24/05/1962;0,041541412;4155000
25/05/1962;0,001255828;4305000
28/05/1962;0,094102956;4320000
29/05/1962;0,060942553;3862500
31/05/1962;0,024803447;4132500
01/06/1962;0,019107815;2415000
04/06/1962;0,064934545;1815000
05/06/1962;0,011457693;3165000
06/06/1962;0,003776543;2880000
07/06/1962;0,012310904;1230000
08/06/1962;0,003378864;1170000
11/06/1962;0,032996613;1192500
12/06/1962;0,066503886;3330000
13/06/1962;0,037300151;4387500
14/06/1962;0,0515304;6682500
15/06/1962;0,089869842;6330000
18/06/1962;0,011245043;4770000
19/06/1962;0,018954568;2107500
20/06/1962;0,023809368;3060000
21/06/1962;0,03734752;3712500
22/06/1962;0,013459146;3375000
25/06/1962;0,039063192;3795000
26/06/1962;0,037594626;3232500
27/06/1962;0,040626113;2962500
28/06/1962;0,033032448;4087500
29/06/1962;0,013807737;2827500
02/07/1962;0,031686315;1395000
03/07/1962;0,004286871;2587500
05/07/1962;0,004268572;2017500
06/07/1962;0,014284173;1627500
09/07/1962;0,015216455;1890000
10/07/1962;0,024268621;3052500
11/07/1962;0,043554094;3315000
12/07/1962;0,01235283;3300000
13/07/1962;0,007254158;2107500
16/07/1962;0,016610312;1657500
17/07/1962;0,032352801;1710000
18/07/1962;0,013171579;2437500
19/07/1962;0,006160531;2197500
20/07/1962;0,012244765;682500
23/07/1962;0,002688049;840000
24/07/1962;0,026139274;892500
25/07/1962;0,011700046;1882500
26/07/1962;0,005442784;952500
27/07/1962;0,017252776;952500
30/07/1962;0,030594284;2850000
31/07/1962;0,000968518;2775000
01/08/1962;0,027775925;1222500
02/08/1962;0,025247574;1492500
03/08/1962;0,001943565;952500
06/08/1962;0,012987236;6607500
07/08/1962;0,017568737;922500
08/08/1962;0,022772033;1582500
09/08/1962;0,013752211;1290000
10/08/1962;0,001990921;982500
13/08/1962;0,007983759;1020000
14/08/1962;0,019141197;1897500
15/08/1962;0,00129543;2347500
16/08/1962;0,000647284;1275000
17/08/1962;0,008414439;892500
20/08/1962;0,010911806;1807500
21/08/1962;0,002539065;1297500
22/08/1962;0,041374249;3307500
23/08/1962;0,003667744;2925000
24/08/1962;0,003654341;1252500
27/08/1962;0,002445163;915000
28/08/1962;0,035539451;2752500
29/08/1962;0,006352898;2520000
30/08/1962;0,008312213;952500
31/08/1962;0,021921292;1230000
04/09/1962;0,022081621;1627500
05/09/1962;0,011612109;2250000
06/09/1962;0,013053288;1815000
07/09/1962;0,01481863;1320000
10/09/1962;0,00523255;1807500
11/09/1962;0,005856387;1545000
12/09/1962;0,004254026;1305000
13/09/1962;0,000325657;847500
14/09/1962;0,012385573;1095000
17/09/1962;0,017385736;1462500
18/09/1962;0,007594685;2280000
19/09/1962;0,014669014;1470000
20/09/1962;0,009060513;885000
21/09/1962;0,015676321;2137500
24/09/1962;0,039151338;2625000
25/09/1962;0,020028635;2445000
26/09/1962;0,037238163;2055000
27/09/1962;0,015470506;2880000
28/09/1962;0,009999811;1417500
01/10/1962;0,037129354;1852500
02/10/1962;0,029379624;2835000
03/10/1962;0,005352017;1800000
04/10/1962;0,026542887;1305000
05/10/1962;0,006987742;1740000
08/10/1962;0,001387152;637500
09/10/1962;0,018067641;1185000
10/10/1962;0,019454247;1815000
11/10/1962;0,008701237;1365000
12/10/1962;0,002107334;1042500
15/10/1962;0,033076358;930000
16/10/1962;0,025886543;1260000
17/10/1962;0,011188739;1380000
18/10/1962;0,017633735;982500
19/10/1962;0,019710999;2370000
22/10/1962;0,014722539;2745000
23/10/1962;0,037899917;2520000
24/10/1962;0,030301354;3690000
25/10/1962;0,004411158;2677500
26/10/1962;0,020680019;1552500
29/10/1962;0,039216617;3525000
30/10/1962;0,021045122;2647500
31/10/1962;0,016347553;1177500
01/11/1962;0,017341377;1995000
02/11/1962;0,014915392;3135000
05/11/1962;0,012107359;1732500
07/11/1962;0,000690162;1747500
08/11/1962;0,016609302;1275000
09/11/1962;0,01688983;1102500
12/11/1962;0,033910114;2175000
13/11/1962;0,018072726;2115000
14/11/1962;0,021130778;1845000
15/11/1962;0,005339718;2085000
16/11/1962;0,016107685;1500000
19/11/1962;0,017173161;937500
20/11/1962;0,011760179;1125000
21/11/1962;0,002324697;1597500
23/11/1962;0,028496346;2767500
26/11/1962;0,001932316;2145000
27/11/1962;0,015435191;1732500
28/11/1962;0,006965864;2662500
29/11/1962;0,008804603;1755000
30/11/1962;0,006235122;1305000
03/12/1962;0,017564248;1290000
04/12/1962;0,022348838;1762500
05/12/1962;0,003747141;2145000
06/12/1962;0,000628056;1387500
07/12/1962;0,002508276;1117500
10/12/1962;0,021383852;1477500
11/12/1962;0,003855508;1132500
12/12/1962;0,016128011;772500
13/12/1962;0,01460236;1125000
14/12/1962;0,003866254;997500
17/12/1962;0,011554092;907500
18/12/1962;0,007143096;877500
19/12/1962;0,025834638;967500
