ID;Income;Limit;Rating;Cards;Age;Education;Gender;Student;Married;Balance
CC001;21,238;3089;254;3;59;10;Female;No;No;108
CC002;76,348;4697;344;4;60;18; Male;No;No;108
CC003;58,063;4221;304;3;50;8; Male;No;No;118
CC004;41,192;3673;297;3;54;16;Female;No;Yes;121
CC005;58,351;4411;326;2;85;16;Female;No;Yes;126
CC006;28,474;3202;267;5;66;12; Male;No;Yes;132
CC007;76,273;4779;367;4;65;14;Female;No;Yes;133
CC008;14,132;2998;251;4;75;17; Male;No;No;133
CC009;29,725;3536;270;2;52;15;Female;No;No;133
CC010;15,866;3085;217;1;39;13; Male;No;No;136
CC011;68,462;4712;340;2;71;16; Male;No;Yes;136
CC012;57,872;4171;321;5;67;12;Female;No;Yes;138
CC013;20,936;3254;253;1;30;15;Female;No;No;145
CC014;19,144;3291;269;2;75;13;Female;No;No;148
CC015;29,705;3351;262;5;71;14;Female;No;Yes;148
CC016;26,067;3388;266;4;74;17;Female;No;Yes;155
CC017;41,419;2120;184;4;24;11;Female;Yes;No;156
CC018;69,165;4668;341;2;34;11;Female;No;No;156
CC019;26,37;3235;268;5;78;11; Male;No;Yes;159
CC020;27,369;3449;288;3;40;9;Female;No;Yes;162
CC021;27,952;3557;263;1;35;13;Female;No;Yes;163
CC022;31,335;3526;289;3;38;7;Female;No;No;172
CC023;21,011;3402;261;2;68;17; Male;No;Yes;182
CC024;36,355;3613;278;4;35;9; Male;No;Yes;187
CC025;36,472;3806;309;2;52;13; Male;No;No;188
CC026;55,054;4381;321;3;74;17; Male;No;Yes;188
CC027;10,503;2923;232;3;25;18;Female;No;Yes;191
CC028;24,314;3409;270;2;23;7;Female;No;Yes;194
CC029;10,627;1647;149;2;71;10;Female;Yes;Yes;195
CC030;19,588;3211;265;4;59;14;Female;No;No;199
CC031;20,996;3388;259;2;37;12;Female;No;No;203
CC032;80,616;5308;394;1;57;7;Female;No;Yes;204
CC033;14,595;2955;260;5;37;9; Male;No;Yes;204
CC034;23,106;3476;257;2;50;15;Female;No;No;209
CC035;12,031;3182;259;2;58;18;Female;No;Yes;210
CC036;39,705;3969;301;2;27;20; Male;No;Yes;211
CC037;23,793;3615;263;2;70;14; Male;No;No;216
CC038;85,425;5182;402;6;60;12; Male;No;Yes;218
CC039;107,986;6033;449;4;64;14; Male;No;Yes;227
CC040;51,345;4327;320;3;46;15; Male;No;No;230
CC041;41,025;4229;337;3;79;19;Female;No;Yes;246
CC042;128,04;6982;518;2;78;11;Female;No;Yes;250
CC043;18,145;3461;279;3;56;15; Male;No;Yes;255
CC044;27,229;3484;282;6;51;11; Male;No;No;265
CC045;54,319;3063;248;3;59;8;Female;Yes;No;269
CC046;16,482;3326;268;4;41;15; Male;No;No;271
CC047;15,125;3300;266;5;66;13;Female;No;No;279
CC048;36,934;4270;299;1;63;9;Female;No;Yes;283
CC049;65,896;5140;370;1;49;17;Female;No;Yes;293
CC050;59,855;4964;365;1;46;13;Female;No;Yes;295
CC051;13,561;3261;279;5;37;19; Male;No;Yes;297
CC052;21,153;3736;256;1;41;11; Male;No;No;298
CC053;61,62;5140;374;1;71;9; Male;No;Yes;302
CC054;39,145;4351;323;2;66;13; Male;No;Yes;308
CC055;24,088;3665;287;4;56;13;Female;No;Yes;309
CC056;27,794;3807;301;4;35;8;Female;No;Yes;320
CC057;55,882;4897;357;2;68;16; Male;No;Yes;331
CC058;14,891;3606;283;2;34;11; Male;No;Yes;333
CC059;10,354;3480;281;2;70;17; Male;No;Yes;333
CC060;28,508;3933;287;4;56;14; Male;No;Yes;336
CC061;13,647;3461;264;4;47;14; Male;No;Yes;344
CC062;67,937;5184;383;4;63;12; Male;No;Yes;345
CC063;89;5759;440;3;37;6;Female;No;No;345
CC064;30,111;4336;339;1;81;18; Male;No;Yes;347
CC065;24,889;3954;318;4;75;12; Male;No;Yes;357
CC066;36,496;4378;339;3;69;15;Female;No;Yes;368
CC067;19,253;3683;287;4;57;10; Male;No;No;371
CC068;36,295;2963;241;2;68;14;Female;Yes;No;375
CC069;57,1;4742;372;7;79;18;Female;No;Yes;379
CC070;62,328;5228;377;3;83;15; Male;No;No;380
CC071;53,217;4943;362;2;46;16;Female;No;Yes;382
CC072;14,292;3274;282;9;64;9; Male;No;Yes;382
CC073;22,379;3965;292;2;34;14;Female;No;Yes;384
CC074;44,158;4763;351;2;66;13;Female;No;Yes;385
CC075;110,968;6662;468;3;45;11;Female;No;Yes;391
CC076;10,735;3746;280;2;44;17;Female;No;Yes;410
CC077;64,027;5179;398;5;48;8; Male;No;Yes;411
CC078;12,068;3873;292;1;44;18;Female;No;Yes;413
CC079;44,061;4970;352;1;79;11; Male;No;Yes;414
CC080;31,029;2863;223;2;66;17; Male;Yes;Yes;415
CC081;23,35;2558;220;3;49;12;Female;Yes;No;419
CC082;10,635;3584;294;5;69;16; Male;No;Yes;423
CC083;41,868;4716;342;2;47;18; Male;No;No;425
CC084;13,234;3922;299;2;77;17;Female;No;Yes;426
CC085;31,811;4284;338;5;75;13;Female;No;Yes;429
CC086;17,976;2433;190;3;70;16;Female;Yes;No;431
CC087;44,978;4866;347;1;30;10;Female;No;No;436
CC088;60,579;5149;388;5;38;15; Male;No;Yes;443
CC089;30,42;4442;316;1;30;14;Female;No;No;450
CC090;28,316;4391;316;2;29;10;Female;No;No;453
CC091;148,08;8157;599;2;83;13; Male;No;Yes;454
CC092;57,337;5310;392;2;45;7;Female;No;No;456
CC093;14,479;3907;296;3;43;16; Male;No;Yes;463
CC094;10,588;4049;296;1;66;13;Female;No;Yes;465
CC095;32,793;4534;333;2;44;16; Male;No;No;467
CC096;12,581;3976;291;2;48;16; Male;No;Yes;474
CC097;13,364;3838;296;5;65;17; Male;No;No;480
CC098;51,532;5096;380;2;31;15; Male;No;Yes;481
CC099;66,989;5614;430;3;47;14;Female;No;Yes;482
CC100;10,852;3907;296;2;30;9; Male;No;No;485
CC101;42,529;4986;369;2;37;11; Male;No;Yes;489
CC102;23,672;4433;344;3;63;11; Male;No;No;503
CC103;48,577;5145;389;3;71;13;Female;No;Yes;503
CC104;40,442;4828;369;5;81;8;Female;No;No;510
CC105;46,102;5180;382;3;81;12; Male;No;Yes;516
CC106;134,181;7838;563;2;48;13;Female;No;No;526
CC107;163,329;8732;636;3;50;14; Male;No;Yes;529
CC108;11,795;3899;300;4;25;10;Female;No;No;531
CC109;51,872;5294;390;4;81;17;Female;No;No;531
CC110;41,532;5000;353;2;50;12; Male;No;Yes;531
CC111;30,622;3293;251;1;68;16; Male;Yes;No;532
CC112;35,864;4831;353;3;66;13;Female;No;Yes;534
