DATA;ANO;QUARTER;VENDAS;;
1;1986;1;1274;;
2;1986;2;1140;;
3;1986;3;1101;;
4;1986;4;1144;;
5;1987;1;1284;;
6;1987;2;1147;;
7;1987;3;1135;;
8;1987;4;1123;;
9;1988;1;1256;;
10;1988;2;1120;;
11;1988;3;1077;;
12;1988;4;1089;;
13;1989;1;1275;;
14;1989;2;1130;;
15;1989;3;1098;;
16;1989;4;1089;;
17;1990;1;1219;;
18;1990;2;1063;;
19;1990;3;1078;;
20;1990;4;1102;;
21;1991;1;1256;;
22;1991;2;1139;;
23;1991;3;1095;;
24;1991;4;1051;;
25;1992;1;1264;;
26;1992;2;1148;;
27;1992;3;1093;;
28;1992;4;1077;;
