Apolice;Inicio de vigência;Fim de vigência;Qtd_Sinistros;sin_liq_casco
4;06/09/2021;06/09/2022;1;7000
10;21/07/2021;21/07/2022;1;1040.57
73;17/03/2021;17/03/2022;1;27647.01
82;22/10/2021;22/10/2022;1;3119.33
112;17/04/2021;17/04/2022;1;3524.28
124;16/05/2021;16/05/2022;1;11922.62
159;09/06/2021;09/06/2022;1;13707.42
162;30/10/2021;30/10/2022;1;3246.35
170;18/09/2021;18/09/2022;1;4378.01
179;06/09/2021;06/09/2022;1;7000
186;21/07/2021;21/07/2022;1;1040.57
190;17/10/2021;17/10/2022;1;2000
299;17/04/2021;17/04/2022;1;3524.28
315;16/05/2021;16/05/2022;1;11922.62
343;20/09/2021;20/09/2022;1;9197.78
356;09/06/2021;09/06/2022;1;13707.42
359;30/10/2021;30/10/2022;1;3246.35
368;10/08/2021;10/08/2022;1;4378.01
373;05/06/2021;05/06/2022;1;4000
375;05/06/2021;05/06/2022;1;3000
378;29/09/2021;29/09/2022;1;3000
392;09/12/2021;09/12/2022;1;1000
446;12/04/2021;12/04/2022;1;98727.24
447;12/04/2021;12/04/2022;1;4459.98
459;22/10/2021;22/10/2022;1;2282.58
461;01/09/2021;01/09/2022;1;6027.55
483;05/06/2021;05/06/2022;1;4000
485;13/02/2021;13/02/2022;1;3000
542;12/04/2021;12/04/2022;1;98727.24
555;22/10/2021;22/10/2022;1;2282.58
580;18/03/2021;18/03/2022;1;15000
582;03/03/2021;03/03/2022;1;7000
585;08/05/2021;08/05/2022;1;3000
591;22/05/2021;22/05/2022;1;1000
620;12/02/2021;12/02/2022;1;1000
629;18/03/2021;18/03/2022;1;1000
690;18/03/2021;18/03/2022;1;14457.78
704;17/03/2021;17/03/2022;1;3888.19
747;07/01/2021;07/01/2022;1;4715.11
749;09/10/2021;09/10/2022;1;2416.4
759;18/10/2021;18/10/2022;1;16899.36
798;12/08/2021;12/08/2022;1;6403.96
814;11/03/2021;11/03/2022;1;3251.62
826;30/09/2021;30/09/2022;1;7952.11
829;18/03/2021;18/03/2022;1;15000
831;03/03/2021;03/03/2022;1;7000
834;08/05/2021;08/05/2022;1;3000
840;22/05/2021;22/05/2022;1;1000
872;12/02/2021;12/02/2022;1;1000
879;03/12/2021;03/12/2022;1;4789.49
950;04/12/2021;04/12/2022;1;14457.78
962;17/03/2021;17/03/2022;1;3888.19
963;04/08/2021;04/08/2022;1;10417.19
1005;07/01/2021;07/01/2022;1;4715.11
1007;09/10/2021;09/10/2022;1;2416.4
1016;18/10/2021;18/10/2022;1;16899.36
1071;11/03/2021;11/03/2022;1;3251.62
1083;30/09/2021;30/09/2022;1;7952.11
1084;30/09/2021;30/09/2022;1;2500
1098;27/05/2021;27/05/2022;1;3000
1099;07/11/2021;07/11/2022;1;24695.76
1108;13/10/2021;13/10/2022;1;14540.79
1111;18/07/2021;18/07/2022;1;1000
1129;05/09/2021;05/09/2022;1;6000
1144;08/05/2021;08/05/2022;1;1000
1157;03/09/2021;03/09/2022;1;7654.28
1171;05/03/2021;05/03/2022;1;6071.8
1197;15/03/2021;15/03/2022;1;15026.27
1225;07/06/2021;07/06/2022;1;13355.4
1264;29/09/2021;29/09/2022;1;10067.51
1265;14/04/2021;14/04/2022;1;3404.14
1342;30/11/2021;30/11/2022;1;554438.16
1378;12/12/2021;12/12/2022;1;21150.9
1379;25/11/2021;25/11/2022;1;103966.47
1382;26/12/2021;26/12/2022;1;23630.07
1409;16/03/2021;16/03/2022;1;4042.63
1428;01/02/2021;01/02/2022;1;8000
1433;14/10/2021;14/10/2022;1;3000
1448;30/11/2021;30/11/2022;1;4997.99
1451;08/01/2021;08/01/2022;1;2500
1462;07/11/2021;07/11/2022;1;24695.76
1474;18/07/2021;18/07/2022;1;1000
1501;08/05/2021;08/05/2022;1;1000
1512;03/09/2021;03/09/2022;1;7654.28
1537;05/03/2021;05/03/2022;1;10587.43
1554;15/03/2021;15/03/2022;1;15026.27
1581;07/06/2021;07/06/2022;1;13355.4
1609;07/11/2021;07/11/2022;1;9179.28
1616;03/11/2021;03/11/2022;1;5125.31
1619;29/09/2021;29/09/2022;1;10067.51
1620;14/04/2021;14/04/2022;1;3404.14
1654;03/12/2021;03/12/2022;1;5533.92
1735;12/12/2021;12/12/2022;1;21150.9
1736;25/11/2021;25/11/2022;1;103966.47
